Features	REF	HET.1	HET.2	HET.3	KO.1	KO.2	KO.3	WT.1	WT.2	WT.3
CPNE1	0	0	3.2	2.9	1.5	2.4	0.8	1.4	0.4	0
CPNE3	1.8	2	6.1	5.1	5.5	5.9	1.8	2.5	0	0
CPOX	0	1.8	0	0	0	3.2	0.2	0	0	0
CPT1A	0.2	1.4	0	2.1	0	1.8	0.8	0	0	0.2
CRABP2	1.8	2.5	7.8	12.9	7.3	11.5	5.1	2.5	8.2	5.3
CRMP1	0.8	18.2	14.7	5.7	12.9	8.9	19.1	19.1	18.6	9.7
CS	0	2.1	2.1	1.4	1.1	0	0.2	1.3	0	0.4
CSN1S1_COW	1.4	0	0	2	0	4.1	1.8	0	4.8	0.2
CSN3_COW	0	0	1.8	1.1	0	2.5	0	0	0	0
CSTF2	2.4	0	0.8	0	0	0.4	0	0	0.8	0.6
CTNNA1	2.9	8.6	3.3	0	8	0	12.9	15	0	1.3
CTNNB1	6.8	4.1	2	0	10.3	0.2	8.1	11.1	3.3	6.3
CTNND1	8.6	2.5	0	2.3	1.8	0	4.8	6.3	4.1	2.9
CTSD	2.3	0	6.4	3.2	5.1	3.7	0.6	2.1	12.4	1.8
CTTN	0	0.2	0	0	0	0	0	0.6	0	0.6
CXADR	2	4.8	9.9	9.9	7.6	7.8	8.9	13.5	12.2	3.8
CYB5B	0	2.1	4.1	0	3.7	2.1	1.8	2	2.3	0.8
CYP26B1	1.4	2.5	0.8	0	0.2	2.5	1.1	0.8	0	0.6
DAD1	0	0	0	0	0	2.5	0	0	0.8	1.8
DARS1	0.8	0	1.3	0.9	0	1.5	0.2	0.2	1.8	0
DBH	0.6	9.4	6.8	6.8	25.2	33.3	21.2	21.7	20.7	10.7
DBN1	1.5	2.3	0	0	0	2.5	0	0.4	0	4.1
DBNL	0.2	1.8	1.5	0	0	0	0	1.5	2.3	1.1
DCHS1	6.8	5.1	0	1.8	4.3	2.3	1.4	5.1	3.8	3.6
DCX	0	0	0	0	0.8	1.8	0	1.1	0	0
DDB1	21	0	0	0	0	0	0	0	2.9	12.9
DDOST	0	1.4	0	0.2	0	0.6	0.6	1.3	0	0
DDX1	1.1	0	0	0	0	0.2	0	0	0	0
DDX17	16.9	2.3	0.6	0	0	1.8	0	0	2.1	3.6
DDX21	3.8	0	0	0.4	0	1.3	0	0	0	0
DDX39B	4.1	0	0.8	0	0.2	3.2	0	0	2.4	2.5
DDX3X	12.7	6.4	1.8	0	0.8	4.9	5.4	4.5	1.5	6.1
DDX5	22.6	4.1	1.1	0	0.8	0.8	4.8	4.5	5.1	8.1
DEFA1B	1.5	0	2.5	1.1	0	3.7	0	0	5.1	0
DHX9	51.8	0	0.8	2.1	0	0.2	0	0	0	29.9
DIAPH1	0	0	0	0	1.8	1.8	1.1	0	0	0
DLST	0	0.8	1.4	0	0	0	2.5	0.4	2.5	0
DNAJA1	0	0	1.5	1.3	0	1.5	0	1.5	0	0
DPM3	0	0.2	0.8	4.8	0	0	0	0	3.7	4.1
DPP6	0	0	0	4.1	0	0	0	0.2	0.2	0
DPY30	0	0	0	0.4	0	3.2	0	0	0	1.8
DPYSL2	3.7	25.2	29.9	26.1	27.8	20.1	31	34.8	29.9	22.1
DPYSL3	0	6.9	6	1.8	8.6	7.4	12.4	12.5	17.4	4.8
DPYSL4	0	0	0.8	0	0	0	0.8	0	0	0
DPYSL5	0	3.5	0	0	0	0	5.3	4.2	2.5	1.4
DSG1	15.6	4.1	15.1	15.3	15.3	13	2	6.8	37.9	11.6
DSTN	0	0	1.8	2.4	2.4	2.6	0	1.1	0	0
DUT	0	0	3.3	0.8	4.4	0.4	0.6	0.4	0	0
DYNC1H1	0	0.9	0	0	0	0.8	6.6	5.7	0	0
DYNC1I2	2	0	0	1.3	0	0	0	0	0.2	0
DYNLL1	2.6	1.8	6.8	4.4	1.8	1.8	2.5	1.8	5.1	5.1
DYNLRB1	0.8	0	0	0.8	0.2	1.4	0	0	0	3.3
DYNLT1	1.8	0	1.1	0	0	0	0	0	2.1	0
ECH1	0.4	0	2.5	0	1.8	0.8	1.8	0	1.8	0
ECHS1	0	0	0	3.7	0.9	2.5	0	0	0	0.6
ECI1	0	0.2	0	3.5	0.2	0	0	0	0	0
EEF1A1	24.4	40	17.8	12.4	23.9	10.8	27	27.8	12.9	19.1
EEF1B2	0	1.5	1.8	0	0	0.8	0	0.6	0	0.8
EEF1G	6.1	6.1	0	0	2.1	0.9	5.1	5.6	3.3	0
EEF2	9.7	13.5	6.1	4.8	15	11.3	13.2	12.2	11.8	11.3
EFNB2	0	0.4	0	0.8	0	0	0	1.1	1.3	0.8
EIF3A	2	0	0	0.4	0	2	0	0	0	0.8
EIF4A1	1.8	0.6	0	0	0	4.5	0.6	2.5	0.8	0
EIF4A3	1.8	0	0.8	2.4	0	0	0	0	2.5	0
EIF4B	0.4	0.8	0	2.5	0	2.5	0	0.9	0.6	0
EIF5A	0	0	0	0	0.4	0	0.8	0	0	0.8
ELAVL1	6	0	0.8	0	0	0	0	0	0.2	3.7
ELAVL4	6.5	0.4	0	0	0.6	1.8	0	0	0	0
ELMOD2	0.9	0	0	4.5	2.9	0	1.8	0	0	0
EMD	0	2	0.2	0	0	0.4	0	0	2.1	0
ENAH	0	0.9	0.9	6.1	0.2	0.8	2.1	0.6	0	0
ENO1	5.1	12.5	15.6	15.6	14.2	17.4	8.1	12.4	13.2	15.6
EPDR1	1.8	0	0	0	0	0	0	0	0.6	0
EPHB2	27	22.6	10.7	0.8	14.4	0	11.1	21	11.1	10.5
EPRS1	1.5	5.9	0	0.2	1.8	0	8.7	4.8	2.5	1.8
ERH	4.1	2.2	5.9	7.4	2	0	2.4	0.8	0.2	8
ERO1A	0	0.6	0	2.5	0	1.4	0	0	1.8	0
ERP29	0	0.8	4	4.8	4	0.8	2.1	3.2	5.2	0
ERP44	0.4	1.8	3.9	6.1	1.5	0	2.5	0.6	5.3	3.3
ESYT1	1.7	6.1	2	0	5.7	0	8	3.8	3.2	1.8
EZR	0.4	5.1	0	0	0	0	2.5	1.8	0	2.5
FABP5	0	0	2.9	0	1.8	4.8	0	1.8	8.9	3.7
FAM234A	3.7	2.5	8.6	8	5.6	6.1	0.9	8	5.6	4.1
FASN	13.8	24.4	3.8	5.1	17.8	17.8	28.4	22.6	0	21.7
FBL	1.9	0	0	2.3	0	0.4	0	0	1.9	0
FDFT1	0	0	0.2	1.8	2.2	0	0	0	0.4	0.2
FKBP4	0	3.6	9.1	6.1	4.1	2.1	1.5	8.1	5.5	1.8
FLG	0	0	2	1.5	2.4	0	0.8	0	6.1	0
FLNB	5.1	27	9.7	0	9.7	8.9	13.5	14.2	3.6	6.1
FLOT1	0	0	0	1.8	1.5	0	0.8	1.1	0	0
FLOT2	0.8	0	0	0	1.1	0	2	0	0	0
FLVCR1	0	0.2	0.8	0.9	0.6	2.1	0	1.1	0.2	0
FSCN1	6.6	7.8	7.4	9.1	6.8	4.8	4.3	10.5	11.3	0
FTH1	1.8	1.8	1.8	2	0	0	0.8	0	0.8	1.8
FUBP1	5.8	0.4	0.8	0	0	0.8	0	0	0	2.5
FUBP3	6.1	0	0	0	0	0.8	0	0	0.2	0
FUS	9.8	6.3	0	0	0	0.4	0	0	0	8.6
FXR1	0	0	0	0.8	0	1.8	0	0.8	0	0
G3BP2	0	1.8	0.9	0.8	0	0	0	0	0.2	0
GANAB	1.8	0	2.1	1.8	0	0	0	0	0.2	0
GAP43	10.5	23.9	16.9	25.2	10.8	21.2	5.2	11.8	12.5	14.2
GAPDH	40	32	32	16.2	37.9	28.4	37.9	41.4	31	37.9
GARS1	0	2.5	1.8	0	0	0.4	2.9	2.4	0	0.6
GART	0.2	2	0.4	3.6	0	0	0	0.8	2.5	0
GDAP1	0	1.9	1.3	0	0.4	1.8	0	0.4	0.8	0
GDI2	0	0	4.8	0	3.5	1.8	0	2	0	1.3
GET3	0	0	0	0	0	0	0.4	0	0	0
GFRA2	0.8	0.2	2.3	0.2	0	2.9	0	0	0	0
GGCT	0	0	0	4.3	0	4.1	0	0.8	5.4	0
GLUD1	0.6	2	0	1.1	0.8	1.5	0.8	0	0	0
GNA13	0.4	6.3	6.6	6.1	11	4.8	6	6	9.9	4.1
GNAI3	0	1.8	6.6	6.8	7.8	10.5	4.1	3.8	1.5	6.3
GNB1	6.8	8.9	10.8	10.7	8.9	11.1	11	16.2	11	7.8
GNG2	0.2	0	0	3.8	0.6	4.1	0	0.2	0	1.5
GOT2	0.2	0	0	0.4	0	0	0	0.8	2.5	0
GPC2	0	0	0	2.5	3.2	0.8	0	1.8	2.5	2.1
GPC6	0.6	0	0	0	0.2	0	1.8	0	0	0.4
GPRIN1	0	2	2	4.2	0.8	3.8	4.1	4.1	0.2	3.2
GPX1	3.6	2.5	5.1	4.8	0.8	1.5	0	0.8	0	4.5
GRPEL1	0	0	6.8	0	1.8	1.4	1.1	2	4	0
GSPT1	0	0	0	0	0	0	0	0.4	0.4	0.8
GSTM3	0.8	0	1.8	0	0	0	0	0	1.4	0.9
GSTO1	0.6	2.1	5.7	6.1	1.8	4.2	0.8	0	4	1.1
GSTP1	0	0	2.5	5.8	1.8	8	2.5	0	5.1	0.6
GTF2I	0	0.6	0.2	0	0	0	0	0	0	0
H1-2	2.2	1.1	1.4	0	0.2	0	0	0	2.5	0.6
H1-5	3.5	0	0	0	0	0	0	0	0	0
H2AC13	5.3	5.1	2.5	3.2	3.3	5.1	4	2.2	0	4.1
H2BC14	2.4	2.9	0.6	1.3	2.5	3.3	0	0	0.8	0
H3C15	0	0.4	0.8	2.6	0	0	1.8	0	0	0
H4C15	6.1	6.1	6.1	5.1	8	8.1	6.1	2.5	14.2	7.8
HADHA	4.3	11.3	9.8	6.6	11.5	5.1	21	7.8	11.6	9.8
HADHB	0.8	0.8	3.6	2	1.1	1.7	2.3	0.4	0	3.2
HBB	0	0.2	0	0	0	2.3	0	0	6.1	0
HDAC2	2.3	0	0	2	0.2	2.1	0	0	0	0
HDGF	4.5	0	0.8	2.5	0	0	0	0	0	0.4
HLA-A	0	0	1.8	0	0.8	0	0	0	0	0.8
HMGB1	0	4.1	5.1	2.9	6.3	9.4	7.4	7.6	4.1	2
HMGCS1	0	0.9	4.1	0	0.2	0	0	0.8	2.5	0
HNRNPA0	9.4	0	0.2	0.4	0	2.1	0	0	0	5.1
HNRNPA1	55.1	1.8	0	0.8	1.8	0	3.8	2	0	40
HNRNPA2B1	60.3	0.8	0	0	0	0.8	4.3	2.5	0	34.8
HNRNPA3	39.4	0	0.8	1.8	0	3.2	0.4	0	0.8	28.4
HNRNPAB	11.5	0	0.4	0.6	0	3.2	0	0.9	0	12.7
HNRNPC	32	1.4	0.8	0.2	1.5	0	6.1	0.8	0	26.1
HNRNPD	16.6	0.8	0	0	0	0	0.8	0.8	0.8	14.4
HNRNPDL	13.3	0.4	0	2.1	0	0	0	0	0	11.8
HNRNPF	5.1	2.9	0.2	0.8	0	5.4	0	0.8	0	6.8
HNRNPH1	19.1	8.9	4.9	0	4.8	9.8	6.3	6.1	6.1	17.8
HNRNPH3	11.8	0	1.5	0	0	2.1	0	0.2	0	7.5
HNRNPK	41.4	14.4	9.3	8.9	8.5	11.8	12.5	10.8	6.8	27.8
HNRNPL	23.9	0	0	0	0	0.8	0	0	0	17.4
HNRNPM	26.1	0	0.2	0	0	0.9	0	1.3	0	9.8
HNRNPR	22.1	1.8	0	2.5	0	0.8	2.4	1.1	1.8	13
HNRNPU	25.2	10.1	1.8	0	4.3	5.4	13	3.8	0.4	27
HNRNPUL2	2.1	0.4	1.5	0	0	0.8	0	0	0	0.8
HPCAL1	0	1.3	1.8	3.2	0.8	3.5	0	2	0	1.1
HPCAL4	0	0	0	0	0.9	0	0	0	0	0
HPRT1	0	4.9	8.1	8.2	6.1	5.1	2.2	4.8	5.1	2.3
HSD17B10	3.2	15.9	20.1	16.9	13.2	17.4	16.2	8.9	13.5	15.3
HSD17B12	0	0.9	0	0	0.2	0.8	2.1	0	0	0.4
HSD17B4	0.8	3.8	2.6	1.1	2	0	0	2.5	1.3	0
HSP90AB1	7.3	7.8	5.3	6.5	10.7	8.9	10.1	11	6.3	9.2
HSPA1A	12.4	19.1	22.1	21	16.6	27	19.6	20.1	17.4	16.6
HSPA5	27.8	43.9	48.1	55.1	40	64.6	43.9	43.9	48.1	51.8
HSPA8	64.6	74.7	74.7	74.7	64.6	74.7	55.1	60.3	74.7	64.6
HSPA9	15	33.3	37.9	46.6	16.9	40	21.7	18.6	32	25.2
HSPB1	0.8	0.8	0	2.9	1.1	6.1	3.2	0	3.7	2.6
HSPBP1	0	0	1.1	2.1	0	0	0	1.7	0	0
HSPD1	19.6	34.8	39.4	40	39.4	37.9	48.1	29.9	40	31
HSPE1	0	0	7.4	5.2	4.2	3.6	3.7	0	7.8	6
HSPH1	13.5	17.4	18.2	22.1	12.5	12.9	13.3	17.8	8.9	15
HUWE1	0	0.2	0.2	0	0	0.6	0.8	0	0	0.4
HYOU1	1.8	21.7	13	11.5	8.9	18.6	1.1	9.4	5.1	6.3
IARS1	0	0	0	0	0	0.9	2.5	0.8	0	0.4
IDH2	2.4	4.8	0	0.2	4.8	6.9	11.6	5.5	0	1.8
IGLON5	1.8	1.8	2.6	7.4	1.1	0	0	1.8	2.2	1.5
ILF2	10.6	0	0	0.8	0.2	1.3	1.8	0	0.9	5.5
ILF3	31	0	0.2	0.4	0.4	0.8	0	0	0	24.4
IMPDH2	0.2	0	0	0	1.3	2	1.8	1.8	0	0
INA	12.2	11.6	2.1	0	2.5	0	0.6	6.1	7.1	4.9
IPO5	5.2	15	33.3	17.4	18.2	15.6	14.7	15.3	18.2	16.9
IPO7	0.8	1.1	0	0.6	0	0	0	0.4	0	0.8
IPO9	0	1.1	0	0.2	0	0	0	0	1.4	0
ISOC1	0.4	10.5	11.3	11.5	5.2	0	1.4	2.5	6.6	2
ISYNA1	0.8	0.2	0	1.4	0	4.2	0.4	0	0	0.9
ITGA1	15.3	21.2	18.6	33.3	41.4	27.8	29.9	28.4	26.1	9.1
ITGA2	0.4	4.8	3.7	10.1	11.6	20.7	6.8	5.9	0.8	0
ITGAV	2.9	0.8	6.1	0	19.1	15	10.5	14.4	0	0
ITGB1	23.5	27.8	34.8	36.8	48.1	46.6	39.4	40	27	21.2
ITGB5	0	0	0	1.8	3.8	3.9	0	0.8	0	0.9
JPT1	0	0	0	0	0	6	0	0	0	0
JPT2	0	0	0	0	0	0	0.8	1.8	0.8	0
K2M2_SHEEP	0	0	0	2.2	0	0.9	0	0	4.8	0
KARS1	0	0	0	0	0	0	0.6	0	0	0
KCTD12	0.8	0.8	0	1.1	0	1.8	0	0	0	0
KHDRBS1	11.1	0	0	0	0	0	0	0	0	5.8
KHSRP	13.2	0	0	0.8	0	0	2.5	0.2	1.8	8.1
KIF21A	0	0	0	0	0	0	0	0.6	0	0
KIF5C	2.1	4.8	4.1	0.8	2.5	2.2	5.1	6.8	4.8	0
KLC1	0	0	0	0	0	0	0	1.3	0.2	0
KPNA2	0	0	0	0	0	0	1.4	0	0	0.9
KPNB1	21.7	39.4	46.6	43.9	36.8	35.5	32	32	36.8	55.1
KRT77	17.4	0	13.8	34.8	17.4	18.2	0	0.2	46.6	18.6
KTN1	0	0	0.9	0.8	0	0	0	1.8	0	0
L1CAM	6.1	8.5	7.8	7.8	13.8	11.6	9.1	18.2	10.5	7.4
LAMC1	0	0	0.6	3.7	0	1.7	0	0	0	0
LAMP1	0.8	0	0	2.5	0	0	0	0	5.1	0
LAMTOR1	0	0	1.8	1.1	0	0.2	0	0	0	0.8
LCE1C	2	0	0	0	1.8	1.7	2.3	1.8	0.9	1.1
LDAH	0	0.6	4.3	4.9	3.7	2.5	0	0	0	0
LDHB	10.3	19.6	22.6	23.9	22.1	21.7	11.5	23.5	22.6	13.8
LETM1	0	1.8	0	0	0	0	3.2	0	0	0
LGALS1	4.1	4.9	8	13	10.6	15.3	10.6	9.9	12.7	9.4
LGALS7B	0	0	0.8	0	0	0.4	0	0	4.8	0
LMAN2	1.8	1.3	1.8	3.8	0	0	0	0	0	0
LMNB1	1.8	0	0	2.4	0	1.8	0	0	0	0.8
LOR	0	0	0	5.1	0.2	0	0	0	4.5	0
LRP1	1.8	0.8	0.2	0.8	0	0	0	0.2	0	0
LRPPRC	0	2.1	4.2	0	1.4	3.5	2.9	0.8	0.2	0
LRRC4B	0	1.8	0	0	0.8	0	0	0	1.8	0
LRRC59	1.4	3.6	0	0.8	1.4	0	5.5	2.6	0	0
LSAMP	17.8	15.3	11	31	13.3	21	6.1	16.9	9.2	5.7
LSS	0.4	6.1	11.8	7.1	4.2	1.1	6.3	3.7	4.9	1.4
LUC7L2	0	0.2	0	0	0.4	1.5	0.8	0	1.8	0.8
LYZ	0	0.4	2	0	0.8	0	0	0.9	0	0.8
M6PR	0	0	0.8	0	0.2	5.8	0	0	1.8	0
MAOA	0.4	1.8	0.8	0	0	0.8	0	0	1.5	0
MAP1B	1.5	4.3	0	1.5	1.8	0	6.4	5.1	8.5	3.3
MAP4K4	0.8	0.2	0	2	0	1.9	0	0	2.1	1.4
MARCKS	9.3	12.9	13.5	14.2	8.9	13.5	6.8	6.9	10.7	11
MARCKSL1	4.8	4.5	5.2	8	2.6	6.3	2	4.1	8.1	4.8
MARS1	0	0	0	2.5	0	2	0	1.5	0	0
MAT2A	0	3.3	8.9	5.1	3.8	3.7	1.8	1.8	6.1	6.9
MAT2B	0	1.8	4.1	0.8	2.5	1.8	0.4	0.8	5.9	0
MATR3	36.8	0	0	0.2	0	0	0	0	0	16.2
MCAM	0	0.9	5.3	0	2.4	0	0	4.1	0	0
MCCC2	0	1.3	0	0.8	0	0	0	0	0	0.4
MDH1	0	2.4	5.1	5.1	4.1	2.4	0.2	3.9	0	0.8
MDH2	5.4	5.1	7	7.3	5.1	7.3	4.5	2.1	0.4	6.8
MGRN1	0	0	0	0.6	0	0	0	1.4	0	0
MIF	2.9	3.7	4.1	0	3.7	5.5	2.1	3.7	4.1	3.2
MMAB	0	0	2.5	1.5	0.8	2	0	0	2.1	0.4
MPDU1	0.6	0	0	0	0	0	0.8	0	1.1	0
MPZL1	0	8.2	2.9	12.5	6.3	0.8	2.3	7.3	7.8	0
MRC2	2	0	4.1	0.8	2.3	5.1	0.9	0.8	0	0
MTPN	0.2	0	5.1	6.1	4.8	5.1	2	0.8	2.4	0
MYEF2	8	0	0	0	0	0	0	0	0	0
MYH9	5.5	55.1	28.4	21.7	43.9	31	51.8	48.1	34.8	46.6
MYL12B	0.9	0.2	0	0	1.7	2.9	0.4	0	2.3	0.2
