A	Coef.Sample.1 - Sample.2	t.Sample.1 - Sample.2	p.value.Sample.1 - Sample.2	p.value.adj.Sample.1 - Sample.2	F	F.p.value
STARD4.AS1	7.2834868	3.52341863	10.6310256	0	0	21.955593	0
AP1S2	11.1735273	-2.26225161	-10.6087934	0	0	55.9928213	0
GAL3ST4	11.4562835	3.39218857	10.5914035	0	0	116.2714211	0
JAM2	7.0415811	4.53046978	10.5630319	0	0	78.7431804	0
TUBB6	8.8487825	-3.10296793	-10.5599084	0	0	24.5639842	0
ITM2C	11.3646695	3.34920712	10.5579769	0	0	46.5266402	0
RNH1	12.2332608	-1.65586943	-10.5341374	0	0	36.9468052	0
AGTRAP	10.8799827	-2.26548999	-10.5038741	0	0	71.9058279	0
RASGEF1C	5.980339	5.377688	10.4614843	0	0	38.264803	0
SERPINF1	11.8979369	3.067938	10.45617	0	0	48.3609589	0
ANXA2P2	7.2100697	-4.85008787	-10.4012024	0	0	39.1031471	0
MRC2	8.7420699	6.56175325	10.4001963	0	0	32.2023733	0
SYNDIG1	6.7070725	6.49508288	10.3835399	0	0	41.2193108	0
FTH1	16.0457947	-2.77156955	-10.363336	0	0	21.5406007	0
UNC5B	8.2506024	3.89062608	10.3210237	0	0	60.217318	0
FAM107A	4.7532437	5.70401353	10.3141786	0	0	37.3893378	0
ECM1	6.1327863	-4.45754438	-10.3084139	0	0	47.2759039	0
CSTB	12.321669	-2.78031054	-10.2970169	0	0	19.7659646	0
TLR8	9.184406	-3.78824911	-10.1972719	0	0	42.3548325	0
NLGN2	5.075497	4.31816614	10.1890066	0	0	26.3109984	0
ACKR2	5.2321291	4.69666898	10.1800475	0	0	41.4994117	0
RAC2	11.6555181	-2.63437488	-10.1787008	0	0	51.5724279	0
ABCG1	10.4472493	4.05262601	10.1687096	0	0	30.2307305	0
NXN	7.216741	4.37634235	10.1488418	0	0	33.573364	0
LYVE1	8.5712347	6.27816611	10.123149	0	0	48.6685833	0
AUTS2	6.030128	5.08287753	10.1037399	0	0	26.8520593	0
ZNF711	6.1599292	6.19292105	10.09508	0	0	29.7367956	0
FADS2	9.7085479	3.24712662	10.0946958	0	0	33.0246149	0
VIM.AS1	10.4024294	-5.35852677	-10.0847306	0	0	42.0700057	0
PAPSS1	10.9529758	-1.92791635	-10.0816013	0	0	24.8581402	0
PALD1	11.318571	3.43580157	10.0677031	0	0	83.6089798	0
CSNK1E	9.397589	2.39280806	10.0645349	0	0	27.4920812	0
CD44	10.8956217	-5.3473223	-10.0489264	0	0	36.3312874	0
NCF2	12.4021684	-2.22047205	-10.0396764	0	0	43.1667567	0
AQP9	6.4333084	-7.37911004	-10.0332922	0	0	45.6035445	0
LTC4S	8.262704	4.88849322	10.0293963	0	0	19.0232881	0
VASH1	11.6242299	2.82603906	10.0281685	0	0	26.5734739	0
GOLGA8A	7.580982	4.63126771	10.023033	0	0	29.6212234	0
P3H2	8.4991915	4.56829062	9.9916068	0	0	35.5147528	0
KIF26B	5.2883446	5.80543059	9.9198646	0	0	25.123539	0
CHI3L1	9.6656791	-6.71598951	-9.9146925	0	0	25.4120574	0
EMP1	5.8595985	-5.46285591	-9.8915923	0	0	37.5343517	0
TALDO1	12.5047674	-2.06729506	-9.874386	0	0	42.3130133	0
TNFAIP6	4.4131752	-6.39016687	-9.8080711	0	0	23.4360711	0
VIM	12.3651622	-5.21232527	-9.7420046	0	0	42.8706408	0
ADAM28	12.0510336	2.53468652	9.7253563	0	0	59.7791551	0
CXCL5	3.7169032	-4.98377065	-9.7000299	0	0	43.7457836	0
RBFOX2	6.9128425	3.25753384	9.6756597	0	0	44.8524321	0
PNPLA1	2.6534794	-4.59415367	-9.6434527	0	0	29.8981579	0
SH3BGRL3	13.6359733	-2.54740495	-9.6118122	0	0	31.5082932	0
MAPK8IP3	9.8295966	2.92152485	9.6059881	0	0	10.2666619	0
DDR1	8.5056122	4.51928951	9.5828697	0	0	37.6348798	0
ANXA5	13.8725783	-1.94738765	-9.5638697	0	0	18.4609916	0
CNN3	5.3052025	5.4244251	9.4973266	0	0	16.689341	0
C15orf48	6.1069074	-5.06740377	-9.4918372	0	0	26.6101129	0
RUFY3	9.0906296	2.6587387	9.4766979	0	0	32.5491192	0
LINC01529	4.3644352	4.06430095	9.4516862	0	0	30.2088954	0
OPTN	7.9449682	-3.89703346	-9.4451679	0	0	23.6173482	0
EFNB2	5.9148191	6.5729608	9.4334882	0	0	21.8542881	0
CLIP3	5.8804359	4.66758465	9.4235432	0	0	21.049559	0
P2RY12	11.7208885	5.43329935	9.4204764	0	0	35.6215842	0
SERPINA1	12.4022005	-3.74783435	-9.401545	0	0	34.4880162	0
BRINP2	6.2930044	7.43505138	9.3999107	0	0	31.814321	0
TDP2	10.1595712	-2.00081041	-9.3794604	0	0	15.6492215	0
STMN3	6.2557599	3.50602981	9.377508	0	0	38.0720404	0
GPI	12.349166	-1.44896509	-9.3611479	0	0	23.5091759	0
TMEM156	8.3673828	5.39934127	9.3499456	0	0	22.8115289	0
PKM	13.9133802	-1.6904128	-9.3483529	0	0	37.970293	0
CHST10	8.3210179	2.21456712	9.3250275	0	0	52.2052665	0
ALDH1A2	4.0304111	-5.10583403	-9.318665	0	0	27.1982239	0
TRIM2	7.3699583	3.9108552	9.3165116	0	0	30.809479	0
LCP1	14.6379023	-2.17873102	-9.3132358	0	0	24.626371	0
TMEM25	5.9225822	4.86607896	9.2810213	0	0	22.3533499	0
COL4A3BP	10.4475605	-1.58344091	-9.2699094	0	0	23.1558968	0
ACP5	8.1644657	-4.62941842	-9.2593616	0	0	24.9410382	0
ZNF608	6.9976559	5.20135981	9.243674	0	0	16.2592407	0
MIR100HG	4.4667708	5.15678949	9.2326175	0	0	13.875141	0
CCDC136	6.8194609	4.88189497	9.2316523	0	0	20.8525609	0
SLC25A23	7.1966445	2.57209456	9.2312655	0	0	34.959623	0
FAM149A	6.0679489	5.3882818	9.2248239	0	0	37.1829057	0
ATAT1	7.0249929	3.19417916	9.1960951	0	0	22.3908346	0
GARNL3	6.6722367	3.66914638	9.1949191	0	0	31.0270012	0
SPOCD1	3.2223689	-4.68133219	-9.1797006	0	0	33.4206857	0
ENO1	14.4151268	-1.69893856	-9.1543019	0	1e-11	25.0131922	0
DST	9.5474768	3.28809817	9.1537942	0	1e-11	26.222582	0
PGD	12.4278026	-1.8672698	-9.1462026	0	1e-11	49.040359	0
WNK3	5.468234	4.39602495	9.1366189	0	1e-11	34.7677792	0
SLC43A3	11.5594957	-2.27495177	-9.1236897	0	1e-11	33.075807	0
SCHIP1	5.1903824	5.42781864	9.1122705	0	1e-11	17.4653985	0
PCGF5	9.5329278	-1.58957207	-9.1078879	0	1e-11	15.880536	0
MLLT11	8.4025642	2.62849819	9.0930866	0	1e-11	46.7115901	0
MIR503HG	5.2018958	3.61002639	9.0713876	0	1e-11	45.5008596	0
MMP9	10.5537509	-5.6179614	-9.0603041	0	1e-11	31.4031152	0
ADGRG5	8.2982818	4.24670153	9.0505813	0	1e-11	40.067426	0
ARNT2	3.7870532	4.29984444	9.043003	0	1e-11	20.5195812	0
BLVRB	11.2389624	-2.38161714	-9.0414578	0	1e-11	34.7952061	0
SESN3	9.2587725	3.96024766	9.031323	0	1e-11	19.8755648	0
ZBTB18	7.889521	3.19233669	9.0114979	0	1e-11	31.5443228	0
SLC22A17	5.7686652	5.53180632	9.0084928	0	1e-11	24.6453366	0
PSTPIP1	7.1580767	-5.37444758	-8.9862038	0	1e-11	62.8010999	0
FERMT3	13.1534866	-1.84436372	-8.9722041	0	1e-11	20.5398028	0
KIF21B	9.706272	3.51023787	8.9695217	0	1e-11	17.3564564	0
SREBF1	10.5080762	2.3285279	8.9668792	0	1e-11	18.4912425	0
GSTA4	8.2900561	2.89196128	8.9659548	0	1e-11	17.1449412	0
RALA	9.9590301	-1.39885091	-8.9652103	0	1e-11	25.7961329	0
CATSPER1	4.5059922	-4.40298456	-8.9595261	0	1e-11	45.0774874	0
PLIN2	11.5470821	-3.17232725	-8.9546595	0	1e-11	13.4688742	0
C14orf132	4.6833185	4.12151507	8.9430678	0	1e-11	26.8760759	0
VNN1	7.501974	-6.19945253	-8.926684	0	1e-11	29.8631482	0
G3BP1	11.7588072	-1.45076097	-8.9261622	0	1e-11	10.8704836	0
CTLA4	4.17722	4.48262953	8.9230404	0	1e-11	30.3574265	0
CHD7	10.2503231	2.43160994	8.9105368	0	1e-11	33.9321225	0
IQCJ.SCHIP1	5.17322	5.05346693	8.9096167	0	1e-11	17.3524484	0
SLC2A6	8.1894891	-4.75962707	-8.9067433	0	1e-11	25.3798944	0
LRIG1	8.4471038	3.04432232	8.9060692	0	1e-11	38.1239564	0
IMPDH1	10.761273	-1.84877592	-8.9046159	0	1e-11	40.4420095	0
BST1	6.1128281	-4.73991758	-8.8942077	0	1e-11	48.6672063	0
NNAT	6.6164352	5.79483963	8.8780753	0	1e-11	21.7288751	0
GNG3	5.7533641	3.26266756	8.8632013	0	2e-11	30.3381204	0
SLC40A1	12.5355958	3.07887134	8.8587465	0	2e-11	29.2568871	0
FOXP2	4.9591907	4.78181506	8.8300571	0	2e-11	41.60976	0
LINC00877	3.7420967	-3.37551952	-8.8272735	0	2e-11	42.6652044	0
MYH10	6.9203962	3.97709797	8.825518	0	2e-11	13.563427	0
MIR3945HG	3.447414	-4.70268489	-8.8196657	0	2e-11	21.5801012	0
CLEC4E	5.0201458	-6.2874899	-8.7894494	0	2e-11	25.6821679	0
HM13	12.7173204	-1.55542063	-8.7792282	0	2e-11	22.8415744	0
RAP1B	10.8028882	-1.71292403	-8.7753676	0	2e-11	15.120794	0
CCL7	2.4391388	-3.4406097	-8.7667856	0	2e-11	51.8908503	0
FGR	9.4259482	-4.60914803	-8.7548656	0	2e-11	55.6576922	0
CENPV	5.7204514	3.8701727	8.7516338	0	2e-11	16.0784746	0
RSU1	11.2577218	-1.51279734	-8.7398791	0	2e-11	17.9211945	0
VAC14	11.0568512	-1.43715673	-8.7380388	0	2e-11	18.4952607	0
NDRG2	11.270631	2.35606029	8.7295581	0	3e-11	42.8922521	0
LMNA	9.8678408	-3.42956961	-8.7264855	0	3e-11	22.8174352	0
MAPKAPK3	12.1457296	-1.3928311	-8.7139227	0	3e-11	24.4067363	0
NQO1	6.6743343	-2.49551491	-8.7107519	0	3e-11	30.8260292	0
SCD	11.2907754	2.61324818	8.6858888	0	3e-11	42.0711823	0
MICU3	5.6287276	4.18623269	8.6856584	0	3e-11	38.6401908	0
CCPG1	11.2990949	-1.51317524	-8.6789889	0	3e-11	26.2993095	0
VAT1	11.7314202	-2.06215678	-8.6733301	0	3e-11	19.950007	0
TLR10	8.5745361	4.45519289	8.6635878	0	3e-11	41.2980044	0
SLC6A12	4.6218968	-5.27243089	-8.6596757	0	3e-11	26.2945664	0
GNS	13.3611599	-1.63704859	-8.6498943	0	4e-11	18.2809232	0
SEMA4A	9.6209527	-3.63358699	-8.6439866	0	4e-11	45.2166887	0
CHD6	9.8491978	1.54741012	8.6402605	0	4e-11	12.5565121	0
AFF3	6.9464266	6.49331835	8.6359877	0	4e-11	11.1470889	0
SPG21	11.5669215	-1.64428953	-8.6208774	0	4e-11	37.6556089	0
MYEOV	3.8933211	-3.77509842	-8.6148448	0	4e-11	34.5540643	0
SLAMF1	3.1120793	-4.31014635	-8.611409	0	4e-11	25.1214538	0
SEMA6A	6.777754	4.84410259	8.5629745	0	5e-11	16.339174	0
KYNU	9.7495925	-3.50236572	-8.5587829	0	5e-11	18.4761474	0
TCEA2	8.5972957	2.2585628	8.5336471	0	6e-11	12.0787305	0
ADI1	11.3954896	-1.30190395	-8.5308865	0	6e-11	13.6898877	0
PMP2	3.6331342	4.37255388	8.5212672	0	6e-11	31.5863306	0
SLAMF7	7.9503418	-5.08225094	-8.515422	0	6e-11	28.1757387	0
NAV2	6.7152247	5.03443407	8.5140309	0	6e-11	20.0835662	0
GAP43	4.8807655	5.26915229	8.5017407	0	6e-11	15.7514506	0
FNBP1L	9.1803054	2.73443033	8.489029	0	7e-11	33.228682	0
TET1	5.8175063	5.03216339	8.4827712	0	7e-11	16.9893822	0
ARPC5	13.4617864	-1.50035135	-8.4441701	0	8e-11	23.7679225	0
CACNB4	8.1810892	5.31108678	8.4419861	0	8e-11	20.0616198	0
DLG2	5.1162001	4.72020661	8.4393644	0	8e-11	22.891007	0
LRRC4	8.9879611	3.18686427	8.4344561	0	8e-11	15.4483386	0
GPR161	6.4948094	3.99200129	8.4219032	0	9e-11	31.6213134	0
IFNAR1	11.8649654	-1.45624638	-8.4193002	0	9e-11	13.2137328	0
GSTM3	9.1676907	3.93584297	8.4057893	0	1e-10	21.3886174	0
NSG1	5.3396011	4.52689402	8.4030236	0	1e-10	18.5141245	0
UBXN11	11.6697529	-1.93676448	-8.3992088	0	1e-10	44.038619	0
ATP6V1H	10.657194	-1.4732583	-8.3975978	0	1e-10	12.9906264	0
ADAMTS10	6.9554072	4.19605962	8.3599656	0	1.1e-10	19.4604899	0
CHN1	5.1592878	4.32106601	8.3519136	0	1.2e-10	14.4829209	0
TM7SF2	8.5360499	1.80899617	8.3517386	0	1.2e-10	17.5542254	0
TPRG1.AS1	3.562514	-3.86209843	-8.346369	0	1.2e-10	25.7974794	0
TNFRSF25	6.1231674	5.44037918	8.3456753	0	1.2e-10	18.5558445	0
CALM3	12.0681109	-1.39339429	-8.3314554	0	1.3e-10	43.9591115	0
TANK	10.6490988	-1.46414267	-8.3268773	0	1.3e-10	16.9796867	0
PCDH18	4.5558219	4.95645902	8.3206313	0	1.3e-10	16.6596971	0
PALLD	8.0556603	4.06671624	8.3201787	0	1.3e-10	18.2191075	0
MLXIPL	5.1603591	4.20994618	8.3197833	0	1.3e-10	41.2353045	0
RALB	11.1620732	-1.44013111	-8.3083261	0	1.4e-10	30.9656428	0
ARL8B	11.6749269	-1.40161175	-8.2961784	0	1.5e-10	13.7099332	0
LILRB3	8.2949607	-4.39760878	-8.2915097	0	1.5e-10	40.3893491	0
NTRK2	4.1199573	4.98432459	8.2846774	0	1.5e-10	19.8853918	0
NLGN3	5.9270182	4.23996721	8.27533	0	1.6e-10	21.1213938	0
NUDT3	12.034617	1.46966488	8.2681158	0	1.6e-10	25.8193204	0
TNFAIP8	9.5855514	-3.25753279	-8.2666266	0	1.6e-10	24.6965061	0
AHNAK	8.795701	-5.76034546	-8.2396693	0	1.8e-10	37.3999625	0
BCKDK	11.3031752	-1.25849364	-8.2393819	0	1.8e-10	20.1751738	0
PLAT	6.610934	5.75680854	8.2212913	0	2e-10	24.1503192	0
S100A10	9.6371789	-4.14386894	-8.2207777	0	2e-10	40.6209183	0
AXL	11.1760899	2.72763425	8.2103059	0	2.1e-10	64.7944127	0
LRRC25	12.268281	-2.06076695	-8.1856137	0	2.3e-10	30.1408348	0
MCTP1	8.4761466	-3.43523926	-8.1733707	0	2.4e-10	25.8854034	0
AANAT	4.6188359	3.66379782	8.1716768	0	2.4e-10	21.6421826	0
IL1R2	4.341502	-6.33110485	-8.1698847	0	2.4e-10	21.0681858	0
COMMD9	10.8808695	-1.31505577	-8.1627038	0	2.5e-10	38.2383878	0
DSCAM	4.4996239	5.04949226	8.1620236	0	2.5e-10	24.5898317	0
BAALC	4.5603663	4.60061974	8.160362	0	2.5e-10	16.1899767	0
HES6	7.1347434	3.38727852	8.1585819	0	2.5e-10	12.0421222	0
TRAK1	10.006309	1.86547364	8.1306203	0	2.8e-10	28.1647811	0
PMEPA1	8.0135021	4.0385323	8.1305685	0	2.8e-10	25.8615529	0
S100A9	11.9438859	-4.9220215	-8.1294659	0	2.8e-10	49.6819097	0
DACT1	6.0018869	4.48400741	8.1274505	0	2.9e-10	30.3175355	0
LILRA6	7.5892884	-4.68241321	-8.127286	0	2.9e-10	41.0430613	0
PSMA6	11.1972681	-1.4792141	-8.1188593	0	3e-10	20.9165678	0
TAGLN2	11.3893166	-2.28862884	-8.1158574	0	3e-10	56.4800894	0
KLF3.AS1	7.3349729	2.29283165	8.1115818	0	3e-10	15.3026674	0
CYTIP	8.8250551	-2.64363367	-8.1008587	0	3.2e-10	30.5585954	0
CLSTN1	10.3964003	2.11589402	8.0823625	0	3.4e-10	19.8394272	0
AKR1C2	3.3676054	3.58166877	8.0710805	0	3.6e-10	24.1093588	0
PLEKHA5	5.949372	3.61265245	8.0689918	0	3.6e-10	11.7480851	0
NBEA	7.3001729	2.79800505	8.0561926	0	3.8e-10	39.6333634	0
SCN4B	4.4697202	4.39139942	8.0528508	0	3.9e-10	19.4625213	0
UCP2	13.5367213	-2.2183022	-8.0361825	0	4.1e-10	9.5201382	1e-10
LDHA	12.6744472	-2.4717468	-8.0344998	0	4.2e-10	18.2336495	0
STMN2	5.0831519	5.8622211	8.0321329	0	4.2e-10	17.4765082	0
FAM213B	8.6470302	-2.11171147	-8.0288332	0	4.2e-10	20.2843609	0
CCT5	11.9601787	-1.25045028	-8.0282604	0	4.2e-10	12.9730133	0
EMP3	10.4798715	-2.74152399	-8.0190528	0	4.4e-10	41.7398032	0
ARHGAP33	6.0629979	3.88294636	8.0185635	0	4.4e-10	13.5378011	0
NFIX	5.8116669	3.87770089	8.0169534	0	4.4e-10	29.4727901	0
APOC2	10.0822378	3.48022312	8.0133045	0	4.5e-10	55.6652805	0
TMBIM1	12.4049696	-1.47342489	-8.0046985	0	4.6e-10	21.7636528	0
ALDH3B1	10.6987213	-1.86717125	-7.9924315	0	4.9e-10	25.0179639	0
LGALS12	5.7347795	-3.91130733	-7.9863819	0	5e-10	58.7566973	0
ATP6V1D	10.5975598	-1.41232216	-7.9841836	0	5e-10	15.2024564	0
MIR181A2HG	3.7329182	3.34440821	7.980872	0	5.1e-10	17.9142731	0
MYEF2	6.6134796	3.33169229	7.9758925	0	5.2e-10	21.2101961	0
RNASET2	13.5349442	1.85929537	7.9738962	0	5.2e-10	27.5296754	0
SH3GLB1	11.3926275	-1.25091653	-7.9702086	0	5.3e-10	16.8348798	0
HTRA1	9.3439322	5.17272844	7.9634915	0	5.4e-10	36.3874129	0
SORL1	12.600132	3.25212974	7.9535512	0	5.6e-10	23.8490078	0
QPCT	6.4462269	-4.55852236	-7.9435377	0	5.9e-10	18.4424532	0
RASL10A	6.6756654	3.64432193	7.9353939	0	6.1e-10	26.1782638	0
SDCBP	13.9030836	-1.88886592	-7.9316407	0	6.2e-10	16.5775441	0
SMPD3	6.9964969	4.14274037	7.9263984	0	6.3e-10	13.9963314	0
MXRA8	5.3267184	4.29931126	7.9229281	0	6.4e-10	8.2472477	1.9e-09
CAPG	13.0561811	-2.59417276	-7.8994723	0	7e-10	25.7278092	0
UQCRC1	12.0585292	-1.2822845	-7.8929585	0	7.2e-10	27.6792624	0
LILRB2	10.1574387	-3.27317821	-7.8926778	0	7.2e-10	55.1240274	0
CTSS	14.3417075	-1.42996026	-7.8840431	0	7.5e-10	56.3577687	0
F2R	8.2566984	4.58560385	7.8640118	0	8.1e-10	10.6119317	0
PHYHIPL	3.7003759	4.57416517	7.8598814	0	8.3e-10	17.7538441	0
TXN	10.415425	-2.10616832	-7.8586233	0	8.3e-10	30.0688947	0
ABRACL	9.9209439	-2.00472549	-7.8583732	0	8.3e-10	34.2365712	0
GLTP	9.5638341	-1.43410779	-7.8562657	0	8.3e-10	33.4644611	0
CDH4	4.1180789	4.35828689	7.8429652	0	8.8e-10	19.5340844	0
ENAH	4.9448689	3.93533016	7.8323334	0	9.2e-10	13.3405841	0
KCNN4	5.963707	-6.44579203	-7.8309057	0	9.2e-10	26.0056522	0
CCNA1	2.9478204	-3.91992513	-7.8264585	0	9.4e-10	14.2796833	0
CSGALNACT1	7.8451434	5.45154232	7.8219364	0	9.5e-10	16.568359	0
CLIC4	10.4065039	-2.39019376	-7.8196248	0	9.6e-10	14.1043229	0
APOC4.APOC2	10.1368771	3.38768823	7.8192569	0	9.6e-10	53.9663022	0
CLU	8.2289186	3.93392833	7.8091832	0	1e-09	72.6457858	0
CX3CR1	13.0030698	3.17942295	7.8068083	0	1.01e-09	64.8639546	0
GPX7	7.4002183	3.40514385	7.7967748	0	1.05e-09	10.029005	0
FFAR4	7.19644	3.671604	7.7959707	0	1.05e-09	25.2799974	0
C1orf61	4.2069796	4.09348293	7.7804702	0	1.12e-09	28.5843204	0
ELOVL7	4.1473961	-4.61722628	-7.7668694	0	1.19e-09	21.8220605	0
SHMT2	10.844441	-1.30416403	-7.7638197	0	1.2e-09	19.5219148	0
S100A4	11.0073595	-4.29041509	-7.7599429	0	1.22e-09	41.070636	0
LINC00641	6.6760321	4.5043006	7.7594904	0	1.22e-09	9.5235256	1e-10
RUNDC3A	5.1678828	3.72811314	7.7417288	0	1.32e-09	21.5218854	0
ADHFE1	7.7003167	2.11602937	7.7372211	0	1.34e-09	13.5362841	0
UGP2	11.2635471	-1.2307879	-7.7327642	0	1.36e-09	12.5791638	0
SGSM2	9.502415	2.16579451	7.7296626	0	1.38e-09	9.4820774	1e-10
PPP1R11	10.5242987	-1.17184284	-7.7206168	0	1.43e-09	26.5711346	0
YWHAZ	13.0104831	-1.31180571	-7.7142421	0	1.47e-09	23.6340199	0
GNG7	9.680627	2.41907016	7.7030512	0	1.54e-09	21.5663441	0
CSRP1	10.0260403	-2.07516505	-7.6939719	0	1.6e-09	41.8042065	0
MMP2	10.1505029	3.16216595	7.6907889	0	1.62e-09	63.9991612	0
MMP7	3.4246734	-5.15883501	-7.6850809	0	1.65e-09	28.3873504	0
CXADR	5.6532734	5.54826901	7.6748946	0	1.72e-09	24.5343317	0
TTC3	11.4047257	1.29026487	7.6553102	0	1.87e-09	24.1015698	0
CA2	7.931269	-3.71838266	-7.6550888	0	1.87e-09	26.0852863	0
DOK5	4.3863008	4.38960379	7.6417042	0	1.98e-09	22.7039349	0
HPGDS	10.3761945	2.57071849	7.6372325	0	2.02e-09	49.2757516	0
MDH1	11.904326	-1.23041452	-7.6364441	0	2.02e-09	15.4321425	0
RUNX2	7.2624753	3.19789588	7.6332671	0	2.04e-09	27.7931542	0
SPNS2	8.02736	3.42418837	7.630639	0	2.06e-09	29.8228157	0
LRRC17	4.2786151	3.72299024	7.627924	0	2.08e-09	12.5604349	0
CD109	4.9418645	-5.15873608	-7.6227829	0	2.12e-09	20.9887081	0
CD48	8.9875221	-4.53117889	-7.6220124	0	2.12e-09	33.0890436	0
P2RY13	11.753478	3.11149955	7.6209719	0	2.12e-09	30.266009	0
GDI2	12.9225333	-0.94600586	-7.6187414	0	2.14e-09	17.2156445	0
NECTIN4	4.2775953	-3.68093246	-7.6075336	0	2.24e-09	34.1931803	0
ARPC2	14.0420811	-1.22568974	-7.6033793	1e-10	2.28e-09	19.0765223	0
GHITM	12.6233575	-1.25772693	-7.5971481	1e-10	2.34e-09	16.7669401	0
WARS	11.8246136	-2.34106943	-7.5960071	1e-10	2.34e-09	15.0948742	0
EGFL8	6.524578	2.74933927	7.5956665	1e-10	2.34e-09	10.0666388	0
KMO	8.7263857	-3.46714177	-7.5893004	1e-10	2.4e-09	15.6477563	0
GGT7	8.4016632	2.41042671	7.5869528	1e-10	2.42e-09	18.7054008	0
PNN	10.9321324	1.08423287	7.5752769	1e-10	2.53e-09	17.5124651	0
OLFM2	5.2871207	3.9833514	7.5751508	1e-10	2.53e-09	17.8246965	0
