A	Coef.KO - WT	Coef.WT - KO	t.KO - WT	t.WT - KO	p.value.KO - WT	p.value.WT - KO	p.value.adj.KO - WT	p.value.adj.WT - KO	F	F.p.value
ATP6V1A	0.989947	-0.35312404	0.35312404	-0.1656154	0.1656154	0.8747758817	0.8747758817	1	1	0.0274285	0.8747758817
ATP6V1B2	1.5297925	-0.46465756	0.46465756	-0.3879207	0.3879207	0.7136178897	0.7136178897	1	1	0.1504825	0.7136178897
ATP6V1E1	-1.8214589	0.887655	-0.887655	0.6027038	-0.6027038	0.5723032686	0.5723032686	0.97405083038	0.97405083038	0.3632519	0.5723032686
ATP7A	-1.8695538	1.35679644	-1.35679644	1.1101306	-1.1101306	0.3161470409	0.3161470409	0.92623449899	0.92623449899	1.23239	0.3161470409
AZGP1	-1.5543482	-0.70320816	0.70320816	-0.3095902	0.3095902	0.7690287057	0.7690287057	1	1	0.0958461	0.7690287057
BAG6	-2.3145291	0.95815637	-0.95815637	0.6705666	-0.6705666	0.5314380722	0.5314380722	0.96617026473	0.96617026473	0.4496596	0.5314380722
BASP1	0.5037552	-1.09610657	1.09610657	-1.1247181	1.1247181	0.3104586242	0.3104586242	0.92623449899	0.92623449899	1.2649909	0.3104586242
BAX	0.8405461	0.68601071	-0.68601071	0.3678764	-0.3678764	0.7276266105	0.7276266105	1	1	0.135333	0.7276266105
BCAP29	-1.4825658	-2.13077247	2.13077247	-2.5901417	2.5901417	0.0475536846	0.0475536846	0.92623449899	0.92623449899	6.7088338	0.0475536846
BCAP31	0.5740016	1.33887269	-1.33887269	0.7739723	-0.7739723	0.4730180794	0.4730180794	0.95148881675	0.95148881675	0.5990331	0.4730180794
BLVRA	-2.0856193	-0.35933417	0.35933417	-0.2257346	0.2257346	0.8301080168	0.8301080168	1	1	0.0509561	0.8301080168
BSG	3.8018897	0.5032218	-0.5032218	1.0953322	-1.0953322	0.3220091024	0.3220091024	0.92623449899	0.92623449899	1.1997527	0.3220091024
C1orf68	-0.5996394	-4.38793563	4.38793563	-5.6628396	5.6628396	0.0021810366	0.0021810366	0.15223635572	0.15223635572	32.067752	0.0021810366
CACNA2D1	4.6867255	0.7171607	-0.7171607	1.6651978	-1.6651978	0.155144248	0.155144248	0.92623449899	0.92623449899	2.7728836	0.155144248
CACNA2D2	4.6087594	0.19467609	-0.19467609	0.4178202	-0.4178202	0.6929569125	0.6929569125	0.98856654381	0.98856654381	0.1745737	0.6929569125
CACYBP	0.1233388	1.88533742	-1.88533742	1.5090572	-1.5090572	0.1900831681	0.1900831681	0.92623449899	0.92623449899	2.2772535	0.1900831681
CADM1	-0.720822	-0.69895385	0.69895385	-0.4179804	0.4179804	0.692846976	0.692846976	0.98856654381	0.98856654381	0.1747076	0.692846976
CADM3	1.3395129	0.55237076	-0.55237076	0.8239953	-0.8239953	0.446470065	0.446470065	0.93812055503	0.93812055503	0.6789682	0.446470065
CADM4	-1.266962	0.97630563	-0.97630563	0.5309529	-0.5309529	0.617580971	0.617580971	0.97942924783	0.97942924783	0.281911	0.617580971
CALD1	-1.8818873	0.04812997	-0.04812997	0.0263629	-0.0263629	0.9799606892	0.9799606892	1	1	0.000695	0.9799606892
CALM2	0.9245688	2.15314387	-2.15314387	1.2546374	-1.2546374	0.2636253358	0.2636253358	0.92623449899	0.92623449899	1.574115	0.2636253358
CAND1	-3.0577677	0.52832083	-0.52832083	0.9302101	-0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
CAP1	2.9946528	-0.35613266	0.35613266	-0.7069005	0.7069005	0.5103730105	0.5103730105	0.95646068349	0.95646068349	0.4997083	0.5103730105
CAPN1	-1.8214589	1.94429667	-1.94429667	1.5433446	-1.5433446	0.1818075349	0.1818075349	0.92623449899	0.92623449899	2.3819126	0.1818075349
CAPRIN1	-2.4602739	0.66666667	-0.66666667	0.556799	-0.556799	0.6010333218	0.6010333218	0.97942924783	0.97942924783	0.3100251	0.6010333218
CAPZA1	1.7241134	0.33403115	-0.33403115	0.3613379	-0.3613379	0.7322226565	0.7322226565	1	1	0.1305651	0.7322226565
CAPZA2	-0.8906318	-0.0826425	0.0826425	-0.0520022	0.0520022	0.9604871803	0.9604871803	1	1	0.0027042	0.9604871803
CAPZB	2.2818918	0.67884196	-0.67884196	1.5740993	-1.5740993	0.1746825667	0.1746825667	0.92623449899	0.92623449899	2.4777886	0.1746825667
CASP14	1.2724411	-1.03940397	1.03940397	-0.4659937	0.4659937	0.6602974011	0.6602974011	0.98172036546	0.98172036546	0.2171501	0.6602974011
CBX1	-1.5793736	-2.42846741	2.42846741	-1.5552382	1.5552382	0.1790192432	0.1790192432	0.92623449899	0.92623449899	2.4187659	0.1790192432
CBX3	1.7314756	-1.32894681	1.32894681	-2.7560058	2.7560058	0.038847632	0.038847632	0.92623449899	0.92623449899	7.5955682	0.038847632
CBX5	-1.8936188	-0.02466686	0.02466686	-0.0136199	0.0136199	0.9896460174	0.9896460174	1	1	0.0001855	0.9896460174
CCAR2	-1.8782984	0.28266564	-0.28266564	0.1961636	-0.1961636	0.852001016	0.852001016	1	1	0.0384801	0.852001016
CCT2	3.1737102	0.65104779	-0.65104779	1.366155	-1.366155	0.2286144296	0.2286144296	0.92623449899	0.92623449899	1.8663795	0.2286144296
CCT3	1.7584009	-0.43449701	0.43449701	-0.1820047	0.1820047	0.8625383836	0.8625383836	1	1	0.0331257	0.8625383836
CCT4	1.4697709	-0.47554583	0.47554583	-0.214721	0.214721	0.8382429403	0.8382429403	1	1	0.0461051	0.8382429403
CCT5	1.2134246	-0.27707734	0.27707734	-0.1292276	0.1292276	0.902081561	0.902081561	1	1	0.0166998	0.902081561
CCT6A	0.9496304	-0.52866768	0.52866768	-0.2664966	0.2664966	0.800216078	0.800216078	1	1	0.0710204	0.800216078
CCT7	0.8192518	1.5381305	-1.5381305	0.9012211	-0.9012211	0.4077031701	0.4077031701	0.93723015951	0.93723015951	0.8121995	0.4077031701
CCT8	3.1687181	0.47826892	-0.47826892	0.8148163	-0.8148163	0.4512569865	0.4512569865	0.93812055503	0.93812055503	0.6639256	0.4512569865
CD200	-1.6029253	0.60605389	-0.60605389	0.2752997	-0.2752997	0.7938086855	0.7938086855	1	1	0.0757899	0.7938086855
CD276	2.8908623	-0.05483135	0.05483135	-0.088244	0.088244	0.9330172955	0.9330172955	1	1	0.007787	0.9330172955
CD59	1.6978181	-2.17573658	2.17573658	-1.1928596	1.1928596	0.2850508248	0.2850508248	0.92623449899	0.92623449899	1.4229139	0.2850508248
CD81	-1.7460402	0.01814926	-0.01814926	0.0111137	-0.0111137	0.9915511207	0.9915511207	1	1	0.0001235	0.9915511207
CDC37	-1.6177269	-1.29511914	1.29511914	-0.876289	0.876289	0.4199245369	0.4199245369	0.93723015951	0.93723015951	0.7678824	0.4199245369
CDC42	-2.6707797	1.30229687	-1.30229687	1.0909795	-1.0909795	0.3237509556	0.3237509556	0.92623449899	0.92623449899	1.1902363	0.3237509556
CDH2	-2.0362205	-0.35679644	0.35679644	-0.2160571	0.2160571	0.8372547931	0.8372547931	1	1	0.0466807	0.8372547931
CDK5	-0.8708994	1.53912799	-1.53912799	0.9149251	-0.9149251	0.4011049966	0.4011049966	0.93723015951	0.93723015951	0.8370879	0.4011049966
CEND1	0.7405652	-2.46108318	2.46108318	-1.7943536	1.7943536	0.1311092905	0.1311092905	0.92623449899	0.92623449899	3.2197049	0.1311092905
CEP170	-1.4189527	0.97399916	-0.97399916	0.5799059	-0.5799059	0.5864644169	0.5864644169	0.97942924783	0.97942924783	0.3362909	0.5864644169
CFL1	4.0679186	0.2974217	-0.2974217	0.8818829	-0.8818829	0.4171580641	0.4171580641	0.93723015951	0.93723015951	0.7777175	0.4171580641
CHCHD5	-3.3219281	0	0	0	0	1	1	1	1	0	1
CIRBP	-1.1757141	-4.29242804	4.29242804	-6.4299087	6.4299087	0.0012172335	0.0012172335	0.11153000681	0.11153000681	41.3437265	0.0012172335
CKAP5	-1.8578223	-1.05664167	1.05664167	-0.8439987	0.8439987	0.4361699275	0.4361699275	0.93812055503	0.93812055503	0.7123337	0.4361699275
CKB	-1.7837916	-1.52832083	1.52832083	-1.0988314	1.0988314	0.3206146371	0.3206146371	0.92623449899	0.92623449899	1.2074304	0.3206146371
CLMP	-0.4795788	-0.08982022	0.08982022	-0.0683108	0.0683108	0.9481157135	0.9481157135	1	1	0.0046664	0.9481157135
CLPTM1	-2.2399526	-0.0506677	0.0506677	-0.0364902	0.0364902	0.9722660719	0.9722660719	1	1	0.0013315	0.9722660719
CLTA	-1.9923814	0.12085669	-0.12085669	0.0714431	-0.0714431	0.945741308	0.945741308	1	1	0.0051041	0.945741308
CLTC	5.0265807	-0.25584457	0.25584457	-0.6511422	0.6511422	0.5429346953	0.5429346953	0.97001375239	0.97001375239	0.4239862	0.5429346953
CNBP	-2.2652864	-2.11328333	2.11328333	-2.1412369	2.1412369	0.0836707146	0.0836707146	0.92623449899	0.92623449899	4.5848955	0.0836707146
CNN3	1.8794957	-0.00803189	0.00803189	-0.0130715	0.0130715	0.9900629141	0.9900629141	1	1	0.0001709	0.9900629141
CNNM2	-3.3219281	0	0	0	0	1	1	1	1	0	1
CNP	-2.3003809	-0.17152439	0.17152439	-0.1300075	0.1300075	0.9014945679	0.9014945679	1	1	0.0169019	0.9014945679
CNTFR	2.5286702	0.5265868	-0.5265868	1.032807	-1.032807	0.3478085389	0.3478085389	0.92623449899	0.92623449899	1.0666904	0.3478085389
CNTN1	1.9087056	-1.45896524	1.45896524	-0.9752759	0.9752759	0.3730491529	0.3730491529	0.93187776157	0.93187776157	0.9511631	0.3730491529
COPA	-1.4091371	1.61096334	-1.61096334	1.0180302	-1.0180302	0.3541528483	0.3541528483	0.92931837647	0.92931837647	1.0363855	0.3541528483
COPG2	-2.7936073	0	0	0	0	1	1	1	1	0	1
CORO1A	-0.081305	-0.62482304	0.62482304	-0.3030952	0.3030952	0.7736996167	0.7736996167	1	1	0.0918667	0.7736996167
CORO1C	-1.728221	2.13077247	-2.13077247	1.6152757	-1.6152757	0.1655685464	0.1655685464	0.92623449899	0.92623449899	2.6091156	0.1655685464
CPNE1	-0.3148281	1.86165417	-1.86165417	1.6661989	-1.6661989	0.1549419827	0.1549419827	0.92623449899	0.92623449899	2.7762187	0.1549419827
CPNE3	0.1218407	3.7539111	-3.7539111	2.5082672	-2.5082672	0.052619416	0.052619416	0.92623449899	0.92623449899	6.2914043	0.052619416
CPOX	-2.2170353	2.20978554	-2.20978554	1.6330202	-1.6330202	0.1617864159	0.1617864159	0.92623449899	0.92623449899	2.6667551	0.1617864159
CPT1A	-1.8214589	1.94429667	-1.94429667	1.5433446	-1.5433446	0.1818075349	0.1818075349	0.92623449899	0.92623449899	2.3819126	0.1818075349
CRABP2	2.611112	0.64583581	-0.64583581	1.0496214	-1.0496214	0.3407050157	0.3407050157	0.92623449899	0.92623449899	1.1017052	0.3407050157
CRMP1	3.8190303	-0.21579446	0.21579446	-0.4222187	0.4222187	0.6899420745	0.6899420745	0.98856654381	0.98856654381	0.1782686	0.6899420745
CS	-1.4387268	-0.31978601	0.31978601	-0.2321593	0.2321593	0.8253734492	0.8253734492	1	1	0.053898	0.8253734492
CSN1S1_COW	-0.5152752	0.8135242	-0.8135242	0.3890792	-0.3890792	0.7128120413	0.7128120413	1	1	0.1513826	0.7128120413
CSN3_COW	-2.5385215	1.56681324	-1.56681324	1.1036735	-1.1036735	0.3186935146	0.3186935146	0.92623449899	0.92623449899	1.2180953	0.3186935146
CSTF2	-1.9387268	-1.21845061	1.21845061	-1.0478487	1.0478487	0.3414481384	0.3414481384	0.92623449899	0.92623449899	1.097987	0.3414481384
CTNNA1	0.7460682	0.77215272	-0.77215272	0.2839574	-0.2839574	0.7875248406	0.7875248406	1	1	0.0806318	0.7875248406
CTNNB1	2.1010339	-1.08395451	1.08395451	-0.6970665	0.6970665	0.5160174132	0.5160174132	0.96266306829	0.96266306829	0.4859018	0.5160174132
CTNND1	1.0383795	-2.14552355	2.14552355	-1.3830555	1.3830555	0.2237002688	0.2237002688	0.92623449899	0.92623449899	1.9128426	0.2237002688
CTSD	1.5828828	-0.63914042	0.63914042	-0.554994	0.554994	0.6021803543	0.6021803543	0.97942924783	0.97942924783	0.3080184	0.6021803543
CTTN	-2.3861431	-1.87156995	1.87156995	-2.1100701	2.1100701	0.0870877544	0.0870877544	0.92623449899	0.92623449899	4.452396	0.0870877544
CXADR	3.0743719	-0.08431973	0.08431973	-0.1387792	0.1387792	0.8948973913	0.8948973913	1	1	0.0192597	0.8948973913
CYB5B	1.0284872	0.60269391	-0.60269391	1.0488672	-1.0488672	0.3410210196	0.3410210196	0.92623449899	0.92623449899	1.1001225	0.3410210196
CYP26B1	-0.680654	1.29769493	-1.29769493	1.0483452	-1.0483452	0.3412399041	0.3412399041	0.92623449899	0.92623449899	1.0990276	0.3412399041
DAD1	-1.3022127	-0.90580427	0.90580427	-0.5001569	0.5001569	0.6376355419	0.6376355419	0.97942924783	0.97942924783	0.2501569	0.6376355419
DARS1	-1.4189527	-0.0826425	0.0826425	-0.0538791	0.0538791	0.9590627181	0.9590627181	1	1	0.002903	0.9590627181
DBH	4.3988917	0.62596531	-0.62596531	1.345467	-1.345467	0.2347667571	0.2347667571	0.92623449899	0.92623449899	1.8102813	0.2347667571
DBN1	-1.2528139	-1.00460193	1.00460193	-0.507876	0.507876	0.6325749557	0.6325749557	0.97942924783	0.97942924783	0.257938	0.6325749557
DBNL	-1.2936073	-4.05664167	4.05664167	-9.8136014	9.8136014	0.0001599823	0.0001599823	0.0400185796	0.0400185796	96.3067732	0.0001599823
DCHS1	1.7025019	-0.74800353	0.74800353	-1.4119822	1.4119822	0.2155181901	0.2155181901	0.92623449899	0.92623449899	1.9936937	0.2155181901
DCX	-1.4881256	1.27763	-1.27763	0.8111456	-0.8111456	0.4531819512	0.4531819512	0.93863798801	0.93863798801	0.6579572	0.4531819512
DDB1	-1.3337184	-3.97641947	3.97641947	-2.134336	2.134336	0.0844149572	0.0844149572	0.92623449899	0.92623449899	4.55539	0.0844149572
DDOST	-1.751584	0.60245164	-0.60245164	0.4218179	-0.4218179	0.6902165491	0.6902165491	0.98856654381	0.98856654381	0.1779303	0.6902165491
DDX1	-3.0577677	0.52832083	-0.52832083	0.9302101	-0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
DDX17	-1.0024593	-1.80698582	1.80698582	-0.9366026	0.9366026	0.3908400901	0.3908400901	0.93187776157	0.93187776157	0.8772243	0.3908400901
DDX21	-2.6873689	1.26911831	-1.26911831	1.0888481	-1.0888481	0.3246068071	0.3246068071	0.92623449899	0.92623449899	1.1855903	0.3246068071
DDX39B	-0.6596527	-0.90497976	0.90497976	-0.469314	0.469314	0.6580762577	0.6580762577	0.98172036546	0.98172036546	0.2202557	0.6580762577
DDX3X	1.6902218	-0.29420579	0.29420579	-0.3036206	0.3036206	0.7733213693	0.7733213693	1	1	0.0921855	0.7733213693
DDX5	1.6007575	-1.87566461	1.87566461	-2.287771	2.287771	0.0694024978	0.0694024978	0.92623449899	0.92623449899	5.2338962	0.0694024978
DEFA1B	-1.4972002	-0.1508374	0.1508374	-0.0655489	0.0655489	0.9502097893	0.9502097893	1	1	0.0042967	0.9502097893
DHX9	-1.6862979	-2.21461873	2.21461873	-0.8911296	0.8911296	0.4126161094	0.4126161094	0.93723015951	0.93723015951	0.794112	0.4126161094
DIAPH1	-1.3084585	4.02693918	-4.02693918	10.6336982	-10.6336982	0.0001076764	0.0001076764	0.0400185796	0.0400185796	113.0755379	0.0001076764
DLST	-1.3681268	-0.77397603	0.77397603	-0.416822	0.416822	0.6936419646	0.6936419646	0.98856654381	0.98856654381	0.1737406	0.6936419646
DNAJA1	-1.9885948	0	0	0	0	1	1	1	1	0	1
DPM3	-1.5485539	-3.54674831	3.54674831	-2.2195346	2.2195346	0.0756957197	0.0756957197	0.92623449899	0.92623449899	4.9263339	0.0756957197
DPP6	-2.7936073	-1.05664167	1.05664167	-1.8604202	1.8604202	0.1203040598	0.1203040598	0.92623449899	0.92623449899	3.4611632	0.1203040598
DPY30	-1.7732078	0.26548887	-0.26548887	0.1350426	-0.1350426	0.8977065831	0.8977065831	1	1	0.0182365	0.8977065831
DPYSL2	4.7669755	-0.13573807	0.13573807	-0.3380392	0.3380392	0.7487014349	0.7487014349	1	1	0.1142705	0.7487014349
DPYSL3	3.2915298	-0.13521814	0.13521814	-0.2198091	0.2198091	0.8344817945	0.8344817945	1	1	0.0483161	0.8344817945
DPYSL4	-2.7936073	1.05664167	-1.05664167	1.0706184	-1.0706184	0.3320060324	0.3320060324	0.92623449899	0.92623449899	1.1462239	0.3320060324
DPYSL5	-0.0238477	-2.75956919	2.75956919	-1.5627586	1.5627586	0.1772776883	0.1772776883	0.92623449899	0.92623449899	2.4422143	0.1772776883
DSG1	3.3849505	-0.95207261	0.95207261	-0.8771311	0.8771311	0.419507155	0.419507155	0.93723015951	0.93723015951	0.769359	0.419507155
DSTN	-1.1579771	1.93792706	-1.93792706	1.0960304	-1.0960304	0.3217304611	0.3217304611	0.92623449899	0.92623449899	1.2012826	0.3217304611
DUT	-1.1647507	2.76640267	-2.76640267	2.4010595	-2.4010595	0.0601566629	0.0601566629	0.92623449899	0.92623449899	5.7650867	0.0601566629
DYNC1H1	-0.8062622	1.12601107	-1.12601107	0.4819215	-0.4819215	0.6496787131	0.6496787131	0.97942924783	0.97942924783	0.2322483	0.6496787131
DYNC1I2	-3.0577677	-0.52832083	0.52832083	-0.9302101	0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
DYNLL1	1.4855889	-0.81750407	0.81750407	-1.4790553	1.4790553	0.1976210719	0.1976210719	0.92623449899	0.92623449899	2.1876047	0.1976210719
DYNLRB1	-1.5587088	0.13479675	-0.13479675	0.0737113	-0.0737113	0.9440223792	0.9440223792	1	1	0.0054334	0.9440223792
DYNLT1	-2.5786895	-1.48647721	1.48647721	-1.1004832	1.1004832	0.3199581752	0.3199581752	0.92623449899	0.92623449899	1.2110632	0.3199581752
ECH1	-0.6696435	2.4726175	-2.4726175	1.8607527	-1.8607527	0.1202520348	0.1202520348	0.92623449899	0.92623449899	3.4624005	0.1202520348
ECHS1	-1.5169743	1.73833763	-1.73833763	1.1460265	-1.1460265	0.3023087591	0.3023087591	0.92623449899	0.92623449899	1.3133767	0.3023087591
ECI1	-3.0577677	0.52832083	-0.52832083	0.9302101	-0.9302101	0.3938451858	0.3938451858	0.93187776157	0.93187776157	0.8652908	0.3938451858
EEF1A1	4.2595178	0.00859078	-0.00859078	0.0152793	-0.0152793	0.9883846351	0.9883846351	1	1	0.0002335	0.9883846351
EEF1B2	-1.7973939	-0.93578497	0.93578497	-0.7064358	0.7064358	0.5106387593	0.5106387593	0.95646068349	0.95646068349	0.4990515	0.5106387593
EEF1G	0.7450973	0.85381553	-0.85381553	0.4860555	-0.4860555	0.6469377042	0.6469377042	0.97942924783	0.97942924783	0.23625	0.6469377042
EEF2	3.6442052	0.1521183	-0.1521183	0.4449233	-0.4449233	0.6744836317	0.6744836317	0.98548706171	0.98548706171	0.1979567	0.6744836317
EFNB2	-1.5615544	-3.52074747	3.52074747	-9.6700071	9.6700071	0.0001719996	0.0001719996	0.0400185796	0.0400185796	93.5090382	0.0001719996
EIF3A	-2.0615544	0.40746414	-0.40746414	0.2506907	-0.2506907	0.8117647024	0.8117647024	1	1	0.0628458	0.8117647024
EIF4A1	-0.6217145	0.15351739	-0.15351739	0.081202	-0.081202	0.9383480064	0.9383480064	1	1	0.0065938	0.9383480064
EIF4A3	-2.5385215	-1.56681324	1.56681324	-1.1036735	1.1036735	0.3186935146	0.3186935146	0.92623449899	0.92623449899	1.2180953	0.3186935146
EIF4B	-1.5169743	-0.4762811	0.4762811	-0.2824006	0.2824006	0.7886534983	0.7886534983	1	1	0.0797501	0.7886534983
