chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	122683260	122683812	553	122683322	39.67	5.84888	2.25928	2.16034	peak_36
chr1	122692742	122693543	802	122692783	30.58	10.18829	3.79712	6.16315	peak_37
chr1	122694749	122695084	336	122695058	24.79	6.96909	3.22399	3.16637	peak_38
chr1	122700729	122702205	1477	122701472	50.41	19.27930	4.63532	14.95413	peak_39
chr1	122725385	122725778	394	122725592	18.18	8.12347	4.23244	4.21292	peak_40
chr1	122735230	122735929	700	122735590	20.66	7.02706	3.58283	3.22008	peak_41
chr1	122765946	122766253	308	122766149	27.27	7.45382	3.11604	3.59818	peak_42
chr1	122773832	122774135	304	122773921	19.01	7.50427	3.78302	3.64508	peak_43
chr1	122781065	122781331	267	122781240	18.18	7.26902	3.82760	3.42310	peak_44
chr1	122790283	122790800	518	122790722	18.18	7.93223	4.14025	4.04269	peak_45
chr1	122798134	122799417	1284	122798995	35.54	8.70635	3.04459	4.76416	peak_46
chr1	122826794	122827856	1063	122827675	24.79	6.96909	3.22399	3.16637	peak_47
chr1	122850529	122850798	270	122850625	25.62	6.44960	2.95759	2.68676	peak_48
chr1	122853449	122853717	269	122853714	19.83	6.46191	3.47225	2.69478	peak_49
chr1	122889704	122890533	830	122889821	31.40	6.69973	2.70026	2.91465	peak_50
chr1	122904235	122904529	295	122904316	25.62	5.67719	2.70798	2.00233	peak_51
chr1	122912335	122912620	286	122912600	27.27	7.53378	3.14123	3.67206	peak_52
chr1	122971630	122972044	415	122971887	18.18	7.65719	4.00926	3.78647	peak_53
chr1	123011618	123012087	470	123011647	28.10	9.36461	3.63719	5.38129	peak_54
chr1	123107243	123107662	420	123107516	16.53	7.66459	4.38198	3.79152	peak_55
chr1	123176868	123177324	457	123176907	15.70	6.40009	3.90263	2.64413	peak_56
chr1	123199692	123200560	869	123200458	24.79	12.56869	5.50732	8.44191	peak_57
chr1	123225815	123226108	294	123225965	39.67	12.13421	3.69700	8.02111	peak_58
chr1	123422555	123423325	771	123423044	22.31	5.86828	2.91409	2.17390	peak_59
chr1	123445561	123445960	400	123445694	22.31	10.22378	4.66254	6.19579	peak_60
chr1	123469008	123469565	558	123469216	16.53	8.79877	5.00310	4.84419	peak_61
chr1	123503210	123503585	376	123503456	20.66	8.64837	4.30069	4.71010	peak_62
chr1	123559855	123560807	953	123560286	29.75	11.59223	4.39290	7.49885	peak_63
chr1	123596999	123597587	589	123597075	37.19	14.51051	4.45692	10.31859	peak_64
chr1	123604785	123605602	818	123605402	17.35	5.26629	3.05905	1.65591	peak_65
chr1	123677519	123677903	385	123677746	22.31	7.95218	3.70175	4.06200	peak_66
chr1	123809545	123810371	827	123810334	19.83	7.99138	4.16670	4.08833	peak_67
chr1	123926222	123927217	996	123926595	33.88	12.57369	4.32585	8.44618	peak_68
chr1	123927565	123927930	366	123927746	20.66	7.09102	3.60999	3.27881	peak_69
chr1	123999396	123999747	352	123999400	19.01	5.28566	2.85816	1.67083	peak_70
chr1	124012653	124012962	310	124012769	61.15	8.23984	2.21976	4.32203	peak_71
chr1	124030112	124030652	541	124030543	17.35	8.44261	4.58622	4.51428	peak_72
chr1	124043796	124044464	669	124043980	20.66	7.09102	3.60999	3.27881	peak_73
chr1	124164440	124164801	362	124164445	14.88	5.25176	3.46445	1.64611	peak_74
chr1	124176779	124177396	618	124176925	20.66	7.09102	3.60999	3.27881	peak_75
chr1	124178522	124178822	301	124178642	19.01	7.99138	4.00142	4.08833	peak_76
chr1	124239818	124240533	716	124240296	18.18	7.28745	3.83614	3.43853	peak_77
chr1	124290646	124290914	269	124290743	22.31	10.22378	4.66254	6.19579	peak_78
chr1	124318285	124319042	758	124318962	24.79	9.79599	4.29865	5.78921	peak_79
chr1	124343621	124344319	699	124343641	40.49	6.23803	2.30519	2.50810	peak_80
chr1	124362949	124363748	800	124363731	23.14	7.60524	3.44844	3.73783	peak_81
chr1	124413001	124413711	711	124413557	22.31	6.99767	3.33039	3.19234	peak_82
chr1	124437423	124438285	863	124437947	39.67	6.48464	2.39218	2.71643	peak_83
chr1	124454333	124454689	357	124454633	28.92	8.09835	3.32488	4.18926	peak_84
chr1	124486105	124486560	456	124486126	19.01	9.82931	4.87625	5.82065	peak_85
chr1	124500497	124501074	578	124501028	19.83	6.46191	3.47225	2.69478	peak_86
chr1	124507483	124507958	476	124507911	21.49	9.46042	4.49726	5.47045	peak_87
chr1	124510970	124511506	537	124511347	16.53	8.14875	4.64314	4.23566	peak_88
chr1	124531439	124532184	746	124531510	33.06	14.53762	4.86512	10.34284	peak_89
chr1	124533225	124533525	301	124533278	23.14	6.41011	3.01739	2.64920	peak_90
chr1	124562061	124562522	462	124562475	32.23	8.13240	3.02086	4.22121	peak_91
chr1	124562796	124563100	305	124563048	19.83	7.54519	3.95816	3.68227	peak_92
chr1	124568483	124568997	515	124568734	32.23	5.61949	2.37353	1.94766	peak_93
chr1	124603624	124604068	445	124603932	22.31	10.68882	4.87294	6.63892	peak_94
chr1	124613457	124613741	285	124613462	30.58	5.47216	2.42897	1.83303	peak_95
chr1	124614130	124614395	266	124614241	29.75	5.77257	2.56252	2.09172	peak_96
chr1	124686425	124686823	399	124686513	25.62	12.62006	5.32366	8.49013	peak_97
chr1	124694822	124695265	444	124694939	19.01	8.19763	4.09561	4.28308	peak_98
chr1	124700736	124701577	842	124700775	42.97	14.01293	3.99751	9.83686	peak_99
chr1	124706049	124706732	684	124706053	28.92	7.02967	2.99239	3.22150	peak_100
chr1	124735432	124735766	335	124735708	17.35	5.30144	3.07453	1.68592	peak_101
chr1	124741898	124742218	321	124741954	27.27	9.35087	3.73999	5.36925	peak_102
chr1	124761719	124761996	278	124761835	19.83	5.28566	2.97622	1.67083	peak_103
chr1	124763527	124763980	454	124763921	27.27	10.20195	4.03873	6.17568	peak_104
chr1	125166956	125167223	268	125167186	345.43	16.67438	1.62645	12.41774	peak_105
chr1	125167572	125167912	341	125167858	428.07	24.20831	1.70946	19.77862	peak_106
chr1	125178915	125180662	1748	125180189	8136.70	817.75848	2.15055	811.20990	peak_107
chr1	125181712	125183233	1522	125182565	3339.47	165.14427	1.67358	160.00296	peak_108
chr1	125183548	125183886	339	125183800	1188.36	15.78624	1.27888	11.55438	peak_109
chr1	143184746	143185315	570	143185121	1581.72	110.88215	1.86169	105.82944	peak_110
chr1	143190360	143191198	839	143190664	1175.96	43.06832	1.54053	38.37672	peak_111
chr1	143192573	143193860	1288	143193043	2666.78	156.59834	1.76015	151.46509	peak_112
chr1	143194342	143195710	1369	143195165	2086.65	117.09913	1.73393	112.03284	peak_113
chr1	143200278	143200922	645	143200342	1197.45	52.72950	1.61299	47.94947	peak_114
chr1	143202495	143202849	355	143202614	1698.24	86.15079	1.68076	81.16959	peak_115
chr1	143206265	143206769	505	143206452	1176.79	22.36182	1.35067	17.96752	peak_116
chr1	143211832	143214792	2961	143214771	3301.45	10.95428	1.12596	6.89367	peak_117
chr1	143217300	143217962	663	143217766	1708.16	64.27216	1.55338	59.41513	peak_118
chr1	143219559	143221018	1460	143220386	2916.35	310.71027	2.20178	305.34195	peak_119
chr1	143222162	143223230	1069	143222506	1702.38	124.24634	1.88844	119.16256	peak_120
chr1	143232866	143233305	440	143233066	1911.46	85.02791	1.62210	80.05171	peak_121
chr1	143237416	143237717	302	143237693	1037.95	15.35506	1.29754	11.13419	peak_122
chr1	143239459	143240592	1134	143240318	2122.19	134.02821	1.79931	128.92642	peak_123
chr1	143247139	143247415	277	143247296	937.13	73.12953	1.92635	68.21532	peak_124
chr1	143249788	143250318	531	143249883	1366.86	58.04233	1.59984	53.22673	peak_125
chr1	143251618	143252230	613	143251929	1332.15	78.01919	1.75184	73.07956	peak_126
chr1	143252748	143253200	453	143253015	1984.18	197.20914	2.13231	192.03302	peak_127
chr1	143253479	143255056	1578	143254499	3521.28	465.78262	2.44433	460.10233	peak_128
chr1	143255411	143255937	527	143255715	1477.60	65.12505	1.61595	60.26244	peak_129
chr1	143262176	143262922	747	143262572	2378.37	79.00169	1.51167	74.05570	peak_130
chr1	143263702	143264160	459	143264131	1599.90	34.31213	1.38247	29.72863	peak_131
chr1	143264461	143264770	310	143264651	2341.18	114.17753	1.66466	109.11860	peak_132
chr1	143265723	143267483	1761	143266542	1679.24	51.80240	1.48431	47.03059	peak_133
chr1	143728642	143729435	794	143729078	29.75	21.51844	8.77723	17.13864	peak_134
chr1	144101545	144106384	4840	144104102	165.28	98.57808	8.91139	93.55460	peak_135
chr1	144559936	144560527	592	144560226	31.40	17.83555	6.48061	13.54562	peak_136
chr1	146377022	146377652	631	146377276	32.23	22.45657	8.30737	18.06054	peak_137
chr1	149636462	149636811	350	149636763	14.88	6.12565	3.94189	2.40840	peak_138
chr1	153922716	153923453	738	153922860	27.27	19.06821	7.91199	14.74760	peak_139
chr1	155084917	155085710	794	155085625	16.53	6.67535	3.86773	2.89196	peak_140
chr1	168709360	168710579	1220	168709796	42.15	36.05071	11.99031	31.44425	peak_141
chr1	172358716	172359261	546	172359147	26.44	18.32329	7.83370	14.02179	peak_142
chr1	236713991	236714742	752	236714495	42.15	10.25758	3.05606	6.22815	peak_143
chr1	248945719	248946338	620	248946075	106.61	26.92479	3.47113	22.44842	peak_144
chr10	10044	10296	253	10204	166.93	20.45961	2.26935	16.10272	peak_145
chr10	1048915	1049322	408	1049061	35.54	21.45779	7.25422	17.07994	peak_146
chr10	1540668	1542172	1505	1542031	21.49	9.46042	4.49726	5.47045	peak_147
chr10	16817334	16817855	522	16817615	76.85	74.84974	18.19225	69.92525	peak_148
chr10	38788436	38788755	320	38788464	135.53	13.02607	2.00778	8.88191	peak_149
chr10	38793038	38793879	842	38793068	204.95	14.28611	1.80655	10.10210	peak_150
chr10	38813809	38814279	471	38814184	214.04	51.08187	3.41328	46.31554	peak_151
chr10	38818312	38818886	575	38818876	73.55	5.29127	1.73370	1.67610	peak_152
chr10	38827370	38828330	961	38828319	101.65	6.61691	1.71078	2.83754	peak_153
chr10	38844269	38844898	630	38844759	65.29	7.23981	2.03740	3.39499	peak_154
chr10	40085896	40087047	1152	40086247	34.71	9.21750	3.24624	5.24342	peak_155
chr10	40204325	40204951	627	40204480	50.41	21.35075	5.14102	16.97552	peak_156
chr10	40279789	40280188	400	40279953	61.15	10.14204	2.48613	6.11831	peak_157
chr10	40289116	40289415	300	40289195	33.06	9.40822	3.29547	5.42295	peak_158
chr10	40408513	40409260	748	40408775	30.58	11.34262	4.17729	7.26546	peak_159
chr10	40511117	40511376	260	40511165	27.27	8.43220	3.43085	4.50490	peak_160
chr10	40514984	40515572	589	40515238	23.14	7.27472	3.32660	3.42868	peak_161
chr10	40540982	40541488	507	40541312	26.44	5.19227	2.49497	1.59212	peak_162
chr10	40705983	40706312	330	40706033	23.97	6.90683	3.30270	3.10902	peak_163
chr10	40750615	40751439	825	40751403	19.01	9.42101	4.67504	5.43435	peak_164
chr10	40768745	40769248	504	40769100	21.49	8.05836	3.88150	4.15188	peak_165
chr10	40853546	40854233	688	40854204	26.44	6.01580	2.74447	2.30974	peak_166
chr10	40892098	40892494	397	40892248	69.42	8.90043	2.20054	4.94062	peak_167
chr10	40937714	40938210	497	40937916	27.27	10.23603	4.05094	6.20731	peak_168
chr10	40961378	40962054	677	40961825	28.92	8.90709	3.58749	4.94702	peak_169
chr10	40975891	40976155	265	40976041	26.44	6.01580	2.74447	2.30974	peak_170
chr10	41006364	41006637	274	41006471	20.66	9.33837	4.62502	5.35751	peak_171
chr10	41015771	41016091	321	41015863	23.14	7.87296	3.54867	3.98753	peak_172
chr10	41017527	41018101	575	41017947	55.37	16.46100	3.72627	12.20857	peak_173
chr10	41035980	41036240	261	41036136	27.27	13.57260	5.34561	9.40937	peak_174
chr10	41044374	41044664	291	41044633	24.79	6.96909	3.22399	3.16637	peak_175
chr10	41124896	41125554	659	41125395	178.50	51.85714	3.98893	47.08493	peak_176
chr10	41275269	41275572	304	41275443	65.29	16.44587	3.31427	12.19380	peak_177
chr10	41408489	41409417	929	41409173	33.06	14.53762	4.86512	10.34284	peak_178
chr10	41425136	41425411	276	41425352	17.35	8.01625	4.36604	4.11178	peak_179
chr10	41859277	41859961	685	41859946	2118.88	23.35104	1.25437	18.93895	peak_180
chr10	41879294	41879655	362	41879468	747.89	28.86883	1.55371	24.36092	peak_181
chr10	41883229	41883905	677	41883722	414.02	20.42508	1.64041	16.07159	peak_182
chr10	41888672	41889527	856	41889526	322.29	5.39377	1.29318	1.76713	peak_183
chr10	41896339	41896600	262	41896579	181.81	7.71150	1.54519	3.83586	peak_184
chr10	41898743	41899837	1095	41899283	923.08	131.61589	2.52482	126.51809	peak_185
chr10	42099164	42099864	701	42099850	272.71	5.46251	1.32869	1.82943	peak_186
chr10	43409016	43409334	319	43409195	16.53	8.79877	5.00310	4.84419	peak_187
chr10	46377937	46378275	339	46377969	23.14	9.44780	4.16679	5.45983	peak_188
chr10	47481421	47481885	465	47481562	22.31	10.22378	4.66254	6.19579	peak_189
chr10	71029399	71029672	274	71029581	30.58	22.61245	9.01312	18.21170	peak_190
chr10	86441089	86441616	528	86441456	19.01	10.08017	5.00178	6.05812	peak_191
chr10	100286260	100286886	627	100286800	19.01	7.99138	4.00142	4.08833	peak_192
chr10	110919002	110919453	452	110919231	21.49	13.32049	6.41840	9.16634	peak_193
chr10	132717729	132721828	4100	132719479	47.10	27.72602	7.34418	23.23564	peak_194
chr10	133111430	133111735	306	133111734	37.19	6.33454	2.38674	2.59862	peak_195
chr10	133688120	133688746	627	133688378	871.85	44.08651	1.67212	39.38572	peak_196
chr10	133689157	133689410	254	133689401	490.88	5.11766	1.22358	1.52301	peak_197
chr10	133763357	133763757	401	133763541	178.50	18.06999	2.07466	13.77526	peak_198
chr11	411293	412272	980	411697	17.35	8.44714	4.58858	4.51710	peak_199
chr11	507024	507366	343	507155	31.40	22.63663	8.69984	18.23563	peak_200
chr11	728078	728393	316	728274	12.40	5.61631	3.82368	1.94469	peak_201
chr11	834709	834980	272	834877	19.83	10.08017	5.20838	6.05812	peak_202
chr11	3653942	3654668	727	3654477	118.17	20.08711	2.64833	15.74225	peak_203
chr11	10509239	10509663	425	10509398	226.43	21.90209	2.04894	17.51520	peak_204
chr11	33700964	33701262	299	33700985	13.22	5.46828	3.55559	1.82986	peak_205
chr11	53518484	53519267	784	53518514	16.53	7.66459	4.38198	3.79152	peak_206
chr11	57288949	57289201	253	57289004	21.49	5.34426	2.81079	1.71985	peak_207
chr11	57311265	57311842	578	57311667	20.66	12.37422	6.18252	8.25241	peak_208
chr11	57322033	57322834	802	57322445	57.85	51.97838	14.71194	47.20510	peak_209
chr11	57325036	57325324	289	57325159	18.18	9.73953	5.04724	5.73519	peak_210
chr11	58577970	58578279	310	58577971	14.05	5.70554	3.51642	2.02763	peak_211
chr11	62573967	62574235	269	62574076	17.35	8.44714	4.58858	4.51710	peak_212
chr11	66480384	66480661	278	66480565	21.49	11.79668	5.62158	7.69519	peak_213
chr11	67078427	67078867	441	67078673	42.15	33.53720	10.78656	28.96530	peak_214
chr11	69068342	69069707	1366	69068809	63.63	64.66751	18.44844	59.80771	peak_215
chr11	69280686	69281190	505	69281014	29.75	13.55013	5.12505	9.38751	peak_216
chr11	70265578	70265839	262	70265601	12.40	5.61631	3.82368	1.94469	peak_217
chr11	71787081	71787340	260	71787180	18.18	10.54253	5.47487	6.49709	peak_218
chr11	72112375	72112760	386	72112574	21.49	11.79668	5.62158	7.69519	peak_219
chr11	72223277	72223560	284	72223372	16.53	5.94584	3.50559	2.24416	peak_220
chr11	72813135	72814672	1538	72813574	27.27	19.37337	8.06958	15.04347	peak_221
chr11	74398499	74398908	410	74398692	52.89	49.57532	15.38196	44.82265	peak_222
chr11	75328228	75328630	403	75328416	19.83	11.44792	5.94663	7.35984	peak_223
chr11	77757702	77758107	406	77757766	14.88	7.15268	4.53133	3.31311	peak_224
chr11	77760383	77760689	307	77760394	13.22	6.36991	4.05957	2.61564	peak_225
chr11	77762362	77762705	344	77762422	14.05	7.15268	4.29545	3.31311	peak_226
chr11	77763006	77763328	323	77763057	14.88	7.15268	4.53133	3.31311	peak_227
chr11	77819132	77819474	343	77819367	16.53	8.79877	5.00310	4.84419	peak_228
chr11	77835042	77836250	1209	77835342	17.35	8.44714	4.58858	4.51710	peak_229
chr11	77841048	77841342	295	77841240	15.70	7.35703	4.42423	3.50466	peak_230
chr11	77848365	77848962	598	77848463	14.88	6.17368	3.96878	2.44766	peak_231
chr11	77856656	77856946	291	77856669	14.05	5.70554	3.51642	2.02763	peak_232
chr11	77861634	77862429	796	77862119	16.53	8.79877	5.00310	4.84419	peak_233
chr11	77863396	77863789	394	77863538	20.66	12.37422	6.18252	8.25241	peak_234
chr11	77867141	77867656	516	77867545	14.88	7.15268	4.53133	3.31311	peak_235
chr11	77911085	77911424	340	77911154	14.05	6.17368	3.76219	2.44766	peak_236
chr11	77914641	77914900	260	77914672	14.88	6.17368	3.96878	2.44766	peak_237
chr11	77941722	77942029	308	77941962	15.70	7.96283	4.76722	4.06508	peak_238
chr11	77944650	77944908	259	77944718	16.53	7.12022	4.09573	3.30284	peak_239
chr11	77982607	77983007	401	77982688	14.05	7.15268	4.29545	3.31311	peak_240
chr11	77988336	77988703	368	77988611	14.05	7.15268	4.29545	3.31311	peak_241
chr11	77990789	77991639	851	77990914	17.35	9.65910	5.23898	5.65763	peak_242
chr11	78003061	78003406	346	78003251	15.70	7.96283	4.76722	4.06508	peak_243
chr11	78014379	78014728	350	78014585	15.70	7.96283	4.76722	4.06508	peak_244
chr11	78031924	78032328	405	78032040	16.53	8.79877	5.00310	4.84419	peak_245
chr11	78045594	78046166	573	78045754	16.53	8.79877	5.00310	4.84419	peak_246
chr11	78053048	78053469	422	78053303	16.53	7.66459	4.38198	3.79152	peak_247
chr11	78070829	78071126	298	78071014	14.88	7.15268	4.53133	3.31311	peak_248
chr11	78085782	78086051	270	78085930	17.35	9.65910	5.23898	5.65763	peak_249
chr11	78099815	78100153	339	78099987	22.31	14.28585	6.65428	10.10187	peak_250
chr11	78109962	78110735	774	78110012	14.05	7.15268	4.29545	3.31311	peak_251
chr11	78111461	78112283	823	78111583	16.53	8.79877	5.00310	4.84419	peak_252
chr11	78123564	78124056	493	78123661	14.88	6.17368	3.96878	2.44766	peak_253
chr11	78139305	78139859	555	78139378	14.05	7.11036	4.27188	3.29445	peak_254
chr11	78169621	78170118	498	78169717	16.53	5.94584	3.50559	2.24416	peak_255
chr11	78182764	78183143	380	78183094	15.70	7.96283	4.76722	4.06508	peak_256
chr11	78187203	78187670	468	78187294	17.35	9.65910	5.23898	5.65763	peak_257
chr11	78188066	78188566	501	78188151	19.01	10.01272	4.96789	5.99516	peak_258
chr11	78189500	78189912	413	78189855	14.88	7.15268	4.53133	3.31311	peak_259
chr11	78198021	78198725	705	78198406	14.88	7.15268	4.53133	3.31311	peak_260
chr11	78200505	78201007	503	78200531	13.22	6.36991	4.05957	2.61564	peak_261
chr11	78204750	78205131	382	78205055	17.35	9.65910	5.23898	5.65763	peak_262
chr11	78212057	78212364	308	78212308	13.22	6.36991	4.05957	2.61564	peak_263
chr11	78213280	78213549	270	78213497	15.70	7.96283	4.76722	4.06508	peak_264
chr11	78217130	78217519	390	78217297	15.70	7.96283	4.76722	4.06508	peak_265
chr11	78219329	78219733	405	78219697	13.22	6.36991	4.05957	2.61564	peak_266
chr11	78224930	78225950	1021	78225159	16.53	8.79877	5.00310	4.84419	peak_267
chr11	78236932	78237328	397	78237039	15.70	5.31046	3.34031	1.69154	peak_268
chr11	78239840	78240137	298	78239872	16.53	8.79877	5.00310	4.84419	peak_269
chr11	78261853	78262158	306	78262109	15.70	6.90630	4.17538	3.10890	peak_270
chr11	78281604	78282066	463	78281760	15.70	7.96283	4.76722	4.06508	peak_271
chr11	78285121	78285535	415	78285167	15.70	7.96283	4.76722	4.06508	peak_272
chr11	78312719	78313154	436	78313110	14.05	7.11036	4.27188	3.29445	peak_273
chr11	78345532	78345823	292	78345730	19.01	11.44792	5.71075	7.35984	peak_274
chr11	78348265	78348522	258	78348482	13.22	6.36991	4.05957	2.61564	peak_275
chr11	78348955	78349388	434	78349103	17.35	9.65910	5.23898	5.65763	peak_276
chr11	78351037	78351326	290	78351050	14.05	6.17368	3.76219	2.44766	peak_277
chr11	78372504	78372875	372	78372580	13.22	6.36991	4.05957	2.61564	peak_278
chr11	78373808	78374247	440	78373870	13.22	6.23069	3.98029	2.50087	peak_279
chr11	78380899	78381250	352	78381033	16.53	7.66459	4.38198	3.79152	peak_280
chr11	78421223	78421715	493	78421236	13.22	5.46828	3.55559	1.82986	peak_281
chr11	78423087	78423367	281	78423290	14.05	7.11036	4.27188	3.29445	peak_282
chr11	78439317	78439667	351	78439604	18.18	10.54253	5.47487	6.49709	peak_283
chr11	78459510	78460460	951	78460181	17.35	9.65910	5.23898	5.65763	peak_284
chr11	78469734	78469988	255	78469919	14.88	6.08173	3.91735	2.37055	peak_285
chr11	78497557	78497824	268	78497759	13.22	6.36991	4.05957	2.61564	peak_286
chr11	78513674	78514070	397	78513926	14.88	6.17368	3.96878	2.44766	peak_287
chr11	78514968	78515269	302	78515132	16.53	7.66459	4.38198	3.79152	peak_288
chr11	78519641	78519954	314	78519915	12.40	5.61631	3.82368	1.94469	peak_289
chr11	78533561	78533928	368	78533771	16.53	8.79877	5.00310	4.84419	peak_290
chr11	78565165	78565963	799	78565566	20.66	12.15224	6.06178	8.03884	peak_291
chr11	78573887	78574558	672	78574364	18.18	10.54253	5.47487	6.49709	peak_292
chr11	78581850	78582162	313	78581913	13.22	6.36991	4.05957	2.61564	peak_293
chr11	78605668	78605988	321	78605740	15.70	7.96283	4.76722	4.06508	peak_294
chr11	78609758	78610135	378	78609885	19.01	10.66489	5.29988	6.61576	peak_295
chr11	118619298	118619573	276	118619363	14.88	6.89550	4.38098	3.10107	peak_296
chr12	10032	10404	373	10237	377.66	206.39056	8.23181	201.20383	peak_297
chr12	2720504	2720953	450	2720737	18.18	7.22757	3.80843	3.38286	peak_298
chr12	6851427	6851962	536	6851483	20.66	11.91907	5.93605	7.81343	peak_299
chr12	35017562	35018331	770	35018216	14.05	6.17368	3.76219	2.44766	peak_300
chr12	35799289	35799554	266	35799497	14.88	6.54224	4.17740	2.77105	peak_301
chr12	36203673	36204159	487	36204064	18.18	7.28745	3.83614	3.43853	peak_302
chr12	36885549	36886242	694	36886114	17.35	5.26629	3.05905	1.65591	peak_303
chr12	37014228	37014682	455	37014453	19.01	10.07505	4.99920	6.05618	peak_304
chr12	37235996	37236530	535	37236155	37.19	12.25296	3.81878	8.13657	peak_305
chr12	37236910	37238657	1748	37237964	84.29	39.33943	6.09232	34.69166	peak_306
chr12	37239572	37240626	1055	37239761	37.19	16.44743	5.05189	12.19519	peak_307
chr12	37245827	37247332	1506	37246371	31.40	21.29953	8.04588	16.92528	peak_308
chr12	37260206	37260694	489	37260611	19.01	7.92762	3.97252	4.03824	peak_309
chr12	56221931	56222412	482	56222144	45.45	40.32611	13.18627	35.66483	peak_310
chr12	56360224	56360477	254	56360341	19.01	11.31301	5.63904	7.23749	peak_311
chr12	65169747	65170083	337	65169884	14.88	7.15268	4.53133	3.31311	peak_312
chr12	69405368	69405639	272	69405469	37.19	29.61630	10.39378	25.09473	peak_313
chr12	75330021	75330314	294	75330193	34.71	27.12158	10.19253	22.64093	peak_314
chr12	98644770	98645071	302	98644835	18.18	10.54253	5.47487	6.49709	peak_315
chr12	104588348	104588868	521	104588709	28.92	18.36732	7.48097	14.06185	peak_316
chr12	123383759	123384050	292	123383941	20.66	12.37422	6.18252	8.25241	peak_317
chr12	130392120	130393127	1008	130392460	23.14	6.41011	3.01739	2.64920	peak_318
chr12	131579889	131581422	1534	131580766	18.18	7.28745	3.83614	3.43853	peak_319
chr12	131582361	131582754	394	131582463	17.35	7.38795	4.05009	3.53445	peak_320
chr12	133264976	133265285	310	133265124	207.43	47.33854	3.30834	42.60591	peak_321
chr13	17614025	17614537	513	17614162	15.70	7.96283	4.76722	4.06508	peak_322
chr13	17655388	17655693	306	17655620	19.01	6.46191	3.33452	2.69478	peak_323
chr13	18211830	18212343	514	18212113	173.54	23.67223	2.39100	19.25197	peak_324
chr13	23321662	23322002	341	23321812	15.70	7.96283	4.76722	4.06508	peak_325
chr13	51793565	51793906	342	51793668	17.35	9.60687	5.21024	5.61173	peak_326
chr13	52455136	52455432	297	52455312	16.53	8.74986	4.97565	4.80290	peak_327
chr13	110347707	110348299	593	110348001	49.58	43.50072	13.39963	38.80570	peak_328
chr14	37197740	37198190	451	37198044	19.83	11.44792	5.94663	7.35984	peak_329
chr14	77486191	77486470	280	77486383	17.35	9.65910	5.23898	5.65763	peak_330
