pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GO_REGULATION_OF_CELL_ACTIVATION	0.00100401606425703	0.0574801489705572	0.407823114840452	1.38894221395168	0	393	IL33 ANXA1 PDPN CCL2 LMO1 CTSC PTPN22 HAVCR2 PAK3 SYK THBS1 RIPOR2 INHBA CAV1 WNT5A IL1RL1 VCAM1 SH3KBP1 ABR UBASH3B NDFIP1 DLG5 RIPK3 VTCN1 RUNX3 CYLD CD38 CD276 PRKCA VAMP7 TNFRSF21 LRRK2 GSN PAK1 CD47 C1QTNF1 GAB2 EFNB1 LGALS3 ATP11C CEBPA PIK3R1 CGAS FGF10 EFNB2 CASP3 F2RL1 MEF2C GATA2 CTNNB1 BCL2 DLG1 PDGFA TNFSF13 CBFB PDE5A SOCS6 RIPK2 CCN2 ATM ZFP36L2 NKAP ADAM8 MFHAS1 NCKAP1L FAM49B GPAM TFRC FER PRNP AP1G1 TNFAIP3 SOX11 GCLC
GO_DIGESTION	0.00341685649202734	0.0808699950568463	0.523704649753639	1.61421516256272	2	75	CCK STK39 PIR PLS1 AQP5 VSIG1 LIMA1 IREB2 ASAH2 SOX9 FGF10 KCNN4 SGK1
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	0.0280504908835905	0.209316458935292	0.605507903563148	1.51152118173313	19	22	CCL2 PTK2B ROR2 GLUL
GO_ETHER_METABOLIC_PROCESS	0.0288600288600289	0.212191041110933	0.674125180763475	1.56130085754524	19	15	EPHX1 EPHX2 FAR1 PLAAT3 AGPS ALOX12 FASN
GO_CYTOKINE_METABOLIC_PROCESS	0.045353982300885	0.265742595700904	0.438125940809701	1.36765707852474	40	87	SYK THBS1 INHBA WNT5A EREG IGF2BP1 IGF2BP3 CD276 UBE2J1 RNF128 APP IL1RAP
GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	0.0476190476190476	0.273190281372631	-0.363085571117873	-1.33980187354058	7	55	FBLN1 DUSP6 SPRY4 SPRY1 SIRT3 LYN DUSP1 ATF3 PTPN1 FLCN EZR VRK3 KLF4 EPHB2 GPER1 LIF ITGB1BP1 NDRG2 DAB2IP CAMK2N1 CNKSR3
GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	0.0232558139534884	0.192315981269959	-0.383143252694408	-1.60832344055142	1	101	GTF2H4 POLR2J POLR1C ELOB ZNRD1 NELFE GTF2H3 ERCC3 ELP2 CCAR2 POLR2I POLR2D NELFA HMGN1 GTF2H5 ELL POLR2H DDX39B TBP PAF1 POLR2C BRD4 POLR1A GTF2F1 IWS1 NELFCD GTF2F2 POLR2G POLR1B LDB1 SUPT5H NCBP1 ERCC2 POLR2L
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	0.0483271375464684	0.27420761974343	0.500160372587084	1.40368492493903	38	42	GPR149 WNT5A SULF1 PRDX4 TTK
GO_MEMBRANE_DEPOLARIZATION	0.00229885057471264	0.0713486167846603	0.552552365531687	1.66755721516687	1	64	CCK CAV1 CACNA2D1 ANK3 SLC8A1 LRRK2 CACNB2 P2RX7 NEDD4L TSPO BCL2 ABCD1 ANK2 SLMAP CACNA1I GCLC
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0.0414798206278027	0.254319749708002	0.440490698644799	1.36589233122285	36	84	STK39 THBS1 CAV1 ANK3 APPL2 AKT2 ENPP1 FMR1 PTEN NEDD4L NEDD4 ATP7A PEA15 PRKCB CALM1 PID1 KCNE3 YWHAQ DYSF SLC30A1 PKD2 UBQLN1 RRAD CACNB3 KCNAB1 ARL6IP5 RGS4 PCSK9 OXSR1 ADRA2A CAB39
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	0.00208768267223382	0.0704383019030397	0.473880419561836	1.55703374373708	1	144	ANXA1 LMO1 IL5RA PTPN22 HAVCR2 SYK KITLG VCAM1 NDFIP1 CSF1 DLG5 RIPK3 VTCN1 CD38 CD276 TNFRSF21 EFNB1 LGALS3 FGF10 CASP3 MEF2C CTNNB1 BCL2 DLG1 PDE5A RIPK2 ATM NCKAP1L GPAM GREM1 TFRC PRNP TNFAIP3 SOX11 GPNMB CLCF1
GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	0.0108303249097473	0.131198055893074	0.534045657509237	1.55321497619802	8	52	SEMA3A INHBA WNT5A P2RY1 LHFPL2 TACR1 PLCB1 SOX9 CTNNB1 PDE5A YTHDC2 AR SMURF2 MSX1 HDAC2 UBE2B VIP AGO2 C1QBP ZFPM2 PRDM7
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING	0.0378619153674833	0.245100976808294	0.445188024662475	1.38497917723456	33	85	CAV1 WNT5A ADD2 STK3 LRRK2 BDNF LGALS3 PLCL1 MEF2C RIPK2 GNL3L ACE APP PLK2 ANXA2 TIAM1 ARRB1 PLXND1 USP33 PPP2CA NRP1 GSK3B BMP2 SYAP1 PKD1 AMFR TIRAP ANXA9 LRP1 RALB EP300
GO_SENSORY_PERCEPTION	0.00100300902708124	0.0574801489705572	0.427727047209302	1.45138956365	0	339	ANO1 PIEZO2 CCL2 CCK TIMP3 RIPOR2 OAT BACE1 RETREG1 P2RY1 GJC1 CYP1B1 FZD4 PGAP1 THRB NDP CXCL12 MYO5A COL4A3 FGFR1 COL11A1 EFEMP1 CCN3 ADCY3 F2R CHM NDN FZD2 RP2 SIX1 TGFBI MYO6 CACNB2 RDH10 KIFC3 P2RX7 GSDME EYA1 COL18A1 CASP3 MYO9A COL1A1 PITPNA RGS16 ATP8B1 NAV2 MAPK3 MECP2 PAX3 GJB4 SNAI2 PDCL DRAM2 OTOF CLN6
GO_REGULATION_OF_LIPID_STORAGE	0.028436018957346	0.210773604787562	-0.450356292184546	-1.51010773687843	5	37	ABCG1 C3 NFKBIA MEST ALKBH7 ABCA1 ZC3H12A
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	0.00102040816326531	0.0574801489705572	0.488326508916846	1.62393303354759	0	219	FSTL1 SMOC2 XDH ADGRA2 THBS1 DAB2 CAV1 FBN1 NOTCH1 WNT5A SULF1 PMEPA1 CD109 FLT1 NREP LOX NPNT FZD4 CCBE1 DKK3 FGFR1 FAM20C FGF2 BMPER CAV2 DLX1 XIAP VEGFC SLC9A6 FGF1 HIF1A NEDD4 FGF10 RUNX2 CASK CTNNB1 TGFBR1 FST SNX25 MYO1C EPN2 ONECUT2 PRKCB RBPJ CHST11 GLG1 CREB3L1 ITGA5 APLN GREM1 LTBP1 NIBAN2 TOB1 FZD1 SIRT1 GPC1 CDKN2B SOX11 PRDM16
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	0.0320699708454811	0.224375505216851	0.652901857679954	1.56123749185332	21	18	WNT5A MYO5A CTH SLC7A11 TRPC1 SP1 ZEB2
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	0.00571428571428571	0.0998068124046772	0.713011468297631	1.75168900469997	3	20	IL33 HAVCR2 SYK NDFIP1
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	0.0050761421319797	0.0951993017166133	0.420555335599204	1.40993947643465	4	257	DPYSL3 FOXG1 SEMA3A FBN1 NOTCH1 WNT5A SEMA3C MAP2 SOX2 JAG1 NTN1 ULK2 APPL2 THRB SEMA3B PMP22 EPHA7 VIM RTN4 ZNF365 ID4 DLX2 CD38 NRG1 PTEN PTK2 LRRK2 DLX1 PAK1 STMN2 COL3A1 ADGRG1 ASAP1 SOX9 PTPN9 EFNB2 RYK PLXNA3 TSPO UBE3A ADCY6 CTNNB1 BCL2 NEXMIF LPAR1 RFLNB APP PLK2 ARHGDIA PBX1 SEMA6D SNAPIN PCM1 NGEF DDX6 SOX11 SPP1 PAFAH1B1 SEMA3E PAX6 NEPRO NRP1 GSK3B HOOK3 DUSP10 PRTG HDAC2 LGALS1 DICER1 HMG20A PTPRG MED1 LRP1 FBXW7 NF1 ASPM CRMP1 TACSTD2 CARM1
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY	0.05	0.27728813559322	-0.292192479778726	-1.30441449332189	0	196	GADD45GIP1 TRPV4 MRPL52 MRPS18A NCKAP5L MRPS10 MRPS21 MRPS28 MRPL28 TMOD1 MRPS35 SH3GL1 MRPL19 MRPS6 SHFL MRPL49 MRPS18B MRPL57 CHCHD1 MRPS25 TWF2 MRPL51 MRPL54 MRPL2 KIF2C TRMT112 MRPL11 MRPL37 GLE1 SPTB STMN1 MRPS11 OXA1L MRPS34 MRPS16 MRPL33 DAP3 MRPL24 CAPG MRPS9 MRPS12 MRPL42 MRPL44 MRPL58 MRPL46 TRIM54 AURKAIP1 MRPL20 PEX14 MRPL14 CAPZB MRPS14 PTCD3 MRPS15 MRPL21 MRPS27 MRPS7 MRPS26 C12orf65 GAK JMJD4 MRPL41 MRPL43 MRPL34 MRPS36 MRPS5 KIF18B MTRF1 MRPL38 DMTN MRPL22 MRPS33 DSTN NAPA ARHGEF2 CKAP2 MRPL35 MRPL4
GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	0.0464767616191904	0.269767292731133	0.674545168394551	1.50558747458497	30	13	ANKRD1 ATR PMAIP1 ATM SPRED1 MSX1 DDX5 PLA2R1
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	0.00889453621346887	0.120094590744719	0.558612982028055	1.54339855042603	6	38	FLT1 FGFR1 FGF2 BDNF ARHGAP6 PLAA LPAR1
GO_NEURON_RECOGNITION	0.00127064803049555	0.0574801489705572	0.660012523808188	1.82355656828868	0	38	FOXG1 SEMA3A GAP43 RTN4 NEXN NDN TNFRSF21 PALLD CASP3 YWHAZ NRCAM APP
GO_PINOCYTOSIS	0.0226308345120226	0.190192013330492	0.629268038249569	1.5597747379905	15	21	CAV1 CARMIL1 APPL2 ANKFY1
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.00208333333333333	0.0704383019030397	0.474358601218558	1.5597826521494	1	149	DPYSL3 PLS3 PTK2B PHLDB2 MARCKS ADD2 CARMIL1 SYNPO RHOB BAIAP2L1 PLS1 ARHGEF10L LIMA1 SH3PXD2B PAK1 PDXP CD47 MET DLC1 FLNA ROCK2 PIK3R1 ARHGAP6 S1PR1 NOX4 PPM1E TGFBR1 PHACTR1 SORBS3 CUL3 LPAR1 SHROOM1 RFLNB
GO_AMINO_ACID_ACTIVATION	0.0158730158730159	0.158021829421424	-0.513023873576457	-1.62672481328598	3	27	VARS2 AARS2 GATB EARS2 QRSL1 AIMP2 PARS2 DARS2 AASDH DALRD3 CARS2 YARS2 PPA1
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	0.00970873786407767	0.124817741005731	-0.656283534181929	-1.73636974407831	2	15	C3 LTA IL20RB GPX1
GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION	0.00205128205128205	0.0704383019030397	0.467708857696901	1.54747311968961	1	180	DPYSL3 FOXG1 SEMA3A NOTCH1 WNT5A SEMA3C MAP2 SOX2 JAG1 NTN1 ULK2 THRB SEMA3B PMP22 EPHA7 VIM RTN4 ZNF365 ID4 DLX2 CD38 PTEN PTK2 LRRK2 DLX1 STMN2 ASAP1 SOX9 PTPN9 EFNB2 RYK PLXNA3 UBE3A ADCY6 LPAR1 APP PLK2 ARHGDIA PBX1 SEMA6D
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	0.0422360248447205	0.256341510123784	0.518185007203849	1.44296025509382	33	40	MEGF10 SIX1 CDON SHOX2 NLN RPS6KB1 MEF2C CTNNB1 BCL2 MTM1 HMGCR NIBAN2 GPC1
GO_MUSCLE_TISSUE_DEVELOPMENT	0.00202429149797571	0.0704383019030397	0.425573459055744	1.437540054923	1	314	TENM4 MEGF10 RIPOR2 IGFBP5 CAV1 NOTCH1 WNT5A SEMA3C ADAMTS9 LOX MYLK GJC1 ANKRD1 DIPK2A SLC8A1 FGFR1 COL11A1 HEG1 FGF2 NRG1 TBX3 SIX1 PTEN CAV2 FHOD3 CDON PAK1 SHOX2 NLN COL3A1 EYA2 RPS6KB1 ITGB1 SOX9 EYA1 NUPR1 EFNB2 S1PR1 RIPK1 NOX4 MEF2C CTNNB1 BCL2 TGFBR1 DLG1 TNNC1 CFL2 MTM1 XK NPRL3 HIVEP3 HMGCR ACVR1 NR2F2 LMNA RARB ZBTB18 RBPJ MYH10 SORBS2 SGCD ARID2 FHL2 MRTFB ZMPSTE24 GREM1 AKAP6 MAP2K4 NIBAN2 ZFAND5 POGLUT1 FZD7 GPC1 RXRA SOX11 SGCB SCX RB1 CFLAR TGFB2 VAMP5 PKD2 HOXD9 MTPN MAPK1 DDX5 BMP2 OBSL1 EMD JARID2 CACYBP ATG5 PRKAA1 CREB1 MED1 TGFBR2 NKX2-5 NF1
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	0.0076219512195122	0.110676143743686	0.778110268487616	1.67669978790987	4	11	CAV1 ENPP1 MVP GFRA2
GO_EPIDERMIS_MORPHOGENESIS	0.00280504908835905	0.0773437130655404	0.69419313980954	1.73290493627144	1	22	IGFBP5 NOTCH1 TMEM79 FGF10 CTNNB1 BCL2 FST ATP7A TGFB2 GORAB FOXQ1
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS	0.00621890547263682	0.102079866888519	0.58656251268725	1.63911075107497	4	41	PKP1 VIM PPL PLEC NES VPS54 KRT20 DST ERBIN MACF1 MTM1 KRT18
GO_COGNITION	0.0426395939086294	0.256647915716155	0.375725001948807	1.25582871113559	41	234	CCK RASGRF1 NGF NQO2 MGAT3 SLC1A4 SYNPO KALRN PLCB1 ADCY3 ACTR2 MAGT1 PTEN PRKAR2B PTCHD1 ATP8A1 MAP1A BDNF TMOD2 RPS6KB1 HIF1A ITGB1 DDHD2 PPP1R1B CASP3 MEF2C SHROOM4 SGK1 AFF2 MECP2 HMGCR PPP3CB APP PLK2 TUSC3 ITGA5 ATAD1 FAM107A VLDLR PRNP SLC7A11 CHMP2B NPTN THRA PAFAH1B1 RP9 MAPK1 AMFR KCNK10 PDE1B METTL23 CREB1 PJA2 NF1 VIP ITGA3 EP300 KCNAB1 LDLR IFT20 ATXN1
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	0.00902061855670103	0.120386243285303	0.569847495562089	1.55090382107112	6	35	SMOC2 XDH ADGRA2 FLT1 CCBE1 FLT4 VEGFC MYO1C
GO_RESPONSE_TO_ORGANOPHOSPHORUS	0.00434782608695652	0.0888213258048754	0.490628503517443	1.56439860194548	3	104	SPARC IGFBP5 PTK2B PANX1 AREG P2RY1 ALDH3A1 SLC8A1 EEF2K ITPR2 PTEN SRD5A1 PDXP P2RX7 PNPT1 CFTR COL1A1 NOX4 RAP1A PTPRN LPAR1 SDC1 APP
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	0.00459770114942529	0.0907908123940188	0.536986676664369	1.62058125705154	3	64	CSGALNACT1 PGM2L1 HAS2 AKT2 HAS3 ENPP1 NDST3 EXT1 GBE1 IRS1 CLTC CSGALNACT2 PGM1 UGP2 AGL DYRK2 EPM2AIP1 PPP1CB GSK3B
GO_GLAND_MORPHOGENESIS	0.00764192139737991	0.110715091360253	0.476655093707334	1.5169961726874	6	101	SEMA3A IGFBP5 CAV1 NOTCH1 WNT5A SEMA3C SULF1 NTN1 AREG MSN FGFR1 CSF1 ID4 TBX3 SOX9 FGF10 BCL2 PDGFA CUL3 NTN4 SNAI2 PLXND1 TNC TNFAIP3 RXRA AR CFLAR TGFB2 PAX6 NRP1 FEM1B FOXA1 ETV5 PLXNA1 MED1 TGFBR2 FBXW7 DAG1 NKX2-3 PML CDC42 NOTCH2
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	0.0429447852760736	0.257536402990948	-0.365654348383801	-1.37001512356824	6	57	MYDGF GET3 KLHDC3 CXXC1 ZBTB17 HDGF BCL2L11 PTPN1 EXTL3 CUL7 DDX11 BAX ATP6V0D1 GSK3A PREB DAB2IP SHC1 ARFGAP1 CTDSP2 BAK1 TPP1 PDIA6
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	0.0187845303867403	0.172326121753498	0.462781607618201	1.44344222649173	16	86	SYK DAB2 WNT5A PPARG TSPAN1 APPL2 PLCG2 EEF2K FMR1 LRRK2 NEDD4L F2RL1 GATA2 PPP3CC ANO6 ANKFY1 DNM1L ANXA2 ARRB1 ATAD1 APLN AP2B1 NCKAP1L DNM1 GREM1
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	0.0361726954492415	0.238617555355916	0.474100997970989	1.41732399862829	30	62	SMOC2 PAK3 PTK2B ATR FGF2 FBXO4 GRHL2 NOX4 CTNNB1 NEK7 MAPK3 NAF1 DSCC1 ATM CCT4 GREM1 HSP90AA1 MAPK1 DKC1 MYC TNKS
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	0.00144717800289436	0.0596869717496261	0.834203890320239	1.9581794107258	0	16	IL33 CTSC HAVCR2 THBS1 WNT5A IL1RL1 LRRK2 CEBPA
GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.00614250614250614	0.102021726387209	0.571143141336512	1.62637764075292	4	46	WNT5A SULF1 LGR4 FGFR1 RTN4 HOXB7 SIX1 LRRK2 SHOX2 SOX9 FGF10 CTNNB1 PDGFA NTN4 SNAI2 MAGED1 GREM1 RXRA AR
GO_REGULATION_OF_T_CELL_CHEMOTAXIS	0.0139968895800933	0.149178575589789	0.76241165514679	1.6052183572699	8	10	STK39 WNT5A ADAM10 WNK1 ADAM17 OXSR1
GO_SYNAPSE_ORGANIZATION	0.00100401606425703	0.0574801489705572	0.513832078667898	1.74152287470885	0	334	SPARC WNT7B PAK3 CDH1 LRRN1 GAP43 WNT5A ANK3 NTN1 ADGRL3 ADD2 COL4A1 NFIA FLRT2 SYNPO KIRREL3 OPHN1 NECTIN1 ADAM10 KALRN EPHA7 EEF2K MYO5A DLG5 ZNF365 COL4A5 F2R GPC6 NRG1 ACTR2 MAP1B SIX1 PTEN TUBA1A PTK2 LRRK2 CACNB2 CNKSR2 ACTG1 VSTM5 BDNF SLC9A6 BSN IGSF9B NEDD4 CAST GPC4 EFNB2 RYK PCDHGC3 UBE3A ABHD17C TPBG MEF2C CTNNB1 DLG1 DHX36 SIPA1L1 YWHAZ MECP2 NRCAM LRP8 APP CDKL5 DNM1L IL1RAP MYH10 NRDC TIAM1 PDZRN3 ABHD17B SNAPIN PLXND1 CAMK2B NGEF PALM ERC2 GPHN PRNP FZD1 TNC SLC7A11 L1CAM CHMP2B FBXO45 ARHGAP22 SYN1 NPTN FARP1 DMPK ADGRL1 CDH2 VPS35 PAFAH1B1 SEMA3E ACTN1 NRP1 NEFL
GO_REGULATION_OF_WOUND_HEALING	0.00108342361863489	0.0574801489705572	0.551216226900695	1.76329090485737	0	108	ANXA1 PDPN SMOC2 SYK THBS1 PLAU CAV1 CCN4 PHLDB2 CD109 MYLK MYH9 UBASH3B FGF2 F2R PRKCA PTEN C1QTNF1 PROS1 F2RL1 CASK PDGFA HMGCR ANO6 TFPI CLDN1 ANXA2 ARFGEF1 FOXA2
GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	0.0087463556851312	0.120094590744719	0.703290477213405	1.68172819202976	5	18	CDON SHOX2 RPS6KB1 MEF2C CTNNB1 BCL2 MTM1 HMGCR NIBAN2 GPC1 PRKAA1
GO_MYELOID_LEUKOCYTE_MIGRATION	0.00107296137339056	0.0574801489705572	0.497681325873165	1.61000394989266	0	123	ANXA1 CCL2 SYK THBS1 IL1RN RIPOR2 PTK2B FLT1 IL1R1 MMP28 CXCL12 CSF1 PLCB1 ROR2 CCN3 MPP1 CD47 VEGFC LGALS3 S100A14 PLA2G7 MOSPD2 C3AR1 MAPK3 ANO6 TNFRSF11A ADAM8 PDE4D NCKAP1L GREM1
GO_COLLAGEN_FIBRIL_ORGANIZATION	0.00120918984280532	0.0574801489705572	0.632193392773448	1.82060927724116	0	49	COL5A1 LOXL2 PLOD2 DDR2 LOX COL12A1 CYP1B1 COL11A1 COL5A3 ACAN COL3A1 COL1A1 TGFBR1 ATP7A ANXA2 P3H4 GREM1 SCX RB1 TGFB2
GO_CARTILAGE_DEVELOPMENT	0.0010351966873706	0.0574801489705572	0.500672334711921	1.65309345857111	0	172	LOXL2 WNT7B CSGALNACT1 WNT5A CCN4 SULF1 PRRX1 COL12A1 CD44 MATN2 FGFR1 COL11A1 SATB2 EFEMP1 COL6A2 RUNX3 ROR2 CCN3 FGF2 COL27A1 DLX2 ACAN TGFBI SHOX2 ECM1 HIF1A IMPAD1 SOX9 EVC LNPK RUNX2 COL1A1 MEF2C SNX19 CTNNB1 TGFBR1 MAPK3 SMAD5 ATP7A SCARA3 RFLNB SCIN RARB CHST11 SNAI2 CCN2 ANXA2 GLG1 ANXA6
GO_NEURON_PROJECTION_EXTENSION	0.00625	0.102079866888519	0.443296253598209	1.45764365682225	5	149	PLXNA4 SEMA3A WNT5A SEMA3C MAP2 NTN1 ULK2 USP9X SEMA3B CXCL12 RTN4 VCL NDN MAP1B PAK1 SLC9A6 OLFM1 ITGB1 NEDD4L RAPH1 RYK PLXNA3 MACF1 CTNNB1 PLAA NRCAM PPP3CB CDKL5 SEMA6D TIAM1 ITSN2 RIMS2 L1CAM HSP90AA1 RAB21 PAFAH1B1 SEMA3E GOLGA4 NRP1 GSK3B C9orf72
