Query id	Subject id	% identity	alignment length	mismatches	gap openings	q. start	q. end	s. start	s. end	e-value	bit score
lcl|YNL006W	NP_438172	21.81	243	190	15	237	2	99	333	1e-14	77.4
lcl|YNL006W	NP_060058	25.99	227	168	13	291	70	82	300	7e-19	91.7
lcl|YNL006W	NP_060058	22.50	240	186	10	301	65	33	265	6e-17	85.1
lcl|YNL006W	NP_060058	21.66	277	217	10	277	5	60	330	4e-16	82.4
lcl|YNL006W	NP_060058	21.81	243	190	15	237	2	99	333	1e-14	77.4
lcl|YNL006W	NP_775750	21.71	281	220	11	279	5	117	392	1e-17	87.4
lcl|YNL006W	NP_775750	25.68	222	165	14	283	67	94	306	1e-16	84.3
lcl|YNL006W	NP_775750	21.07	242	191	15	238	5	160	394	5e-11	65.5
lcl|YNL006W	NP_775750	26.47	68	50	1	68	2	333	400	0.034	36.2
lcl|YNL006W	NP_061942	26.34	224	165	13	291	73	81	296	2e-17	86.7
lcl|YNL006W	NP_061942	22.82	241	186	10	301	64	28	261	6e-17	85.1
lcl|YNL006W	NP_061942	19.93	276	221	50	277	5	98	326	3e-11	66.2
lcl|YNL006W	NP_061942	20.49	205	163	26	191	2	137	330	1e-07	54.3
lcl|YNL006W	NP_758440	25.35	284	212	16	284	5	33	304	6e-17	85.1
lcl|YNL006W	NP_758440	21.81	243	190	13	301	62	5	237	1e-14	77.8
lcl|YNL006W	NP_758440	24.65	142	107	4	143	4	158	297	2e-08	57.0
lcl|YNL006W	NP_001038941	27.65	264	191	11	290	29	19	273	6e-17	85.1
lcl|YNL006W	NP_001038941	21.77	271	212	54	271	4	77	296	7e-11	65.1
lcl|YNL006W	NP_001038941	30.77	130	90	7	291	162	24	146	5e-08	55.5
lcl|YNL006W	NP_001038941	29.52	105	74	1	301	197	11	114	4e-04	42.7
lcl|YNL006W	NP_006444	25.00	312	234	22	299	6	263	570	6e-17	85.1
lcl|YNL006W	NP_006444	23.97	292	222	28	277	5	350	632	6e-12	68.6
lcl|YNL006W	NP_006444	19.66	290	233	15	291	14	47	333	2e-11	66.6
lcl|YNL006W	NP_006444	20.42	333	265	57	279	2	121	451	4e-09	59.3
lcl|YNL006W	NP_150600	24.76	311	234	29	290	1	190	492	8e-17	84.7
lcl|YNL006W	NP_150600	21.28	296	233	62	301	65	169	461	1e-05	47.8
lcl|YNL006W	NP_150600	21.57	153	120	12	145	3	372	522	1e-05	47.4
lcl|YNL006W	NP_599020	24.76	311	234	29	290	1	190	492	8e-17	84.7
lcl|YNL006W	NP_599020	21.28	296	233	62	301	65	169	461	1e-05	47.8
lcl|YNL006W	NP_599020	21.57	153	120	12	145	3	372	522	1e-05	47.4
lcl|YNL006W	NP_599021	24.76	311	234	29	290	1	190	492	8e-17	84.7
lcl|YNL006W	NP_599021	21.28	296	233	62	301	65	169	461	1e-05	47.8
lcl|YNL006W	NP_599021	21.57	153	120	12	145	3	372	522	1e-05	47.4
lcl|YNL006W	NP_057532	26.25	301	222	57	290	40	107	400	1e-16	84.3
lcl|YNL006W	NP_078941	23.30	309	237	25	290	1	180	482	4e-16	82.4
lcl|YNL006W	NP_078941	19.93	296	237	62	301	65	159	451	2e-05	47.0
lcl|YNL006W	NP_078941	21.05	152	120	12	145	4	363	512	4e-05	45.8
lcl|YNL006W	NP_056241	29.06	203	144	18	299	107	9	203	7e-16	81.6
lcl|YNL006W	NP_056241	25.96	208	154	9	277	71	99	298	6e-15	78.6
lcl|YNL006W	NP_056241	22.32	233	181	11	301	71	57	280	5e-12	68.9
lcl|YNL006W	NP_056241	25.54	184	137	5	187	6	119	299	3e-11	66.2
lcl|YNL006W	NP_056241	22.54	142	110	4	143	4	159	298	2e-06	50.4
lcl|YNL006W	NP_056241	20.45	132	105	3	135	5	202	331	0.002	40.0
lcl|YNL006W	NP_005877	26.64	229	168	12	271	45	34	252	7e-16	81.6
lcl|YNL006W	NP_005877	25.23	214	160	10	285	74	19	224	3e-15	79.7
lcl|YNL006W	NP_005877	23.20	181	139	15	291	115	19	188	5e-09	58.9
lcl|YNL006W	NP_005877	22.22	99	77	1	298	200	56	153	3e-04	43.1
lcl|YNL006W	NP_005877	27.96	93	67	3	96	5	162	252	0.004	39.3
lcl|YNL006W	NP_006089	24.32	296	224	31	280	4	30	313	1e-15	80.9
lcl|YNL006W	NP_006089	21.74	184	144	13	291	115	14	191	8e-09	58.2
lcl|YNL006W	NP_006089	28.16	103	74	5	301	204	12	114	2e-06	50.1
lcl|YNL006W	NP_060566	22.46	334	259	54	291	5	129	455	2e-15	80.1
lcl|YNL006W	NP_060566	24.21	318	241	51	291	19	102	413	1e-14	77.4
lcl|YNL006W	NP_060566	21.81	243	190	30	234	4	259	483	5e-09	58.9
lcl|YNL006W	NP_060566	25.91	193	143	15	301	115	113	296	1e-06	51.2
lcl|YNL006W	NP_060566	21.29	155	122	12	298	149	105	252	4e-06	49.3
lcl|YNL006W	NP_002660	24.78	230	173	51	301	73	202	381	1e-14	77.4
lcl|YNL006W	NP_002660	24.29	247	187	9	244	2	258	499	1e-09	61.2
lcl|YNL006W	NP_002660	21.31	291	229	25	283	6	220	498	1e-09	60.8
lcl|YNL006W	NP_002660	30.77	52	36	0	291	240	194	245	0.012	37.7
lcl|YNL006W	NP_036432	23.19	263	202	60	302	42	249	453	2e-14	77.0
lcl|YNL006W	NP_036432	22.22	234	182	11	234	4	292	517	5e-09	58.9
lcl|YNL006W	NP_036432	29.05	148	105	13	144	5	376	518	5e-08	55.5
lcl|YNL006W	NP_036432	28.04	107	77	10	103	4	415	518	1e-05	47.4
lcl|YNL006W	NP_387448	23.19	263	202	60	302	42	236	440	2e-14	77.0
lcl|YNL006W	NP_387448	22.22	234	182	11	234	4	279	504	5e-09	58.9
lcl|YNL006W	NP_387448	29.05	148	105	13	144	5	363	505	5e-08	55.5
lcl|YNL006W	NP_387448	28.04	107	77	10	103	4	402	505	1e-05	47.4
lcl|YNL006W	NP_387449	23.19	263	202	60	302	42	215	419	2e-14	77.0
lcl|YNL006W	NP_387449	22.22	234	182	11	234	4	258	483	5e-09	58.9
lcl|YNL006W	NP_387449	29.05	148	105	13	144	5	342	484	5e-08	55.5
lcl|YNL006W	NP_387449	28.04	107	77	10	103	4	381	484	1e-05	47.4
lcl|YNL006W	NP_005638	23.62	309	236	25	290	1	243	545	2e-14	76.6
lcl|YNL006W	NP_005638	21.01	238	188	26	301	77	290	514	3e-07	53.1
lcl|YNL006W	NP_005638	22.22	153	119	12	145	3	425	575	4e-06	49.3
lcl|YNL006W	NP_065890	28.24	170	122	11	163	5	90	259	2e-14	76.6
lcl|YNL006W	NP_065890	23.28	262	201	16	302	49	9	262	7e-13	71.6
lcl|YNL006W	NP_008882	23.91	297	226	74	249	5	484	758	3e-14	76.3
lcl|YNL006W	NP_008882	22.34	282	219	68	296	18	456	672	7e-08	55.1
lcl|YNL006W	NP_008882	27.33	161	117	19	297	137	491	632	2e-07	53.9
lcl|YNL006W	NP_060853	23.10	277	213	12	277	5	134	402	3e-14	76.3
lcl|YNL006W	NP_060853	20.00	230	184	19	303	81	125	342	4e-06	49.3
lcl|YNL006W	NP_060853	23.29	146	112	7	143	4	258	402	0.005	38.9
lcl|YNL006W	NP_055224	23.77	324	247	53	298	19	255	569	5e-14	75.5
lcl|YNL006W	NP_055224	25.93	162	120	7	161	2	396	552	3e-12	69.7
lcl|YNL006W	NP_378663	23.19	263	202	60	302	42	312	516	5e-14	75.5
lcl|YNL006W	NP_378663	21.76	239	187	11	239	4	355	585	8e-09	58.2
lcl|YNL006W	NP_378663	23.30	279	214	65	279	5	316	533	1e-06	50.8
lcl|YNL006W	NP_003930	23.19	263	202	60	302	42	276	480	5e-14	75.5
lcl|YNL006W	NP_003930	21.76	239	187	11	239	4	319	549	8e-09	58.2
lcl|YNL006W	NP_003930	23.30	279	214	65	279	5	280	497	1e-06	50.8
lcl|YNL006W	NP_361014	22.81	285	220	23	286	5	394	658	1e-13	74.3
lcl|YNL006W	NP_361014	25.61	246	183	40	236	4	433	651	1e-12	70.9
lcl|YNL006W	NP_361014	30.63	111	77	8	112	5	554	659	8e-09	58.2
lcl|YNL006W	NP_060785	22.81	285	220	23	286	5	314	578	1e-13	74.3
lcl|YNL006W	NP_060785	25.61	246	183	40	236	4	353	571	1e-12	70.9
lcl|YNL006W	NP_060785	30.63	111	77	8	112	5	474	579	8e-09	58.2
lcl|YNL006W	NP_001013433	22.81	285	220	23	286	5	276	540	1e-13	74.3
lcl|YNL006W	NP_001013433	25.61	246	183	40	236	4	315	533	1e-12	70.9
lcl|YNL006W	NP_001013433	30.63	111	77	8	112	5	436	541	8e-09	58.2
lcl|YNL006W	NP_002065	24.65	215	162	14	235	25	136	340	1e-13	73.9
lcl|YNL006W	NP_002065	23.08	286	220	21	278	2	67	340	5e-12	68.9
lcl|YNL006W	NP_002065	20.72	251	199	28	297	62	34	271	6e-09	58.5
lcl|YNL006W	NP_002065	19.72	142	114	10	300	162	58	192	0.001	41.2
lcl|YNL006W	NP_689741	24.03	258	196	13	291	46	24	280	2e-13	73.2
lcl|YNL006W	NP_689741	22.95	244	188	14	293	62	83	324	2e-09	60.5
lcl|YNL006W	NP_079510	26.34	224	165	11	291	70	59	273	4e-13	72.4
lcl|YNL006W	NP_079510	26.81	235	172	15	299	72	13	239	5e-12	68.9
lcl|YNL006W	NP_079510	19.91	226	181	11	278	54	87	302	1e-11	67.8
lcl|YNL006W	NP_079510	24.83	149	112	5	189	43	159	304	2e-10	63.9
lcl|YNL006W	NP_079510	28.17	142	102	4	144	5	163	302	1e-09	60.8
lcl|YNL006W	NP_055317	22.98	235	181	10	236	4	278	504	4e-13	72.4
lcl|YNL006W	NP_055317	25.00	236	177	16	271	41	232	456	1e-12	70.9
lcl|YNL006W	NP_055317	26.15	195	144	7	279	86	233	421	2e-11	66.6
lcl|YNL006W	NP_005264	23.94	213	162	10	235	25	136	340	4e-13	72.4
lcl|YNL006W	NP_005264	22.38	286	222	21	278	2	67	340	1e-10	64.3
lcl|YNL006W	NP_005264	21.48	256	201	25	297	49	34	271	6e-09	58.5
lcl|YNL006W	NP_005264	21.30	169	133	5	299	131	70	233	4e-06	49.3
lcl|YNL006W	NP_005264	19.72	142	114	10	300	162	58	192	0.001	41.2
lcl|YNL006W	NP_001151	23.93	280	213	25	285	11	849	1108	1e-12	70.9
lcl|YNL006W	NP_001151	19.32	264	213	25	278	30	603	856	7e-11	65.1
lcl|YNL006W	NP_001151	22.13	235	183	45	234	5	661	855	8e-09	58.2
lcl|YNL006W	NP_001151	31.91	94	64	1	297	204	601	693	1e-08	57.4
lcl|YNL006W	NP_001151	27.78	126	91	9	291	168	613	731	5e-07	52.4
lcl|YNL006W	NP_001151	20.34	349	278	63	301	4	746	1082	8e-07	51.6
lcl|YNL006W	NP_001151	20.94	191	151	15	185	5	1004	1189	9e-06	48.1
lcl|YNL006W	NP_001151	22.22	171	133	14	281	115	603	763	1e-04	44.3
lcl|YNL006W	NP_037361	23.93	280	213	25	285	11	892	1151	1e-12	70.9
lcl|YNL006W	NP_037361	23.21	280	215	47	278	5	661	899	2e-10	63.9
lcl|YNL006W	NP_037361	18.77	277	225	24	291	30	603	870	6e-09	58.5
lcl|YNL006W	NP_037361	31.91	94	64	1	297	204	601	693	1e-08	57.4
lcl|YNL006W	NP_037361	20.94	191	151	15	185	5	1047	1232	9e-06	48.1
lcl|YNL006W	NP_037361	21.58	278	218	48	301	62	858	1125	1e-05	47.4
lcl|YNL006W	NP_863651	23.93	280	213	25	285	11	903	1162	1e-12	70.9
lcl|YNL006W	NP_863651	23.21	280	215	47	278	5	672	910	2e-10	63.9
lcl|YNL006W	NP_863651	18.77	277	225	24	291	30	614	881	6e-09	58.5
lcl|YNL006W	NP_863651	31.91	94	64	1	297	204	612	704	1e-08	57.4
lcl|YNL006W	NP_863651	20.94	191	151	15	185	5	1058	1243	9e-06	48.1
lcl|YNL006W	NP_863651	21.58	278	218	48	301	62	869	1136	1e-05	47.4
lcl|YNL006W	NP_863658	23.93	280	213	25	285	11	860	1119	1e-12	70.9
lcl|YNL006W	NP_863658	19.32	264	213	25	278	30	614	867	7e-11	65.1
lcl|YNL006W	NP_863658	22.13	235	183	45	234	5	672	866	8e-09	58.2
lcl|YNL006W	NP_863658	31.91	94	64	1	297	204	612	704	1e-08	57.4
lcl|YNL006W	NP_863658	27.78	126	91	9	291	168	624	742	5e-07	52.4
lcl|YNL006W	NP_863658	20.34	349	278	63	301	4	757	1093	8e-07	51.6
lcl|YNL006W	NP_863658	20.94	191	151	15	185	5	1015	1200	9e-06	48.1
lcl|YNL006W	NP_863658	22.22	171	133	14	281	115	614	774	1e-04	44.3
lcl|YNL006W	NP_060695	23.70	211	161	40	283	73	212	382	1e-12	70.9
lcl|YNL006W	NP_060695	23.68	152	116	12	145	4	278	427	7e-11	65.1
lcl|YNL006W	NP_060695	21.62	296	232	36	277	5	229	511	8e-09	58.2
lcl|YNL006W	NP_060695	23.12	160	123	6	291	138	189	348	9e-06	48.1
lcl|YNL006W	NP_004688	24.47	237	179	12	277	43	293	519	3e-12	69.7
lcl|YNL006W	NP_004688	21.97	223	174	27	291	83	239	448	6e-10	62.0
lcl|YNL006W	NP_004688	27.70	148	107	7	301	158	230	374	2e-09	60.5
lcl|YNL006W	NP_004688	24.48	192	145	30	186	10	343	519	1e-04	44.3
lcl|YNL006W	NP_067642	24.77	214	161	12	235	25	136	340	3e-12	69.7
lcl|YNL006W	NP_067642	23.43	286	219	21	278	2	67	340	6e-12	68.6
lcl|YNL006W	NP_067642	22.13	235	183	20	297	70	50	271	1e-09	60.8
lcl|YNL006W	NP_067642	21.48	135	106	10	301	170	66	193	3e-04	43.1
lcl|YNL006W	NP_078808	25.45	279	208	19	277	4	366	630	4e-12	69.3
lcl|YNL006W	NP_078808	25.68	222	165	17	291	75	310	519	2e-08	56.6
lcl|YNL006W	NP_078808	22.38	210	163	11	278	71	348	548	1e-06	50.8
lcl|YNL006W	NP_078808	29.03	93	66	5	293	203	348	437	2e-05	47.0
lcl|YNL006W	NP_006775	21.16	293	231	23	283	2	427	707	4e-12	69.3
lcl|YNL006W	NP_006775	20.28	286	228	22	301	27	410	684	4e-09	59.3
lcl|YNL006W	NP_006775	24.17	211	160	17	280	75	23	221	2e-08	57.0
lcl|YNL006W	NP_006775	23.08	143	110	5	145	6	80	220	6e-05	45.4
lcl|YNL006W	NP_006775	26.16	172	127	12	291	122	29	190	1e-04	44.3
lcl|YNL006W	NP_056441	27.18	206	150	25	296	97	74	260	6e-12	68.6
lcl|YNL006W	NP_056441	22.53	253	196	17	277	36	132	378	1e-11	67.4
lcl|YNL006W	NP_056441	28.57	154	110	8	289	137	149	295	5e-11	65.5
lcl|YNL006W	NP_056441	24.14	203	154	19	189	2	183	381	1e-08	57.4
lcl|YNL006W	NP_004757	20.18	228	182	11	301	78	18	238	1e-11	67.8
lcl|YNL006W	NP_004757	22.69	238	184	15	299	68	50	278	4e-11	65.9
lcl|YNL006W	NP_004757	31.31	99	68	5	102	7	160	256	8e-07	51.6
lcl|YNL006W	NP_599027	40.00	75	45	0	296	222	40	114	1e-11	67.8
lcl|YNL006W	NP_599027	22.90	214	165	14	277	74	23	232	6e-10	62.0
lcl|YNL006W	NP_599027	29.46	129	91	7	289	162	27	149	8e-09	58.2
lcl|YNL006W	NP_599027	24.14	203	154	19	189	2	37	235	1e-08	57.4
lcl|YNL006W	NP_203746	22.70	282	218	32	303	33	337	597	1e-11	67.4
lcl|YNL006W	NP_203746	23.67	283	216	19	277	2	348	618	2e-11	66.6
lcl|YNL006W	NP_061109	30.57	157	109	10	292	137	132	279	1e-11	67.4
lcl|YNL006W	NP_061109	24.76	206	155	19	282	90	126	325	5e-11	65.5
lcl|YNL006W	NP_061109	23.35	227	174	24	296	80	31	243	2e-08	56.6
lcl|YNL006W	NP_061109	26.11	203	150	20	189	2	166	363	8e-07	51.6
lcl|YNL006W	NP_061109	21.50	200	157	15	188	3	124	322	3e-05	46.2
lcl|YNL006W	NP_659491	22.84	232	179	8	234	5	389	614	1e-11	67.4
lcl|YNL006W	NP_659491	19.86	292	234	43	291	16	322	586	1e-09	61.2
lcl|YNL006W	NP_659491	16.13	248	208	9	296	51	308	548	0.007	38.5
lcl|YNL006W	NP_001074025	22.84	232	179	8	234	5	321	546	1e-11	67.4
lcl|YNL006W	NP_001074025	19.86	292	234	43	291	16	254	518	1e-09	61.2
lcl|YNL006W	NP_001074025	16.13	248	208	9	296	51	240	480	0.007	38.5
lcl|YNL006W	NP_004795	24.88	209	157	18	297	96	37	234	2e-11	67.0
lcl|YNL006W	NP_004795	21.21	330	260	79	301	4	30	312	5e-08	55.5
lcl|YNL006W	NP_004795	22.62	168	130	28	143	4	164	331	0.034	36.2
lcl|YNL006W	NP_002066	22.54	213	165	10	235	25	136	340	2e-11	66.6
lcl|YNL006W	NP_002066	22.73	286	221	21	278	2	67	340	3e-11	66.2
lcl|YNL006W	NP_002066	19.57	235	189	20	297	70	50	271	2e-06	50.1
lcl|YNL006W	NP_002066	20.98	143	113	10	301	162	58	193	0.002	40.4
lcl|YNL006W	NP_110430	21.48	284	223	62	235	2	334	605	4e-11	65.9
lcl|YNL006W	NP_110430	17.71	271	223	18	296	32	322	580	5e-08	55.5
lcl|YNL006W	NP_110430	19.53	297	239	26	291	11	121	407	0.001	41.2
lcl|YNL006W	NP_060444	21.48	284	223	62	235	2	315	586	4e-11	65.9
lcl|YNL006W	NP_060444	17.71	271	223	18	296	32	303	561	5e-08	55.5
lcl|YNL006W	NP_060444	23.33	90	69	1	291	203	299	388	0.005	38.9
lcl|YNL006W	NP_004362	20.83	264	209	37	301	68	2	258	5e-11	65.5
lcl|YNL006W	NP_004362	19.80	293	235	30	292	5	24	291	5e-08	55.5
lcl|YNL006W	NP_004362	23.81	147	112	18	147	4	149	280	9e-05	44.7
lcl|YNL006W	NP_003153	21.09	275	217	30	293	46	478	749	7e-11	65.1
lcl|YNL006W	NP_003153	20.97	124	98	10	143	27	659	779	0.004	39.3
lcl|YNL006W	NP_005040	22.01	209	163	9	278	72	370	571	2e-10	63.5
lcl|YNL006W	NP_005040	22.84	197	152	21	190	5	388	574	2e-06	50.4
lcl|YNL006W	NP_055389	19.78	273	219	26	293	46	411	682	2e-10	63.5
lcl|YNL006W	NP_009041	25.17	298	223	34	279	4	1982	2267	7e-10	61.6
lcl|YNL006W	NP_009041	23.49	281	215	51	299	68	1877	2155	1e-08	57.8
lcl|YNL006W	NP_009041	20.92	239	189	62	187	5	2076	2308	3e-07	53.1
lcl|YNL006W	NP_009041	20.10	194	155	9	235	42	1728	1912	0.002	40.0
lcl|YNL006W	NP_057347	24.24	231	175	19	236	14	253	472	7e-10	61.6
lcl|YNL006W	NP_057347	27.62	105	76	2	106	4	370	474	2e-04	43.9
lcl|YNL006W	NP_057347	24.36	156	118	14	299	150	215	362	5e-04	42.4
lcl|YNL006W	NP_057347	21.26	254	200	17	301	55	209	452	0.044	35.8
lcl|YNL006W	NP_001014445	32.65	98	66	1	291	194	67	163	1e-09	61.2
lcl|YNL006W	NP_001014445	28.17	142	102	5	143	5	52	191	3e-08	56.2
lcl|YNL006W	NP_001014445	33.33	90	60	2	291	202	34	121	2e-05	47.0
lcl|YNL006W	NP_001014445	22.45	147	114	7	277	131	52	191	6e-05	45.4
lcl|YNL006W	NP_001014445	21.09	147	116	9	234	90	52	191	5e-04	42.4
lcl|YNL006W	NP_061918	21.86	311	243	35	287	4	525	827	1e-09	60.8
lcl|YNL006W	NP_061918	22.70	163	126	22	182	40	751	911	5e-04	42.4
lcl|YNL006W	NP_061918	19.05	231	187	21	216	5	621	849	0.001	41.2
lcl|YNL006W	NP_115737	23.83	256	195	54	281	71	51	297	1e-09	60.8
lcl|YNL006W	NP_115737	22.70	185	143	23	178	4	114	285	2e-06	50.1
lcl|YNL006W	NP_115737	32.56	86	58	2	285	202	50	135	6e-04	42.0
lcl|YNL006W	NP_060111	25.22	230	172	26	234	18	1422	1638	2e-09	60.5
lcl|YNL006W	NP_060111	18.87	302	245	33	298	4	1346	1621	4e-06	49.3
lcl|YNL006W	NP_060066	23.11	225	173	18	235	19	1386	1600	2e-09	60.5
lcl|YNL006W	NP_060066	19.01	284	230	36	297	43	1305	1581	9e-06	48.1
lcl|YNL006W	NP_060066	16.61	307	256	45	278	4	1307	1600	6e-04	42.0
lcl|YNL006W	NP_001026859	22.75	233	180	20	277	46	84	297	2e-09	60.1
lcl|YNL006W	NP_001026859	21.36	206	162	12	208	5	126	321	2e-06	50.1
lcl|YNL006W	NP_001026859	35.71	70	45	5	291	222	126	190	0.003	39.7
lcl|YNL006W	NP_004244	22.75	233	180	20	277	46	27	240	2e-09	60.1
lcl|YNL006W	NP_004244	21.36	206	162	12	208	5	69	264	2e-06	50.1
lcl|YNL006W	NP_004244	35.71	70	45	5	291	222	69	133	0.003	39.7
lcl|YNL006W	NP_001078	22.02	277	216	40	277	4	188	427	3e-09	59.7
lcl|YNL006W	NP_001078	23.67	300	229	14	291	2	104	399	1e-08	57.4
lcl|YNL006W	NP_690869	23.83	214	163	13	210	2	89	294	5e-09	58.9
lcl|YNL006W	NP_690869	28.57	112	80	4	301	193	18	128	0.044	35.8
lcl|YNL006W	NP_006569	23.56	208	159	11	277	74	152	352	6e-09	58.5
lcl|YNL006W	NP_006569	25.00	140	105	2	143	6	213	352	6e-07	52.0
lcl|YNL006W	NP_006569	22.73	198	153	12	235	42	164	353	8e-07	51.6
lcl|YNL006W	NP_006569	19.20	224	181	45	291	70	58	238	2e-04	43.9
lcl|YNL006W	NP_006569	26.92	52	38	0	300	249	152	203	0.015	37.4
lcl|YNL006W	NP_057278	23.56	208	159	11	277	74	194	394	6e-09	58.5
lcl|YNL006W	NP_057278	25.00	140	105	2	143	6	255	394	6e-07	52.0
lcl|YNL006W	NP_057278	22.73	198	153	12	235	42	206	395	8e-07	51.6
lcl|YNL006W	NP_057278	19.20	224	181	45	291	70	100	280	2e-04	43.9
lcl|YNL006W	NP_057278	26.92	52	38	0	300	249	194	245	0.015	37.4
lcl|YNL006W	NP_054742	20.54	331	263	53	287	3	170	493	8e-09	58.2
lcl|YNL006W	NP_054742	24.14	203	154	11	237	40	290	486	2e-07	53.9
lcl|YNL006W	NP_054742	23.64	220	168	24	279	68	192	395	9e-05	44.7
lcl|YNL006W	NP_054742	35.56	45	29	1	291	248	154	198	0.034	36.2
lcl|YNL006W	NP_060726	23.04	230	177	33	283	82	106	330	8e-09	58.2
lcl|YNL006W	NP_060726	31.19	109	75	4	110	5	271	378	1e-06	51.2
lcl|YNL006W	NP_060726	33.01	103	69	11	169	67	249	340	9e-05	44.7
lcl|YNL006W	NP_056541	23.57	263	201	44	301	72	190	441	1e-08	57.8
lcl|YNL006W	NP_037535	21.18	288	227	21	293	22	440	722	1e-08	57.4
lcl|YNL006W	NP_037535	18.28	290	237	32	301	38	405	688	4e-05	45.8
lcl|YNL006W	NP_037535	21.37	117	92	8	143	33	638	752	0.009	38.1
lcl|YNL006W	NP_037535	21.25	160	126	9	155	5	559	718	0.026	36.6
lcl|YNL006W	NP_001034966	21.18	288	227	21	293	22	447	729	1e-08	57.4
lcl|YNL006W	NP_001034966	18.28	290	237	32	301	38	412	695	4e-05	45.8
lcl|YNL006W	NP_001034966	21.37	117	92	8	143	33	645	759	0.009	38.1
lcl|YNL006W	NP_001034966	21.25	160	126	9	155	5	566	725	0.026	36.6
lcl|YNL006W	NP_005069	20.82	293	232	44	279	27	482	770	1e-08	57.4
lcl|YNL006W	NP_005069	21.95	123	96	2	301	180	506	627	6e-04	42.0
lcl|YNL006W	NP_005069	19.09	241	195	26	236	5	547	770	0.001	41.2
lcl|YNL006W	NP_663622	23.49	166	127	8	205	45	98	260	2e-08	57.0
lcl|YNL006W	NP_942590	27.21	147	107	7	144	5	144	290	2e-08	56.6
lcl|YNL006W	NP_660337	22.55	306	237	29	299	14	1188	1484	2e-08	56.6
