Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
AATK	1819.83	5.18012	0.114595	45.2036	0	0	126	110	2769	3099	105.95	89.27	3450.46	3633.63
ABAT	1071.69	3.60291	0.106546	33.8156	1.16285e-250	8.12884e-249	209	185	1563	1717	175.75	150.14	1947.66	2013.21
ABCA1	116.759	-1.14632	0.242436	-4.72832	2.26382e-06	5.60793e-06	212	177	60	60	178.27	143.65	74.77	70.35
ABCA10	6.14814	3.51414	1.18435	2.96714	0.00300589	0.00544792	1	1	9	10	0.84	0.81	11.21	11.73
ABCA11P	28.8679	0.002419	0.450548	0.00536901	0.995716	0.996398	31	39	20	28	26.07	31.65	24.92	32.83
ABCA12	10.7183	-2.85441	0.903742	-3.15844	0.00158618	0.00298425	24	22	2	2	20.18	17.85	2.49	2.35
ABCA13	2.24246	-1.26622	1.49879	-0.844828	0.398207	0.469963	2	6	1	1	1.68	4.87	1.25	1.17
ABCA17P	16.4871	2.59011	0.662641	3.90877	9.27661e-05	0.000198642	5	6	24	23	4.2	4.87	29.91	26.97
ABCA2	6305.64	3.15175	0.054851	57.4601	0	0	1508	1580	8897	9881	1268.07	1282.28	11086.57	11585.63
ABCA3	1155.2	2.99573	0.0974032	30.756	1.01741e-207	5.37698e-206	299	324	1565	1839	251.43	262.95	1950.15	2156.26
ABCA4	15.0815	-0.684102	0.630044	-1.0858	0.277567	0.344939	27	18	10	9	22.7	14.61	12.46	10.55
ABCA5	98.0112	1.31433	0.253343	5.18796	2.12614e-07	5.68677e-07	63	73	106	126	52.98	59.24	132.09	147.74
ABCA6	10.7474	4.35616	1.08016	4.03289	5.50958e-05	0.000120507	1	1	20	14	0.84	0.81	24.92	16.42
ABCA7	373.565	-0.367499	0.137068	-2.68113	0.00733737	0.0126416	521	498	240	301	438.11	404.16	299.06	352.93
ABCA8	92.6014	3.72804	0.342229	10.8934	1.23901e-27	7.6146e-27	19	12	143	142	15.98	9.74	178.19	166.5
ABCA9	17.0153	4.52664	0.908028	4.98513	6.19207e-07	1.6034e-06	1	2	31	23	0.84	1.62	38.63	26.97
ABCB1	70.7583	2.0036	0.310896	6.44461	1.15894e-10	3.81088e-10	37	31	86	102	31.11	25.16	107.16	119.6
ABCB10	87.0785	-0.569031	0.26341	-2.16025	0.0307537	0.0476514	125	127	56	60	105.11	103.07	69.78	70.35
ABCB11	1.42356	-0.371254	1.68941	-0.219753	0.826063	NA	1	3	1	1	0.84	2.43	1.25	1.17
ABCB4	8.38745	-2.46139	0.967403	-2.54433	0.0109488	0.0183534	13	22	1	3	10.93	17.85	1.25	3.52
ABCB5	8.86698	-3.53088	1.10577	-3.19313	0.00140738	0.00266041	20	20	1	1	16.82	16.23	1.25	1.17
ABCB6	411.389	-0.830598	0.128538	-6.46191	1.03392e-10	3.41129e-10	607	669	240	250	510.42	542.94	299.06	293.13
ABCB7	104.15	-1.62949	0.261812	-6.22389	4.84985e-10	1.54047e-09	173	209	41	43	145.48	169.62	51.09	50.42
ABCB8	389.014	0.228784	0.128263	1.78371	0.0744703	0.107085	439	428	335	360	369.15	347.35	417.44	422.11
ABCB9	211.025	2.00124	0.182876	10.9432	7.16651e-28	4.44144e-27	98	106	259	301	82.41	86.03	322.74	352.93
ABCC1	514.272	-2.8912	0.142017	-20.3582	3.92782e-92	7.29285e-91	1061	1135	94	108	892.19	921.13	117.13	126.63
ABCC10	226.337	0.0677832	0.16719	0.405426	0.685164	0.738491	274	261	175	209	230.41	211.82	218.07	245.06
ABCC11	5.8684	1.04632	1.01704	1.02879	0.303579	0.37303	4	5	11	2	3.36	4.06	13.71	2.35
ABCC12	6.99073	3.70937	1.1661	3.18101	0.00146762	0.00276951	1	1	7	15	0.84	0.81	8.72	17.59
ABCC13	1.22066	-0.0247955	1.75776	-0.0141064	0.988745	NA	1	2	1	1	0.84	1.62	1.25	1.17
ABCC2	201.102	-6.28034	0.512784	-12.2475	1.73198e-34	1.27099e-33	480	482	3	5	403.63	391.18	3.74	5.86
ABCC3	108.947	-4.80959	0.454432	-10.5837	3.54534e-26	2.11228e-25	244	266	9	3	205.18	215.88	11.21	3.52
ABCC4	111.19	-3.10391	0.306286	-10.134	3.90178e-24	2.19284e-23	230	253	20	18	193.41	205.33	24.92	21.11
ABCC5	451.685	1.30997	0.128208	10.2175	1.65512e-24	9.39223e-24	294	335	481	587	247.22	271.88	599.38	688.27
ABCC6	46.8921	-3.19226	0.475576	-6.71241	1.9143e-11	6.58078e-11	108	97	6	9	90.82	78.72	7.48	10.55
ABCC6P1	5.1636	-2.68458	1.22338	-2.19439	0.028207	0.043989	13	9	1	1	10.93	7.3	1.25	1.17
ABCC6P2	1.844	-0.898048	1.56183	-0.574998	0.565293	NA	3	3	1	1	2.52	2.43	1.25	1.17
ABCC8	286.242	7.33553	0.505573	14.5093	1.05747e-47	1.02966e-46	4	4	460	482	3.36	3.25	573.21	565.15
ABCC9	22.9668	3.44052	0.644108	5.34153	9.21649e-08	2.5319e-07	2	7	33	37	1.68	5.68	41.12	43.38
ABCD1	182.405	-2.5413	0.223813	-11.3546	7.03644e-30	4.59819e-29	367	387	51	37	308.61	314.08	63.55	43.38
ABCD2	34.949	4.25683	0.609953	6.97896	2.97381e-12	1.06422e-11	2	6	58	52	1.68	4.87	72.27	60.97
ABCD3	147.589	-0.50262	0.203765	-2.46667	0.0136376	0.0224787	208	211	100	102	174.91	171.24	124.61	119.6
ABCD4	178.047	0.0629426	0.189826	0.331581	0.740206	0.786492	206	216	130	172	173.22	175.3	161.99	201.67
ABCE1	115.842	-1.19624	0.245429	-4.87408	1.09318e-06	2.77624e-06	179	212	65	51	150.52	172.05	81	59.8
ABCF1	657.09	-1.35601	0.107111	-12.6599	9.86779e-37	7.63068e-36	1143	1145	293	318	961.14	929.25	365.11	372.86
ABCF2	425.232	-0.484243	0.123974	-3.906	9.38354e-05	0.000200711	592	609	280	307	497.81	494.25	348.91	359.96
ABCF3	419.891	0.644378	0.123854	5.2027	1.96411e-07	5.26542e-07	398	395	408	440	334.68	320.57	508.41	515.91
ABCG1	198.688	0.47295	0.177162	2.66959	0.00759434	0.0130433	188	215	194	188	158.09	174.49	241.74	220.43
ABCG2	66.8561	1.37435	0.307962	4.46273	8.09205e-06	1.90786e-05	38	52	77	83	31.95	42.2	95.95	97.32
ABCG4	182.436	5.9089	0.41006	14.4098	4.48696e-47	4.31624e-46	7	7	279	316	5.89	5.68	347.66	370.52
ABCG5	12.0219	-2.16503	0.778492	-2.78105	0.00541834	0.00951844	24	24	3	4	20.18	19.48	3.74	4.69
ABCG8	13.2921	-1.38834	0.691525	-2.00765	0.0446801	0.0672001	20	27	5	7	16.82	21.91	6.23	8.21
ABHD1	5.11156	-0.818118	1.03008	-0.794225	0.427065	0.499419	7	9	3	3	5.89	7.3	3.74	3.52
ABHD10	156.948	0.663409	0.197252	3.36325	0.000770297	0.00149974	148	146	147	172	124.45	118.49	183.18	201.67
ABHD11	118.847	-0.700263	0.235538	-2.97303	0.00294874	0.00534988	193	163	67	83	162.29	132.29	83.49	97.32
ABHD12	824.98	0.988723	0.0939805	10.5205	6.94912e-26	4.1026e-25	677	661	866	951	569.29	536.45	1079.12	1115.06
ABHD12B	6.83627	1.81661	0.942121	1.92821	0.0538288	0.0797575	4	3	6	12	3.36	2.43	7.48	14.07
ABHD13	50.0218	0.146582	0.340425	0.430584	0.666771	0.722393	54	61	43	44	45.41	49.51	53.58	51.59
ABHD14A	323.887	2.19592	0.157383	13.9527	3.02885e-44	2.76217e-43	123	158	404	478	103.43	128.23	503.43	560.46
ABHD14B	311.791	-1.90546	0.158105	-12.0519	1.89639e-33	1.35979e-32	583	609	112	105	490.24	494.25	139.56	123.11
ABHD15	77.5361	-1.71347	0.315654	-5.42833	5.68837e-08	1.58552e-07	154	134	21	39	129.5	108.75	26.17	45.73
ABHD2	810.073	0.843356	0.0963346	8.75445	2.05105e-18	9.53065e-18	703	700	874	846	591.15	568.1	1089.09	991.95
ABHD3	77.1634	-1.36628	0.299293	-4.56503	4.99422e-06	1.1994e-05	144	125	39	32	121.09	101.45	48.6	37.52
ABHD4	201.24	-0.46681	0.177414	-2.63119	0.00850855	0.014514	269	297	128	152	226.2	241.04	159.5	178.22
ABHD5	77.0589	-0.282078	0.279308	-1.00992	0.312535	0.382808	94	111	58	57	79.04	90.08	72.27	66.83
ABHD6	214.53	2.1459	0.18439	11.6378	2.64649e-31	1.79773e-30	101	90	273	307	84.93	73.04	340.19	359.96
ABHD8	744.294	2.58987	0.109789	23.5896	4.92787e-123	1.26225e-121	257	256	982	1134	216.11	207.76	1223.67	1329.63
ABI1	250.907	0.754097	0.158153	4.76814	1.85931e-06	4.63599e-06	229	223	245	277	192.57	180.98	305.3	324.79
ABI2	595.85	1.04746	0.1085	9.65406	4.72451e-22	2.49612e-21	444	497	658	671	373.36	403.35	819.94	786.76
ABI3	27.6309	1.59092	0.477471	3.33198	0.000862314	0.00167036	19	14	31	38	15.98	11.36	38.63	44.56
ABI3BP	14.7144	-0.268136	0.620919	-0.431838	0.665859	0.721717	18	21	12	10	15.14	17.04	14.95	11.73
ABL1	1000.61	-0.938072	0.0918227	-10.2161	1.67925e-24	9.52608e-24	1482	1705	551	585	1246.21	1383.72	686.6	685.92
ABL2	305.43	0.142821	0.144554	0.988011	0.323147	0.394239	337	366	270	260	283.38	297.03	336.45	304.85
ABLIM1	1894.14	3.08935	0.0775794	39.8217	0	0	472	492	2689	2925	396.9	399.29	3350.77	3429.61
ABLIM2	365.441	6.48882	0.345775	18.766	1.43257e-78	2.28716e-77	8	11	579	618	6.73	8.93	721.49	724.61
ABLIM3	352.504	1.68829	0.141036	11.9706	5.0632e-33	3.5909e-32	200	204	413	479	168.18	165.56	514.64	561.64
ABO	17.3884	-2.38028	0.672427	-3.53983	0.000400391	0.000806389	37	34	4	5	31.11	27.59	4.98	5.86
ABP1	2.67757	-1.58515	1.42013	-1.1162	0.264335	0.330708	6	4	1	1	5.05	3.25	1.25	1.17
ABR	2087.96	2.36042	0.0777005	30.3784	1.06005e-202	5.37563e-201	803	845	2633	3164	675.24	685.78	3280.99	3709.84
ABRA	2.4557	1.38948	1.41751	0.980227	0.326974	0.39769	2	1	4	2	1.68	0.81	4.98	2.35
ABT1	173.293	-0.940292	0.200845	-4.68169	2.84524e-06	6.98511e-06	281	271	81	116	236.29	219.94	100.93	136.01
ABTB1	554.059	3.10962	0.136441	22.791	5.63762e-115	1.34035e-113	149	129	749	898	125.29	104.69	933.33	1052.92
ABTB2	194.938	0.202329	0.179604	1.12653	0.259941	0.3262	220	219	154	192	185	177.73	191.9	225.12
ACAA1	417.448	0.474902	0.123665	3.84024	0.000122915	0.00026034	410	436	387	417	344.77	353.84	482.24	488.94
ACAA2	164.738	-1.238	0.202808	-6.10431	1.03248e-09	3.22118e-09	287	273	83	79	241.34	221.56	103.43	92.63
ACACA	758.224	-0.0829596	0.101659	-0.816057	0.414468	0.487122	965	922	628	589	811.47	748.27	782.55	690.61
ACACB	167.802	1.34004	0.198155	6.76258	1.35556e-11	4.69032e-11	103	127	202	196	86.61	103.07	251.71	229.81
ACAD10	162.062	-0.96014	0.200418	-4.79069	1.66206e-06	4.15894e-06	242	277	89	93	203.5	224.8	110.9	109.04
ACAD11	153.033	-0.203159	0.20214	-1.00504	0.314879	0.385357	190	207	104	132	159.77	167.99	129.59	154.77
ACAD8	193.347	0.601014	0.177159	3.39251	0.000692557	0.00135575	180	192	185	201	151.36	155.82	230.53	235.68
ACAD9	271.879	-0.255108	0.152429	-1.67362	0.0942052	0.132361	362	354	205	205	304.4	287.3	255.45	240.37
ACADL	4.00454	1.41956	1.18261	1.20036	0.229999	0.292958	3	2	2	8	2.52	1.62	2.49	9.38
ACADM	123.934	-0.0141857	0.225803	-0.0628234	0.949907	0.959808	132	170	103	101	111	137.97	128.35	118.42
ACADS	146.991	-0.543004	0.205352	-2.64425	0.00818713	0.0139957	216	206	95	103	181.63	167.18	118.38	120.77
ACADSB	113.523	0.0936926	0.22834	0.410321	0.68157	0.735295	128	138	95	99	107.63	112	118.38	116.08
ACADVL	1310.51	-0.650586	0.0779818	-8.34279	7.25585e-17	3.15673e-16	1916	1961	802	887	1611.16	1591.49	999.37	1040.02
ACAN	20.1617	2.31362	0.585855	3.94914	7.84314e-05	0.000169103	8	8	24	32	6.73	6.49	29.91	37.52
ACAP1	46.241	-1.38847	0.381476	-3.63973	0.000272928	0.000558395	87	75	23	19	73.16	60.87	28.66	22.28
ACAP2	143.667	-0.295664	0.209639	-1.41035	0.158437	0.210729	197	186	113	100	165.66	150.95	140.81	117.25
ACAP3	1733.17	1.91878	0.0765556	25.0638	1.23412e-138	3.78565e-137	877	878	2103	2441	737.47	712.56	2620.55	2862.11
ACAT1	210.091	-0.843835	0.175759	-4.80109	1.57805e-06	3.96003e-06	313	341	115	134	263.2	276.74	143.3	157.12
ACAT2	250.757	-1.1145	0.163175	-6.8301	8.48573e-12	2.96418e-11	404	427	130	132	339.72	346.54	161.99	154.77
ACBD3	221.518	-0.628954	0.16929	-3.71525	0.000203004	0.00042073	310	342	138	150	260.68	277.56	171.96	175.88
ACBD4	154.025	0.671643	0.21322	3.15001	0.00163266	0.00306742	163	124	139	175	137.07	100.63	173.21	205.19
ACBD5	180.54	1.06035	0.191355	5.54129	3.00245e-08	8.52031e-08	149	134	180	225	125.29	108.75	224.3	263.82
ACBD6	244.997	-0.996579	0.165238	-6.03119	1.62759e-09	5.01099e-09	383	408	123	148	322.06	331.12	153.27	173.53
ACBD7	106.273	2.68369	0.272508	9.8481	6.98487e-23	3.78612e-22	30	39	144	161	25.23	31.65	179.44	188.78
ACCN1	125.422	6.77426	0.633886	10.6869	1.17247e-26	7.04767e-26	2	3	197	215	1.68	2.43	245.48	252.09
ACCN2	329.608	2.09141	0.149369	14.0016	1.52347e-44	1.39805e-43	152	151	413	472	127.82	122.55	514.64	553.43
ACCN3	144.81	1.66504	0.214754	7.75324	8.95753e-15	3.58669e-14	75	93	173	192	63.07	75.48	215.58	225.12
ACCN4	79.7617	0.751384	0.275699	2.72538	0.00642281	0.0111689	64	80	77	89	53.82	64.93	95.95	104.35
ACCN5	1.91555	1.61588	1.56172	1.03468	0.30082	NA	1	1	2	3	0.84	0.81	2.49	3.52
ACCS	34.8259	-1.989	0.462491	-4.30062	1.70324e-05	3.8928e-05	72	63	9	14	60.54	51.13	11.21	16.42
ACCSL	1.3293	0.949875	1.72791	0.549726	0.582507	NA	1	1	2	1	0.84	0.81	2.49	1.17
ACD	246.742	-0.306766	0.164198	-1.86827	0.0617241	0.090379	330	331	159	207	277.5	268.63	198.13	242.71
ACE	73.712	0.189099	0.308619	0.612727	0.540057	0.608836	82	85	45	86	68.95	68.98	56.07	100.84
ACE2	2.46001	-1.43666	1.44808	-0.992116	0.321141	0.392036	4	5	1	1	3.36	4.06	1.25	1.17
ACER2	12.7554	0.645455	0.666459	0.968483	0.332803	0.403497	11	13	10	16	9.25	10.55	12.46	18.76
ACER3	86.1304	0.638653	0.263137	2.42707	0.0152213	0.0248139	82	81	79	95	68.95	65.74	98.44	111.39
ACHE	276.989	4.15127	0.217488	19.0874	3.21659e-81	5.25987e-80	40	31	411	458	33.64	25.16	512.15	537.01
ACIN1	1303.56	-0.720716	0.0781526	-9.22191	2.91859e-20	1.45317e-19	1905	2025	784	846	1601.91	1643.43	976.94	991.95
ACLY	1364.83	-1.19372	0.0787067	-15.1667	5.87171e-52	6.18769e-51	2252	2348	650	725	1893.7	1905.56	809.97	850.07
ACMSD	2.91493	1.22426	1.31226	0.93294	0.350851	0.421906	2	2	2	5	1.68	1.62	2.49	5.86
ACN9	50.6227	-1.30961	0.35779	-3.66028	0.000251942	0.000517389	85	90	23	25	71.48	73.04	28.66	29.31
ACO1	278.323	-0.879632	0.157416	-5.58794	2.29778e-08	6.56306e-08	425	449	142	183	357.38	364.39	176.95	214.57
ACO2	909.847	1.45278	0.0949337	15.3031	7.28535e-53	7.79919e-52	576	603	1011	1199	484.36	489.38	1259.81	1405.85
ACOT1	16.5665	0.588628	0.591517	0.995116	0.31968	0.390606	12	20	17	16	10.09	16.23	21.18	18.76
ACOT11	24.6213	0.812392	0.486403	1.6702	0.094879	0.13319	24	19	26	26	20.18	15.42	32.4	30.49
ACOT12	1.42356	-0.371254	1.68941	-0.219753	0.826063	NA	1	3	1	1	0.84	2.43	1.25	1.17
ACOT13	117.175	-0.305678	0.235644	-1.2972	0.194563	0.253137	140	174	94	79	117.73	141.21	117.13	92.63
ACOT2	57.5012	-0.815714	0.328937	-2.47985	0.0131438	0.0217116	83	95	30	39	69.79	77.1	37.38	45.73
ACOT4	16.5726	1.56059	0.60783	2.56747	0.0102443	0.01726	10	10	23	18	8.41	8.12	28.66	21.11
ACOT6	2.24548	1.88078	1.50366	1.25081	0.211005	0.27197	1	1	4	2	0.84	0.81	4.98	2.35
ACOT7	941.223	1.09487	0.0893897	12.2483	1.715e-34	1.25906e-33	729	724	1004	1120	613.01	587.58	1251.09	1313.22
ACOT8	158.692	0.697725	0.195121	3.57586	0.000349084	0.000706476	141	152	160	165	118.57	123.36	199.38	193.47
ACOT9	82.6031	-1.38215	0.29775	-4.64198	3.45078e-06	8.42105e-06	135	155	27	49	113.52	125.79	33.64	57.45
ACOX1	298.082	0.33724	0.144687	2.33082	0.0197629	0.0316415	304	334	266	285	255.63	271.06	331.46	334.17
ACOX2	24.387	-0.829674	0.503073	-1.64921	0.0991043	0.13849	31	45	13	16	26.07	36.52	16.2	18.76
ACOX3	78.2274	0.176663	0.281854	0.62679	0.530797	0.600165	86	92	56	82	72.32	74.66	69.78	96.15
ACOXL	3.48885	-0.824462	1.23248	-0.668947	0.503529	0.572767	4	7	3	1	3.36	5.68	3.74	1.17
ACP1	358.709	-1.01529	0.13784	-7.36571	1.762e-13	6.67734e-13	555	608	189	204	466.7	493.43	235.51	239.19
ACP2	272.739	0.378536	0.152669	2.47945	0.0131584	0.0217316	293	281	236	275	246.38	228.05	294.08	322.44
ACP5	54.7312	-3.89971	0.50848	-7.66934	1.72883e-14	6.84585e-14	117	132	7	4	98.38	107.13	8.72	4.69
ACP6	71.4776	-1.88682	0.323435	-5.8337	5.42104e-09	1.61655e-08	125	148	28	22	105.11	120.11	34.89	25.8
ACPL2	102.194	-0.463074	0.244469	-1.8942	0.0581978	0.0856014	136	151	73	69	114.36	122.55	90.97	80.9
ACPP	2.6629	-1.57797	1.42108	-1.1104	0.266825	0.333289	4	6	1	1	3.36	4.87	1.25	1.17
ACPT	3.35046	-0.275331	1.22032	-0.225621	0.821496	0.855277	3	6	2	3	2.52	4.87	2.49	3.52
ACR	2.42997	1.38987	1.41352	0.983274	0.325473	0.396352	1	2	3	3	0.84	1.62	3.74	3.52
ACRBP	11.0571	0.729132	0.708685	1.02885	0.303549	0.373027	10	10	10	13	8.41	8.12	12.46	15.24
ACRC	16.2268	1.08494	0.614313	1.7661	0.0773795	0.11076	12	13	12	25	10.09	10.55	14.95	29.31
ACRV1	5.35252	0.636766	1.00736	0.632115	0.527312	0.596686	6	4	3	8	5.05	3.25	3.74	9.38
ACSBG1	190.619	4.60403	0.287706	16.0026	1.22647e-57	1.43368e-56	22	14	284	323	18.5	11.36	353.89	378.72
ACSBG2	3.84246	0.688485	1.1453	0.601141	0.547746	0.616074	3	4	3	5	2.52	3.25	3.74	5.86
ACSF2	157.912	-1.04697	0.213562	-4.9024	9.46704e-07	2.41507e-06	254	262	67	104	213.59	212.63	83.49	121.94
ACSF3	222.109	-0.670626	0.170199	-3.94025	8.13957e-05	0.000175149	324	337	129	155	272.45	273.5	160.75	181.74
ACSL1	223.528	1.05274	0.169548	6.20912	5.32831e-10	1.68816e-09	164	188	252	247	137.91	152.57	314.02	289.61
ACSL3	484.496	-0.411785	0.117598	-3.50163	0.000462428	0.00092475	640	700	340	348	538.17	568.1	423.67	408.04
ACSL4	305.29	-1.02066	0.149689	-6.8185	9.19932e-12	3.2077e-11	483	508	151	183	406.15	412.28	188.16	214.57
ACSL5	74.3786	-0.466418	0.288734	-1.61539	0.106226	0.147419	100	109	57	46	84.09	88.46	71.03	53.94
ACSL6	195.421	6.34736	0.450333	14.0948	4.08738e-45	3.79657e-44	4	7	318	321	3.36	5.68	396.26	376.38
ACSM1	5.85158	-2.28875	1.10608	-2.06925	0.0385225	0.0586529	9	15	2	1	7.57	12.17	2.49	1.17
ACSM2A	2.46001	-1.43666	1.44808	-0.992116	0.321141	0.392036	4	5	1	1	3.36	4.06	1.25	1.17
ACSM2B	2.6629	-1.57797	1.42108	-1.1104	0.266825	0.333289	4	6	1	1	3.36	4.87	1.25	1.17
ACSM3	106.169	-5.98979	0.639739	-9.36288	7.75956e-21	3.93723e-20	243	264	3	2	204.34	214.25	3.74	2.35
ACSM4	1.42356	-0.371254	1.68941	-0.219753	0.826063	NA	1	3	1	1	0.84	2.43	1.25	1.17
ACSM5	8.07131	2.10439	0.895177	2.35081	0.0187327	0.0301378	5	2	9	13	4.2	1.62	11.21	15.24
ACSS1	397.429	1.02524	0.134167	7.64148	2.14733e-14	8.47437e-14	340	293	433	449	285.9	237.79	539.56	526.46
ACSS2	332.612	-0.327173	0.138782	-2.35745	0.0184008	0.0296529	448	448	244	244	376.72	363.58	304.05	286.09
ACSS3	65.6218	-0.438159	0.304399	-1.43942	0.150031	0.201237	85	98	49	43	71.48	79.53	61.06	50.42
ACTA1	23.0005	0.151337	0.531123	0.284938	0.775692	0.816944	16	37	22	18	13.45	30.03	27.41	21.11
ACTA2	178.477	1.59929	0.192447	8.31028	9.54774e-17	4.13335e-16	110	104	223	221	92.5	84.4	277.88	259.13
ACTB	16238.9	-0.491546	0.0480762	-10.2243	1.54322e-24	8.77142e-24	23034	22907	10483	11883	19369.21	18590.61	13062.89	13933.01
ACTBL2	2.37309	-0.601331	1.42398	-0.42229	0.672813	0.727368	5	2	2	1	4.2	1.62	2.49	1.17
ACTC1	12.4087	0.470147	0.682685	0.688674	0.491029	0.56029	16	9	10	14	13.45	7.3	12.46	16.42
ACTG1	13525.4	-1.42087	0.0458497	-30.9898	7.40759e-211	3.97473e-209	23475	24215	5753	6431	19740.04	19652.14	7168.83	7540.45
ACTG2	49.9634	-0.660732	0.356931	-1.85114	0.0641487	0.0936323	85	63	30	34	71.48	51.13	37.38	39.87
ACTL6A	122.314	-3.43106	0.311901	-11.0005	3.80157e-28	2.36953e-27	282	260	17	17	237.13	211.01	21.18	19.93
ACTL6B	248.264	8.03509	0.675587	11.8935	1.27936e-32	8.99704e-32	3	1	384	436	2.52	0.81	478.5	511.22
ACTL7A	1.3109	0.933074	1.73243	0.538592	0.590168	NA	1	1	1	2	0.84	0.81	1.25	2.35
ACTL7B	1.3293	0.949875	1.72791	0.549726	0.582507	NA	1	1	2	1	0.84	0.81	2.49	1.17
ACTL8	23.3547	-3.48281	0.706477	-4.92983	8.23021e-07	2.10906e-06	60	44	3	3	50.45	35.71	3.74	3.52
ACTN1	1523.99	-1.23813	0.0768691	-16.107	2.27684e-58	2.69201e-57	2580	2603	702	801	2169.51	2112.51	874.76	939.19
ACTN2	185.327	5.49685	0.362949	15.145	8.18123e-52	8.59053e-51	8	11	285	316	6.73	8.93	355.14	370.52
ACTN3	4.64599	1.69507	1.09956	1.54159	0.123174	0.168819	3	2	5	7	2.52	1.62	6.23	8.21
ACTN4	2704.3	-0.854108	0.0606336	-14.0864	4.60615e-45	4.27391e-44	4148	4284	1539	1650	3488.04	3476.76	1917.75	1934.65
ACTR10	114.78	1.00392	0.233584	4.29791	1.72417e-05	3.93961e-05	82	103	119	135	68.95	83.59	148.29	158.29
ACTR1A	1078.93	1.22199	0.0875938	13.9507	3.11622e-44	2.84037e-43	765	803	1152	1352	643.29	651.69	1435.51	1585.24
ACTR1B	984.413	1.08382	0.0864283	12.5401	4.50476e-36	3.42612e-35	748	780	1067	1148	628.99	633.02	1329.59	1346.05
ACTR2	617.794	-0.0601559	0.104876	-0.573589	0.566246	0.633188	761	766	472	530	639.92	621.66	588.16	621.43
ACTR3	524.91	-0.487507	0.113687	-4.28817	1.80154e-05	4.10517e-05	733	751	338	386	616.38	609.49	421.18	452.59
ACTR3B	150.34	1.38828	0.207556	6.68872	2.25138e-11	7.72442e-11	101	100	163	198	84.93	81.16	203.11	232.16
ACTR3C	3.5456	0.491085	1.20333	0.408106	0.683196	0.736776	5	2	2	5	4.2	1.62	2.49	5.86
