Gene	UHR_1	UHR_2	brain_1	brain_2
NDUFB10	665	795	481	512
NDUFB11	762	695	334	371
NDUFB2	200	216	183	203
NDUFB3	65	91	42	63
NDUFB4	382	404	308	322
NDUFB5	225	203	139	182
NDUFB6	208	219	152	175
NDUFB7	661	671	475	565
NDUFB8	447	460	629	737
NDUFB9	640	671	507	618
NDUFC1	197	197	140	147
NDUFC2	503	600	414	437
NDUFS1	456	541	298	327
NDUFS2	873	945	703	727
NDUFS3	447	432	321	382
NDUFS4	146	140	72	88
NDUFS5	690	692	466	541
NDUFS6	805	815	363	354
NDUFS7	493	458	630	753
NDUFS8	856	912	494	540
NDUFV1	1713	1812	1268	1530
NDUFV2	187	195	100	106
NDUFV3	302	290	138	146
NEAT1	11146	12380	1724	1883
NEB	14	11	22	12
NEBL	69	75	761	818
NECAB1	26	26	300	313
NECAB2	13	14	186	225
NECAB3	333	331	291	318
NECAP1	139	135	405	428
NECAP2	318	291	104	116
NEDD1	108	113	8	11
NEDD4	119	130	8	15
NEDD4L	665	721	512	533
NEDD8	471	425	301	318
NEDD9	559	525	81	86
NEFH	125	125	1150	1246
NEFL	51	56	4076	4404
NEFM	23	28	3391	3668
NEGR1	21	11	314	307
NEIL1	45	56	134	172
NEIL2	178	176	226	273
NEIL3	63	74	1	1
NEK1	68	58	61	67
NEK10	2	2	7	3
NEK11	22	17	24	31
NEK2	170	177	3	1
NEK3	54	41	26	31
NEK4	130	132	80	113
NEK5	2	1	3	2
NEK6	464	431	173	214
NEK7	149	165	98	109
NEK8	62	75	7	14
NEK9	494	511	287	310
NELF	1119	1113	2047	2328
NELL1	1	1	113	123
NELL2	26	32	922	1008
NENF	297	289	306	337
NEO1	347	361	576	644
NES	1685	1820	383	431
NET1	483	503	145	170
NETO1	17	16	70	96
NETO2	254	272	77	83
NEU1	704	646	249	245
NEU3	119	129	38	44
NEU4	143	164	79	103
NEURL	49	54	1030	1070
NEURL1B	112	119	166	170
NEURL2	18	33	30	24
NEURL3	2	6	4	7
NEURL4	468	502	696	801
NEUROD1	1	1	625	682
NEUROD2	1	1	886	1011
NEUROD4	1	1	1	3
NEUROD6	1	1	72	89
NEUROG2	12	8	22	16
NEUROG3	2	1	2	1
NEXN	29	32	6	8
NF1	403	469	461	516
NF2	452	497	544	572
NFAM1	8	11	24	23
NFASC	89	123	2466	2586
NFAT5	333	412	304	316
NFATC1	194	158	44	59
NFATC2	37	30	7	5
NFATC2IP	492	501	178	180
NFATC3	279	292	60	56
NFATC4	356	381	147	149
NFE2	381	413	1	4
NFE2L1	2712	2692	2070	2302
NFE2L2	423	469	192	230
NFE2L3	189	172	14	18
NFIA	89	116	406	404
NFIB	102	130	325	331
NFIC	375	395	549	627
NFIL3	163	143	61	72
NFIX	944	1092	3701	4123
NFKB1	240	223	99	117
NFKB2	412	461	56	59
NFKBIA	423	465	256	303
NFKBIB	197	235	216	197
NFKBID	26	39	22	27
NFKBIE	100	131	74	90
NFKBIL1	207	232	171	184
NFKBIL2	778	848	54	76
NFKBIZ	193	213	31	25
NFRKB	538	556	172	173
NFS1	308	317	173	233
NFU1	69	84	38	57
NFX1	347	393	199	276
NFXL1	84	107	43	27
NFYA	360	397	160	185
NFYB	86	93	79	82
NFYC	299	298	218	280
NGB	1	1	112	127
NGDN	144	174	80	109
NGEF	142	168	1253	1430
NGF	2	6	2	8
NGFR	88	86	207	228
NGFRAP1	586	701	1265	1342
NGLY1	217	272	66	73
NGRN	628	689	1560	1751
NHEDC1	6	3	6	6
NHEDC2	100	109	218	198
NHEJ1	77	112	33	41
NHLH1	3	8	13	15
NHLH2	10	2	30	36
NHLRC1	12	10	21	30
NHLRC2	42	63	17	25
NHLRC3	103	104	62	63
NHLRC4	18	23	5	12
NHP2	484	504	216	228
NHP2L1	994	1077	926	1028
NHS	52	77	48	60
NHSL1	481	438	131	143
NHSL2	13	13	72	69
NICN1	138	132	310	311
NID1	1004	1114	101	79
NID2	369	372	24	24
NIF3L1	148	175	64	69
NIN	296	317	165	182
NINJ1	484	509	218	245
NINJ2	61	59	74	98
NINL	346	342	168	195
NIP7	237	232	24	41
NIPA1	284	285	513	565
NIPA2	373	392	156	169
NIPAL1	4	4	3	2
NIPAL2	35	25	54	50
NIPAL3	260	322	1412	1414
NIPAL4	3	4	33	40
NIPBL	479	523	157	209
NIPSNAP1	685	735	335	399
NIPSNAP3A	70	60	35	39
NIPSNAP3B	5	6	5	9
NISCH	883	937	3333	3631
NIT1	222	231	148	165
NIT2	142	134	27	50
NKAIN1	121	123	214	258
NKAIN2	3	1	194	243
NKAIN3	2	2	7	3
NKAIN4	83	90	114	129
NKAP	118	119	49	39
NKAPL	2	1	16	16
NKD1	248	238	47	47
NKD2	190	189	33	51
NKG7	5	5	3	3
NKIRAS1	32	37	146	151
NKIRAS2	444	439	111	120
NKPD1	11	23	19	18
NKRF	153	150	102	140
NKTR	675	783	385	389
NKX1-2	14	16	2	1
NKX2-1	1	1	4	3
NKX2-2	24	22	94	93
NKX2-3	1	1	6	1
NKX2-4	17	18	2	1
NKX2-5	26	32	1	1
NKX2-6	12	14	1	1
NKX2-8	2	1	2	5
NKX3-1	61	70	11	8
NKX3-2	34	54	2	1
NKX6-1	7	4	4	1
NKX6-2	1	1	556	669
NKX6-3	1	1	10	15
NLE1	294	291	76	89
NLGN1	45	33	67	95
NLGN2	858	963	1932	2231
NLGN3	37	45	600	673
NLGN4X	36	26	150	157
NLGN4Y	24	30	58	73
NLK	172	152	319	351
NLN	250	312	70	77
NLRC3	26	38	20	27
NLRC4	7	4	6	5
NLRC5	88	103	54	62
NLRP1	199	222	18	22
NLRP11	47	33	1	1
NLRP12	4	3	1	1
NLRP14	3	1	2	2
NLRP2	114	100	17	12
NLRP3	5	5	24	16
NLRP4	2	4	1	2
NLRP5	1	2	1	1
NLRP6	6	8	1	6
NLRP7	7	9	1	1
NLRP9	4	3	1	2
NLRX1	253	260	70	111
NMB	63	68	40	33
NMBR	1	1	2	1
NMD3	255	273	67	81
NME1	544	564	108	101
NME2	253	181	55	75
NME2P1	582	543	81	81
NME3	302	306	384	471
NME4	1182	1337	231	245
NME5	1	1	21	18
NME6	77	72	25	24
NME7	38	42	19	28
NMI	49	51	11	7
NMNAT1	49	60	24	29
NMNAT2	15	23	1471	1559
NMNAT3	10	9	21	35
NMRAL1	288	329	184	210
NMT1	1165	1212	928	1006
NMT2	107	109	117	129
NMU	126	107	1	3
NMUR1	8	12	9	6
NMUR2	1	1	4	3
NNAT	17	17	449	538
NNMT	402	377	13	12
NNT	809	903	330	365
NOB1	561	583	115	118
NOC2L	890	925	315	342
NOC3L	96	105	18	18
NOC4L	267	267	108	119
NOD1	124	120	29	42
NOD2	7	13	5	6
NODAL	5	3	10	8
NOG	105	119	19	23
NOL10	197	201	51	49
NOL11	276	267	47	56
NOL12	213	186	147	142
NOL3	465	485	161	193
NOL4	1	2	108	127
NOL6	756	801	296	300
NOL7	384	342	113	130
NOL8	188	180	46	45
NOL9	195	172	117	144
NOLC1	1145	1265	449	464
NOM1	314	322	73	111
NOMO1	237	268	153	154
NOMO2	75	73	27	40
NOMO3	24	8	11	16
NONO	2794	2944	569	637
NOP10	357	362	81	122
NOP14	435	423	106	146
NOP16	132	140	20	35
NOP2	813	761	109	118
NOP56	1237	1274	315	357
NOP58	317	352	91	64
NOS1	3	1	60	70
NOS1AP	39	43	290	355
NOS2	6	6	29	41
NOS3	66	78	72	63
NOSIP	419	417	213	286
NOSTRIN	32	28	9	3
NOTCH1	1172	1185	454	479
NOTCH2	1193	1301	333	340
NOTCH2NL	61	51	25	25
NOTCH3	892	894	593	662
NOTCH4	16	18	154	179
NOTUM	904	911	4	17
NOV	34	35	74	80
NOVA1	24	14	400	425
NOVA2	7	7	324	357
NOX1	1	1	6	1
NOX4	9	5	2	3
NOX5	37	42	4	4
NOXA1	86	69	126	146
NOXO1	23	10	31	42
NPAS1	86	92	57	56
NPAS2	227	287	220	237
NPAS3	15	23	138	169
NPAS4	7	2	27	25
NPAT	135	138	52	57
NPB	24	32	26	40
NPBWR1	5	10	2	1
NPBWR2	1	1	4	5
NPC1	516	538	418	454
NPC1L1	78	104	10	4
NPC2	484	547	142	157
NPDC1	672	684	1406	1623
NPEPL1	516	578	302	384
NPEPPS	480	557	362	391
NPFF	15	19	17	18
NPFFR1	1	1	28	33
NPFFR2	6	7	2	3
NPHP1	11	10	14	14
NPHP3	76	82	51	46
NPHP4	256	264	110	142
NPHS1	1	4	6	3
NPIP	2	5	6	5
NPIPL3	6	11	6	5
NPL	21	14	17	17
NPLOC4	1477	1496	742	791
NPM1	799	839	103	124
NPM2	21	20	156	174
NPM3	272	274	32	34
NPNT	61	66	29	25
NPPA	9	6	10	12
NPPB	16	11	2	2
NPPC	5	7	16	15
NPR1	161	172	20	30
NPR2	98	113	178	221
NPR3	17	13	2	3
NPRL2	173	195	163	159
NPRL3	718	729	366	389
NPSR1	2	1	1	3
NPTN	382	402	1222	1325
NPTX1	921	963	4800	5261
NPTX2	106	104	379	407
NPTXR	373	341	2800	2975
NPW	71	52	3	7
NPY	5	2	80	76
NPY1R	16	14	16	27
NPY2R	1	1	10	12
NPY5R	1	1	5	6
NPY6R	2	5	3	3
NQO1	1218	1220	60	73
NQO2	317	331	175	190
NR0B1	16	22	2	7
NR0B2	91	90	1	1
NR1D1	285	270	874	981
NR1D2	139	188	401	484
NR1H2	538	550	583	611
NR1H3	116	124	54	46
NR1H4	21	22	2	1
NR1I2	12	16	2	4
NR1I3	1	3	3	8
NR2C1	132	115	70	76
NR2C2	553	518	456	438
NR2C2AP	143	168	45	49
NR2E1	26	29	42	62
NR2E3	5	1	1	1
NR2F1	408	447	720	860
NR2F2	719	755	144	152
NR2F6	974	971	338	405
NR3C1	366	378	284	316
NR3C2	7	5	146	175
NR4A1	754	760	360	410
NR4A2	63	70	140	186
NR4A3	48	57	54	41
NR5A1	120	132	5	2
NR5A2	5	5	1	2
NR6A1	68	64	9	4
NRADDP	4	3	2	2
NRAP	1	1	2	4
NRARP	159	173	62	83
NRAS	408	459	72	69
NRBF2	56	58	37	30
NRBP1	729	764	402	441
NRBP2	386	398	924	992
NRCAM	134	145	1089	1222
NRD1	970	1073	353	425
NRF1	194	174	115	153
NRG1	51	42	42	51
NRG2	18	19	140	171
NRG3	3	1	110	107
NRG4	9	14	21	25
NRGN	111	144	7154	7955
NRIP1	216	258	149	163
NRIP2	10	17	300	328
NRIP3	69	94	352	381
NRK	14	8	28	40
NRL	12	14	11	19
NRM	279	279	23	14
NRN1	372	394	851	988
NRN1L	7	9	21	17
NRP1	279	303	81	97
NRP2	453	484	89	93
NRSN1	3	1	284	337
NRSN2	493	516	1144	1229
NRTN	45	55	1	2
NRXN1	5	5	1018	1151
NRXN2	67	64	4462	4945
NRXN3	4	4	784	876
NR_028064	1	1	5	3
NR_030378	3	1	4	2
NR_033796	38	33	26	33
NR_033826	1	2	5	1
NR_033827	11	15	1	3
NR_033828	1	1	1	4
NR_033829	1	1	3	3
NR_033830	1	1	1	2
NR_033834	49	51	16	41
NR_033838	4	2	3	5
NR_033839	20	30	5	11
NR_033840	16	15	1	1
NR_033841	20	14	2	1
NR_033842	3	1	14	18
NR_033844	1	1	2	1
NR_033847	1	1	8	11
NR_033848	1	1	1	2
NR_033849	34	53	2	2
NR_033850	2	1	3	2
NR_033851	8	7	4	10
NR_033852	1	2	8	9
NR_033854	47	57	78	66
NR_033857	1	1	1	2
NR_033858	1	3	2	3
NR_033859	2	3	8	4
NR_033861	3	5	8	4
NR_033862	1	1	18	20
NR_033863	1	1	4	3
NR_033864	2	4	6	3
NR_033867	1	1	3	2
NR_033868	5	5	2	2
NR_033869	2	3	1	1
NR_033870	2	3	1	1
NR_033871	5	2	3	1
NR_033872	30	37	37	39
NR_033873	1	2	7	12
NR_033874	24	27	77	75
NR_033875	3	1	2	1
NR_033876	6	9	1	2
NR_033877	1	2	1	2
NR_033879	4	2	2	2
NR_033880	3	2	4	1
NR_033882	11	2	3	2
NR_033883	1	1	1	2
NR_033884	74	100	93	109
NR_033885	19	15	8	2
NR_033886	3	3	2	3
NR_033887	1	2	5	5
NR_033888	1	2	1	1
NR_033890	5	2	4	6
NR_033892	1	2	2	1
NR_033893	1	1	8	5
NR_033895	1	1	2	3
NR_033896	88	96	9	11
NR_033897	6	6	2	2
NR_033899	1	1	2	2
NR_033900	1	1	2	1
NR_033901	1	2	1	2
NR_033902	8	8	4	3
NR_033903	2	5	1	1
NR_033904	10	8	13	19
NR_033905	1	2	1	1
NR_033906	3	2	1	1
NR_033907	2	5	1	3
NR_033908	4	1	2	3
NR_033909	1	1	4	2
NR_033910	18	11	1	1
NR_033912	3	3	4	4
NR_033913	1	2	2	4
NR_033915	6	10	5	5
NR_033916	4	9	1	1
NR_033917	1	2	1	1
NR_033919	1	2	1	1
NR_033921	1	1	2	1
NR_033923	1	1	2	1
NR_033924	2	1	1	2
NR_033925	33	30	4	4
NR_033926	831	930	203	203
NR_033927	1	1	4	1
NR_033928	39	39	1	2
NR_033929	4	4	5	11
NR_033931	2	1	1	1
NR_033932	7	7	3	6
NR_033934	3	5	1	2
NR_033935	4	7	14	8
NR_033937	1	3	2	2
NR_033939	6	3	4	8
NR_033940	1	1	3	4
NR_033942	4	4	1	1
NR_033944	2	2	1	1
NR_033945	1	2	1	1
NR_033947	2	2	2	2
NR_033950	1	1	3	5
NR_033957	6	6	3	1
NR_033958	1	1	2	2
NR_033959	9	13	11	20
NR_033960	3	2	1	2
NR_033961	3	6	4	6
NR_033962	1	1	2	1
NR_033963	27	34	30	31
NR_033965	4	9	5	4
NR_033967	11	14	9	4
NR_033969	1	1	2	1
NR_033971	1	1	2	5
NR_033972	4	8	1	3
NR_033973	1	2	1	1
NR_033974	1	5	1	2
NR_033975	4	9	1	1
NR_033976	1	1	2	1
NR_033978	4	3	1	1
NR_033979	86	69	49	52
NR_033980	1	1	2	1
NR_033981	6	3	6	5
NR_033982	4	3	1	2
NR_033984	1	2	24	20
NR_033986	1	1	4	1
NR_033987	1	1	1	2
NR_033988	1	1	14	13
NR_033989	2	1	1	1
NR_033990	2	6	2	5
NR_033991	2	1	1	1
NR_033995	3	6	2	1
NR_033996	3	7	1	1
NR_033997	26	21	61	62
NR_033998	7	16	24	15
NR_033999	2	3	3	3
NR_034002	19	22	26	28
NR_034003	1	1	5	5
NR_034006	1	3	3	3
NR_034007	2	4	3	3
NR_034008	8	5	1	3
NR_034009	93	79	50	46
NR_034012	1	3	1	1
NR_034014	2	1	1	1
NR_034020	1	1	1	2
NR_034021	1	3	1	1
NR_034022	2	1	1	1
NR_034023	1	2	1	1
NR_034026	1	1	1	2
NR_034027	7	3	3	5
NR_034028	2	1	6	6
NR_034031	37	26	9	5
NR_034032	6	10	1	7
NR_034033	16	20	1	1
NR_034034	3	5	1	1
NR_034035	23	19	3	9
NR_034039	2	3	1	2
NR_034040	5	6	2	2
NR_034053	3	2	2	2
NR_034054	14	14	1	1
NR_034060	9	8	4	2
NR_034069	2	1	1	1
NR_034072	73	72	64	56
NR_034073	31	23	24	27
NR_034080	8	11	8	6
NR_034081	7	14	4	7
NR_034082	8	14	20	27
NR_034083	3	4	12	17
NR_034084	53	56	43	56
NR_034085	18	25	1	2
NR_034086	4	3	5	1
NR_034088	8	11	1	1
NR_034089	99	110	20	20
NR_034091	19	30	1	2
NR_034092	3	1	23	21
NR_034093	2	1	1	1
NR_034095	1	1	4	7
NR_034096	6	3	10	9
NR_034097	1	2	12	17
NR_034099	3	1	2	1
NR_034100	3	3	1	1
NR_034101	1	3	30	31
NR_034102	1	1	4	2
NR_034104	31	34	9	19
NR_034105	17	11	3	6
NR_034106	6	7	3	1
NR_034107	22	23	11	9
NR_034110	14	21	23	21
NR_034111	5	4	5	5
NR_034112	6	6	1	1
NR_034113	6	5	29	25
NR_034114	27	36	13	14
NR_034115	3	5	20	29
NR_034118	7	9	13	21
NR_034119	1	4	2	8
NR_034120	16	12	8	16
NR_034121	4	4	2	1
NR_034122	2	1	1	2
NR_034124	34	32	1	3
NR_034125	6	5	9	4
NR_034126	3	5	2	1
NR_034127	13	21	16	7
NR_034128	1	4	2	1
NR_034129	4	6	1	1
NR_034130	1	1	2	2
NR_034131	1	1	2	1
NR_034132	2	1	1	1
NR_034133	15	22	1	1
NR_034134	2	4	1	1
NR_034135	1	1	3	5
NR_034137	28	18	17	17
NR_034138	2	4	11	15
NR_034139	2	1	1	4
NR_034140	8	2	3	2
NR_034141	6	5	1	1
NR_034142	14	8	1	1
NR_034143	8	9	9	6
NR_034146	4	8	20	23
NR_034147	16	19	3	2
NR_034148	4	4	10	19
NR_034149	5	10	1	1
NR_034152	1	3	1	1
NR_034157	1	1	2	1
NR_034159	3	4	24	20
NR_034160	15	11	8	10
NR_034162	8	10	1	1
NR_034163	1	1	3	6
NR_034166	5	3	3	2
NR_034167	1	1	1	2
NR_034168	1	2	1	1
NR_034170	11	17	14	21
NR_034172	10	19	6	16
NR_034178	42	40	69	78
NR_034179	4	3	7	3
NR_034180	4	12	1	1
NR_034182	18	15	5	10
NR_036055	4	2	5	5
NR_036070	1	1	1	2
NR_036082	1	1	2	1
NR_036092	1	2	1	1
NR_036136	1	1	2	1
NR_036137	2	3	1	2
NR_036152	3	1	1	2
NR_036156	2	1	1	1
NR_036167	2	2	1	1
NR_036179	1	1	1	2
NR_036207	4	6	1	1
NR_036211	1	2	1	1
NR_036216	2	1	1	1
NR_036229	1	1	2	1
NR_036251	4	3	4	2
NR_036433	1	2	1	1
NSA2	154	154	25	41
NSD1	616	638	493	562
NSDHL	222	219	87	101
NSF	217	269	1129	1276
NSFL1C	558	578	391	434
NSL1	171	169	99	94
NSMAF	256	242	87	92
NSMCE1	302	296	116	158
NSMCE2	101	102	32	34
NSMCE4A	141	137	37	45
NSUN2	860	904	133	148
NSUN3	19	26	9	11
NSUN4	193	210	84	90
NSUN5	249	240	91	119
NSUN5P1	62	71	25	18
NSUN5P2	69	80	32	28
NSUN6	58	54	41	45
NSUN7	30	23	1	2
NT5C	335	370	117	123
NT5C1A	1	1	21	27
NT5C1B	2	2	1	1
NT5C2	251	257	165	224
NT5C3	84	100	8	32
NT5C3L	345	357	296	351
NT5DC1	99	124	51	62
NT5DC2	1530	1604	255	266
NT5DC3	176	228	244	283
NT5E	776	710	49	54
NT5M	79	83	112	105
NTAN1	107	104	41	41
NTF3	12	15	16	11
NTF4	2	5	2	1
NTHL1	261	230	139	139
NTM	14	11	745	838
NTN1	86	62	130	116
NTN3	6	8	6	8
NTN4	243	234	118	145
NTN5	15	11	20	19
NTNG1	51	64	58	65
NTNG2	12	26	359	390
NTRK1	40	37	4	15
NTRK2	3	2	1926	2173
NTRK3	6	3	253	320
NTS	271	282	6	4
NTSR1	44	54	17	15
NTSR2	1	2	152	161
NUAK1	85	101	894	1029
NUAK2	91	78	39	52
NUB1	324	360	245	281
NUBP1	144	131	59	37
NUBP2	581	627	291	291
NUBPL	71	82	16	36
NUCB1	1755	1890	1210	1333
NUCB2	195	211	26	35
NUCKS1	2445	2563	1395	1586
NUDC	1035	1055	563	726
NUDCD1	139	162	27	25
NUDCD2	148	148	67	69
NUDCD3	898	903	1651	1852
NUDT1	236	259	51	50
NUDT10	11	10	52	28
NUDT11	37	40	83	77
NUDT12	42	34	33	45
NUDT13	17	36	9	9
NUDT14	90	104	133	151
NUDT15	71	111	22	30
NUDT16	285	265	558	637
NUDT16L1	272	299	275	332
NUDT16P1	13	10	7	8
NUDT17	22	19	22	17
NUDT18	70	78	60	61
NUDT19	95	105	24	35
NUDT2	80	90	61	49
NUDT21	711	683	383	384
NUDT22	313	305	143	122
NUDT3	298	310	401	519
NUDT4	15	25	16	18
NUDT5	183	216	29	40
NUDT6	19	21	6	9
NUDT7	27	26	15	16
NUDT8	158	162	37	45
NUDT9	109	125	134	139
NUDT9P1	3	7	10	4
NUF2	108	82	1	2
NUFIP1	44	45	12	13
NUFIP2	635	700	280	308
NUMA1	3050	3008	2517	2912
NUMB	478	509	239	301
NUMBL	304	324	595	665
NUP107	316	369	25	46
NUP133	320	291	129	146
NUP153	600	682	209	180
NUP155	336	396	41	41
NUP160	598	604	67	69
NUP188	1468	1594	315	304
NUP205	906	944	102	147
NUP210	1805	1959	225	268
NUP210L	7	7	1	3
NUP214	1207	1308	309	334
NUP35	72	57	11	11
NUP37	125	113	11	8
NUP43	251	276	49	54
NUP50	292	361	131	139
NUP54	169	166	36	42
NUP62	1075	1193	337	336
NUP62CL	35	24	1	1
NUP85	360	386	98	122
NUP88	266	286	63	75
NUP93	724	804	156	167
NUP98	971	984	254	268
NUPL1	290	342	115	123
NUPL2	125	115	61	80
NUPR1	160	172	200	231
NUS1	62	55	16	23
NUSAP1	549	535	5	7
NUTF2	549	553	175	189
NVL	148	185	36	41
NWD1	5	1	80	89
NXF1	520	590	331	416
NXF3	10	18	2	2
NXN	207	214	103	112
NXNL1	1	1	3	4
NXNL2	14	16	3	1
NXPH1	1	1	78	74
NXPH2	1	1	16	18
NXPH3	6	14	675	707
NXPH4	326	323	94	132
NXT1	163	166	35	30
NXT2	26	43	12	10
NYNRIN	151	137	381	381
NYX	3	4	1	1
OAF	601	571	150	182
OAS1	77	87	20	24
OAS2	51	48	25	28
OAS3	295	356	70	91
OASL	7	11	4	5
OAT	356	341	443	425
OAZ1	4012	4038	2554	2822
OAZ2	613	637	740	786
OAZ3	9	8	11	12
OBFC1	100	142	111	100
OBFC2A	67	106	11	14
OBFC2B	279	235	168	177
OBSCN	767	750	883	1034
OBSL1	2212	2169	1102	1162
OC90	3	1	3	1
OCA2	61	60	12	12
OCEL1	105	118	83	83
OCIAD1	259	301	425	425
OCIAD2	58	57	65	62
OCLM	4	2	1	3
OCLN	22	20	4	8
OCM	1	1	3	2
OCRL	304	321	276	305
ODAM	5	3	1	1
ODC1	1288	1365	150	148
ODF2	505	548	148	162
ODF2L	38	39	35	41
ODF3	1	1	1	2
ODF3B	32	27	24	34
ODF3L1	7	2	4	1
ODF3L2	5	3	4	5
ODZ1	52	60	343	356
ODZ2	43	54	250	275
ODZ3	256	328	235	271
ODZ4	94	73	201	235
OFD1	168	152	40	49
OGDH	1374	1452	1164	1254
OGDHL	98	103	815	972
OGFOD1	260	302	108	122
OGFOD2	178	173	109	92
OGFR	860	882	460	554
OGFRL1	52	53	131	117
OGG1	175	185	94	121
OGN	13	5	12	12
OGT	1514	1614	680	786
OIP5	97	111	1	2
OIT3	2	1	2	1
OLA1	265	276	196	182
OLAH	1	2	2	1
OLFM1	136	153	3158	3441
OLFM2	89	91	730	811
OLFM3	1	2	155	146
OLFM4	1	1	4	3
OLFML1	6	1	8	10
OLFML2A	159	152	34	45
OLFML2B	32	28	36	29
OLFML3	239	246	33	42
OLIG1	36	38	945	1126
OLIG2	16	14	397	458
OLIG3	1	3	1	1
OLR1	16	43	16	20
OMA1	56	48	14	18
OMD	1	4	7	9
OMG	3	3	257	279
OMP	2	3	1	2
ONECUT1	35	36	4	3
ONECUT2	138	120	18	30
ONECUT3	1	1	3	1
OOEP	4	1	1	1
OPA1	314	366	295	287
OPA3	207	245	156	154
OPALIN	2	2	464	527
OPCML	2	6	750	814
OPHN1	117	127	86	152
OPLAH	273	264	156	152
OPN1SW	21	17	6	5
OPN3	164	139	63	70
OPN4	2	4	10	15
OPN5	1	2	1	3
OPRD1	6	3	15	15
OPRK1	3	3	43	24
OPRL1	58	54	253	261
OPRM1	1	1	14	18
OPTC	2	2	3	1
OPTN	225	246	602	645
OR10A2	1	1	2	1
OR10AD1	1	1	2	3
OR10Q1	1	1	2	1
OR10R2	1	3	1	1
OR13A1	1	2	4	1
OR13D1	2	1	1	1
OR13H1	2	1	1	1
OR13J1	1	1	4	4
OR14I1	1	1	3	7
OR1E1	1	1	1	2
OR1F1	3	2	9	7
OR1F2P	1	1	2	2
OR1J1	1	2	1	1
OR1N1	1	1	1	2
OR2A4	1	2	1	1
OR2AE1	2	1	1	1
OR2AG1	1	2	1	1
OR2AG2	2	2	1	2
OR2AT4	3	2	1	1
OR2B6	5	7	1	1
OR2C1	2	1	3	1
OR2C3	1	1	4	1
OR2H2	7	4	2	3
OR2K2	1	1	1	2
OR2L13	1	1	19	23
OR2L2	1	1	2	1
OR2L8	1	1	1	2
OR2M4	1	1	2	1
OR2S2	1	1	1	2
OR2T33	2	1	1	1
OR2T4	1	1	1	2
OR2W3	6	6	8	8
OR3A2	2	1	1	1
OR4D2	2	1	1	1
OR4F15	2	1	1	1
OR4N2	1	1	2	1
OR51B2	2	3	1	1
OR51B4	11	14	1	1
OR51B5	22	20	1	1
OR51B6	3	1	1	1
OR51E1	1	1	1	2
OR51E2	1	1	2	4
OR51I1	8	11	1	1
OR51I2	6	3	1	1
OR51M1	1	2	1	1
OR51Q1	2	6	1	2
OR51V1	1	1	1	2
OR52A5	1	1	2	1
OR52B4	1	1	1	2
OR52B6	1	1	2	1
OR52D1	16	8	1	1
OR52W1	1	1	2	3
OR56B4	2	1	1	1
OR5K2	1	1	2	1
OR6A2	1	2	2	1
OR6B3	1	1	2	2
OR6V1	1	1	1	2
OR6W1P	1	1	2	1
OR7A5	1	1	5	4
OR7C1	1	1	1	2
OR7D2	2	2	6	4
OR8G2	2	1	1	1
OR8S1	1	1	2	3
ORAI1	332	341	49	53
ORAI2	547	589	375	449
ORAI3	282	341	84	71
ORAOV1	132	140	64	83
ORC1L	298	302	4	3
ORC3L	114	144	62	65
ORC4L	88	95	76	88
ORC5L	104	98	36	54
ORC6L	169	188	12	10
ORM1	69	77	1	4
ORM2	31	59	1	1
ORMDL1	113	129	78	79
ORMDL2	179	156	30	31
ORMDL3	674	766	364	395
OS9	1791	1824	843	938
OSBP	545	501	298	314
OSBP2	237	226	369	410
OSBPL10	176	143	52	58
OSBPL11	136	135	66	79
OSBPL1A	150	166	609	637
OSBPL2	381	374	484	577
OSBPL3	164	167	49	52
OSBPL5	266	236	191	220
OSBPL6	60	59	70	72
OSBPL7	218	232	152	161
OSBPL8	235	250	145	147
OSBPL9	447	477	92	94
OSCAR	16	18	18	18
OSCP1	20	16	53	61
OSGEP	148	157	94	136
OSGEPL1	46	43	19	29
OSGIN1	263	274	46	52
OSGIN2	102	121	67	104
OSM	2	2	4	4
OSMR	703	701	77	96
OSR1	25	33	7	9
OSR2	44	48	1	1
OST4	428	413	128	129
OSTBETA	3	7	3	4
OSTC	190	191	18	28
OSTCL	8	7	1	4
OSTF1	120	152	117	132
OSTM1	315	308	90	94
OSTalpha	31	35	3	4
OTOA	1	1	4	3
OTOF	1	3	34	26
OTOL1	1	1	2	2
OTOP1	1	2	1	1
OTOP2	1	2	1	1
OTOS	1	1	12	16
OTP	2	1	3	1
OTUB1	851	935	1188	1317
OTUB2	25	28	14	22
OTUD1	70	74	93	108
OTUD3	140	169	141	180
OTUD4	152	138	85	84
OTUD5	836	830	760	945
OTUD6B	67	73	42	35
OTUD7A	5	3	167	211
OTUD7B	234	238	318	348
OTX1	48	45	8	10
OTX2	60	64	23	21
OTX2OS1	1	2	1	1
OVCA2	24	25	18	19
OVCH1	1	1	2	1
OVCH2	1	1	1	2
OVGP1	10	22	36	29
OVOL1	26	22	5	2
OVOL2	7	7	4	6
OXA1L	892	995	204	242
OXCT1	225	230	345	353
OXCT2	3	3	5	4
OXER1	23	33	9	14
OXGR1	2	1	4	5
OXNAD1	87	89	35	46
OXR1	139	148	384	408
OXSM	74	77	17	23
OXSR1	576	548	159	173
OXT	2	1	4	6
OXTR	52	53	18	29
P2RX1	9	12	1	5
P2RX2	27	27	3	2
P2RX3	2	1	2	2
P2RX4	132	138	140	161
P2RX5	135	127	66	79
P2RX6	63	58	97	140
P2RX6P	1	1	2	1
P2RY1	28	26	15	18
