Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
AADACL4	1.22066	-0.0210794	1.49516	-0.0140952	0.988754	NA	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
AADAT	27.142	-0.187943	0.458574	-0.409809	0.681946	0.735655	38	32	19	23	31.95	25.97	23.68	26.97	4.98	4.7	4.58	4.75
AAGAB	203.589	-0.686477	0.179112	-3.8324	0.000126899	0.00026959	279	330	128	130	234.61	267.82	159.5	152.43	7.87	8.06	7.32	7.26
AAK1	648.363	2.43982	0.115975	21.0338	3.21638e-98	6.44966e-97	235	253	832	984	197.61	205.33	1036.76	1153.76	7.63	7.69	10.01	10.17
AAMP	696.577	0.210278	0.103147	2.03863	0.0414869	0.0628771	746	819	565	674	627.31	664.67	704.05	790.28	9.29	9.38	9.46	9.63
AANAT	4.49153	0.199886	1.00974	0.198008	0.843038	0.873282	6	4	4	4	5.05	3.25	4.98	4.69	2.29	1.83	2.27	2.21
AARS	2093.86	0.297549	0.0670206	4.43967	9.00986e-06	2.1274e-05	2217	2333	1790	2036	1864.27	1893.39	2230.52	2387.24	10.86	10.89	11.12	11.22
AARS2	306.679	-0.602728	0.152665	-3.94788	7.88455e-05	0.000170793	450	446	172	232	378.4	361.96	214.33	272.02	8.56	8.5	7.75	8.09
AARSD1	191.127	0.357903	0.181059	1.97672	0.0480729	0.0719996	186	220	165	191	156.41	178.55	205.61	223.95	7.29	7.48	7.68	7.8
AASDH	41.2261	-0.259844	0.374777	-0.693273	0.488139	0.558009	50	59	31	31	42.04	47.88	38.63	36.35	5.39	5.57	5.28	5.19
AASDHPPT	218.126	0.912764	0.16824	5.42524	5.78776e-08	1.62613e-07	182	184	227	245	153.04	149.33	282.87	287.27	7.26	7.23	8.14	8.16
AASS	80.5904	-0.46229	0.276014	-1.67472	0.093989	0.132142	122	104	55	57	102.59	84.4	68.54	66.83	6.67	6.4	6.1	6.07
AATF	340.319	-1.03084	0.140518	-7.33532	2.2119e-13	8.43147e-13	546	561	177	193	459.13	455.29	220.56	226.3	8.84	8.83	7.79	7.83
AATK	1819.83	5.17693	0.114453	45.1774	0	0	126	110	2769	3099	105.95	89.27	3450.46	3633.63	6.74	6.5	11.75	11.82
ABAT	1071.69	3.60099	0.10648	33.8047	1.6839e-250	1.17712e-248	209	185	1563	1717	175.75	150.14	1947.66	2013.21	7.46	7.24	10.92	10.97
ABCA1	116.759	-1.14315	0.241855	-4.72516	2.29931e-06	5.72089e-06	212	177	60	60	178.27	143.65	74.77	70.35	7.47	7.16	6.23	6.15
ABCA10	6.14814	3.28269	1.08137	2.85784	0.00426541	0.00761275	1	1	9	10	0.84	0.81	11.21	11.73	0.6	0.56	3.18	3.24
ABCA11P	28.8679	0.0023949	0.446492	0.00536374	0.99572	0.996402	31	39	20	28	26.07	31.65	24.92	32.83	4.71	4.98	4.65	5.03
ABCA12	10.7183	-2.74503	0.858349	-3.10585	0.00189734	0.00353969	24	22	2	2	20.18	17.85	2.49	2.35	4.18	4.02	1.74	1.67
ABCA13	2.24246	-1.13017	1.33274	-0.836644	0.402793	0.474864	2	6	1	1	1.68	4.87	1.25	1.17	0.86	1.83	0.67	0.62
ABCA17P	16.4871	2.53666	0.646756	3.88978	0.000100337	0.000214854	5	6	24	23	4.2	4.87	29.91	26.97	2.29	2.46	4.79	4.65
ABCA2	6305.64	3.1513	0.0548102	57.4927	0	0	1508	1580	8897	9881	1268.07	1282.28	11086.57	11585.63	10.31	10.33	13.44	13.5
ABCA3	1155.2	2.9944	0.0973577	30.7509	1.18999e-207	6.30802e-206	299	324	1565	1839	251.43	262.95	1950.15	2156.26	7.98	8.04	10.93	11.07
ABCA4	15.0815	-0.671322	0.618402	-1.08463	0.278084	0.345655	27	18	10	9	22.7	14.61	12.46	10.55	4.45	3.87	3.66	3.46
ABCA5	98.0112	1.31037	0.252685	5.18482	2.16223e-07	5.81701e-07	63	73	106	126	52.98	59.24	132.09	147.74	5.74	5.9	7.04	7.19
ABCA6	10.7474	4.12082	0.987256	3.82743	0.00012949	0.000274699	1	1	20	14	0.84	0.81	24.92	16.42	0.67	0.63	4.38	3.83
ABCA7	373.565	-0.367175	0.137004	-2.67999	0.00736251	0.0127198	521	498	240	301	438.11	404.16	299.06	352.93	8.77	8.66	8.23	8.46
ABCA8	92.6014	3.70754	0.339518	10.8579	1.82992e-27	1.12936e-26	19	12	143	142	15.98	9.74	178.19	166.5	4.06	3.41	7.45	7.35
ABCA9	17.0153	4.35393	0.848869	4.79754	1.60629e-06	4.04826e-06	1	2	31	23	0.84	1.62	38.63	26.97	0.77	1.22	5.09	4.6
ABCB1	70.7583	1.9945	0.309507	6.43842	1.20723e-10	4.0004e-10	37	31	86	102	31.11	25.16	107.16	119.6	4.99	4.69	6.72	6.88
ABCB10	87.0785	-0.567175	0.262678	-2.15894	0.030855	0.0478844	125	127	56	60	105.11	103.07	69.78	70.35	6.71	6.68	6.13	6.14
ABCB11	1.42356	-0.320149	1.45673	-0.219263	0.826445	NA	1	3	1	1	0.84	2.43	1.25	1.17	0.16	0.89	0.39	0.36
ABCB4	8.38745	-2.35324	0.915991	-2.51013	0.0120686	0.0201345	13	22	1	3	10.93	17.85	1.25	3.52	3.33	3.95	1.16	2.01
ABCB5	8.86698	-3.3299	1.01395	-3.06015	0.00221229	0.00409028	20	20	1	1	16.82	16.23	1.25	1.17	3.86	3.82	1.1	1.05
ABCB6	411.389	-0.829953	0.128484	-6.45927	1.05209e-10	3.49887e-10	607	669	240	250	510.42	542.94	299.06	293.13	8.99	9.08	8.23	8.2
ABCB7	104.15	-1.62424	0.260996	-6.21872	5.01229e-10	1.60543e-09	173	209	41	43	145.48	169.62	51.09	50.42	7.17	7.39	5.69	5.68
ABCB8	389.014	0.228607	0.128217	1.78297	0.0745911	0.107418	439	428	335	360	369.15	347.35	417.44	422.11	8.53	8.44	8.7	8.72
ABCB9	211.025	1.99809	0.18264	10.9368	7.68379e-28	4.79956e-27	98	106	259	301	82.41	86.03	322.74	352.93	6.38	6.44	8.33	8.46
ABCC1	514.272	-2.88847	0.141867	-20.3465	4.98526e-92	9.3253e-91	1061	1135	94	108	892.19	921.13	117.13	126.63	9.8	9.84	6.88	7
ABCC10	226.337	0.0676931	0.167052	0.405223	0.685314	0.738652	274	261	175	209	230.41	211.82	218.07	245.06	7.85	7.73	7.77	7.94
ABCC11	5.8684	0.995198	0.967567	1.02744	0.304213	0.37379	4	5	11	2	3.36	4.06	13.71	2.35	1.87	2.07	3.49	1.55
ABCC12	6.99073	3.47307	1.06478	3.05469	0.00225294	0.0041593	1	1	7	15	0.84	0.81	8.72	17.59	0.6	0.57	2.9	3.8
ABCC13	1.22066	-0.0210794	1.49516	-0.0140952	0.988754	NA	1	2	1	1	0.84	1.62	1.25	1.17	0.07	0.47	0.29	0.25
ABCC2	201.102	-6.2044	0.495593	-11.9516	6.36649e-33	4.54645e-32	480	482	3	5	403.63	391.18	3.74	5.86	8.64	8.59	2.42	2.85
ABCC3	108.947	-4.76328	0.445238	-10.4582	1.34325e-25	7.94358e-25	244	266	9	3	205.18	215.88	11.21	3.52	7.65	7.72	3.61	2.32
ABCC4	111.19	-3.09024	0.304434	-10.1099	4.9919e-24	2.83273e-23	230	253	20	18	193.41	205.33	24.92	21.11	7.58	7.66	4.69	4.47
ABCC5	451.685	1.30896	0.128153	10.2136	1.72323e-24	9.90042e-24	294	335	481	587	247.22	271.88	599.38	688.27	7.95	8.09	9.23	9.42
ABCC6	46.8921	-3.15844	0.468335	-6.6744	2.48243e-11	8.56406e-11	108	97	6	9	90.82	78.72	7.48	10.55	6.46	6.26	3.1	3.51
ABCC6P1	5.1636	-2.49503	1.11766	-2.13232	0.0329803	0.0508991	13	9	1	1	10.93	7.3	1.25	1.17	3.15	2.67	0.99	0.94
ABCC6P2	1.844	-0.793	1.37669	-0.571463	0.567686	NA	3	3	1	1	2.52	2.43	1.25	1.17	1.12	1.09	0.6	0.56
ABCC8	286.242	7.24965	0.487001	14.0988	3.86339e-45	3.6211e-44	4	4	460	482	3.36	3.25	573.21	565.15	2.18	2.13	9.14	9.12
ABCC9	22.9668	3.37367	0.62702	5.29367	1.19888e-07	3.29505e-07	2	7	33	37	1.68	5.68	41.12	43.38	1.39	2.64	5.26	5.33
ABCD1	182.405	-2.53532	0.223239	-11.3422	8.10466e-30	5.35207e-29	367	387	51	37	308.61	314.08	63.55	43.38	8.26	8.28	6.01	5.47
ABCD2	34.949	4.18295	0.592322	6.88239	5.88578e-12	2.09519e-11	2	6	58	52	1.68	4.87	72.27	60.97	1.41	2.46	6.09	5.85
ABCD3	147.589	-0.501639	0.203468	-2.4653	0.0136898	0.0226008	208	211	100	102	174.91	171.24	124.61	119.6	7.45	7.42	6.96	6.91
ABCD4	178.047	0.0628346	0.189601	0.331406	0.740338	0.786619	206	216	130	172	173.22	175.3	161.99	201.67	7.44	7.45	7.34	7.65
ABCE1	115.842	-1.19285	0.24483	-4.87053	1.11298e-06	2.84213e-06	179	212	65	51	150.52	172.05	81	59.8	7.23	7.42	6.35	5.92
ABCF1	657.09	-1.35528	0.107078	-12.6559	1.03718e-36	8.06088e-36	1143	1145	293	318	961.14	929.25	365.11	372.86	9.91	9.86	8.51	8.55
ABCF2	425.232	-0.483893	0.123931	-3.90446	9.44373e-05	0.00020279	592	609	280	307	497.81	494.25	348.91	359.96	8.96	8.95	8.45	8.49
ABCF3	419.891	0.643913	0.123815	5.20061	1.98631e-07	5.36098e-07	398	395	408	440	334.68	320.57	508.41	515.91	8.39	8.33	8.99	9.01
ABCG1	198.688	0.472253	0.176991	2.66824	0.00762501	0.0131397	188	215	194	188	158.09	174.49	241.74	220.43	7.31	7.45	7.91	7.78
ABCG2	66.8561	1.36823	0.306705	4.45968	8.20814e-06	1.94516e-05	38	52	77	83	31.95	42.2	95.95	97.32	5.03	5.41	6.57	6.59
ABCG4	182.436	5.86272	0.402071	14.2261	6.31204e-46	6.01581e-45	7	7	279	316	5.89	5.68	347.66	370.52	2.78	2.74	8.42	8.51
ABCG5	12.0219	-2.10337	0.752537	-2.76193	0.00574611	0.0100801	24	24	3	4	20.18	19.48	3.74	4.69	4.22	4.18	2.19	2.42
ABCG8	13.2921	-1.35715	0.675105	-2.00262	0.0452179	0.0680148	20	27	5	7	16.82	21.91	6.23	8.21	4.02	4.37	2.79	3.11
ABHD1	5.11156	-0.777181	0.977743	-0.792321	0.428174	0.500491	7	9	3	3	5.89	7.3	3.74	3.52	2.5	2.75	2.02	1.96
ABHD10	156.948	0.662196	0.196992	3.3615	0.000775195	0.00151364	148	146	147	172	124.45	118.49	183.18	201.67	6.96	6.89	7.51	7.65
ABHD11	118.847	-0.69844	0.235032	-2.97131	0.00296528	0.00539047	193	163	67	83	162.29	132.29	83.49	97.32	7.34	7.04	6.39	6.61
ABHD12	824.98	0.988313	0.0939632	10.518	7.13682e-26	4.2506e-25	677	661	866	951	569.29	536.45	1079.12	1115.06	9.15	9.07	10.07	10.12
ABHD12B	6.83627	1.74064	0.900759	1.92052	0.0547922	0.0812392	4	3	6	12	3.36	2.43	7.48	14.07	1.92	1.59	2.82	3.59
ABHD13	50.0218	0.145784	0.33877	0.430343	0.666946	0.722648	54	61	43	44	45.41	49.51	53.58	51.59	5.51	5.63	5.74	5.69
ABHD14A	323.887	2.19337	0.157241	13.9456	3.34641e-44	3.08059e-43	123	158	404	478	103.43	128.23	503.43	560.46	6.7	7.01	8.97	9.12
ABHD14B	311.791	-1.90322	0.157955	-12.0449	2.06251e-33	1.49232e-32	583	609	112	105	490.24	494.25	139.56	123.11	8.93	8.94	7.13	6.95
ABHD15	77.5361	-1.70547	0.31417	-5.42264	5.87257e-08	1.64943e-07	154	134	21	39	129.5	108.75	26.17	45.73	7	6.75	4.76	5.53
ABHD2	810.073	0.842989	0.0963168	8.75221	2.09208e-18	9.82012e-18	703	700	874	846	591.15	568.1	1089.09	991.95	9.21	9.15	10.09	9.95
ABHD3	77.1634	-1.36053	0.298103	-4.56094	5.09244e-06	1.22922e-05	144	125	39	32	121.09	101.45	48.6	37.52	6.9	6.65	5.62	5.26
ABHD4	201.24	-0.466121	0.177233	-2.62988	0.00854139	0.0145984	269	297	128	152	226.2	241.04	159.5	178.22	7.82	7.91	7.32	7.48
ABHD5	77.0589	-0.281042	0.278433	-1.00932	0.31282	0.383292	94	111	58	57	79.04	90.08	72.27	66.83	6.3	6.49	6.18	6.07
ABHD6	214.53	2.14247	0.184144	11.6306	2.88191e-31	1.9822e-30	101	90	273	307	84.93	73.04	340.19	359.96	6.42	6.2	8.4	8.48
ABHD8	744.294	2.5884	0.109739	23.5825	5.8299e-123	1.50208e-121	257	256	982	1134	216.11	207.76	1223.67	1329.63	7.76	7.7	10.25	10.37
ABI1	250.907	0.753211	0.158041	4.76586	1.88048e-06	4.71086e-06	229	223	245	277	192.57	180.98	305.3	324.79	7.59	7.5	8.25	8.34
ABI2	595.85	1.04689	0.108474	9.65091	4.87203e-22	2.59753e-21	444	497	658	671	373.36	403.35	819.94	786.76	8.55	8.66	9.68	9.62
ABI3	27.6309	1.57387	0.472363	3.32816	0.000874207	0.00169734	19	14	31	38	15.98	11.36	38.63	44.56	4.04	3.59	5.23	5.43
ABI3BP	14.7144	-0.26327	0.60997	-0.431519	0.666091	0.722192	18	21	12	10	15.14	17.04	14.95	11.73	3.91	4.07	3.9	3.59
ABL1	1000.61	-0.937701	0.0917998	-10.2144	1.70943e-24	9.8243e-24	1482	1705	551	585	1246.21	1383.72	686.6	685.92	10.28	10.43	9.42	9.42
ABL2	305.43	0.142682	0.14448	0.987557	0.323369	0.394894	337	366	270	260	283.38	297.03	336.45	304.85	8.15	8.21	8.39	8.25
ABLIM1	1894.14	3.08847	0.0775473	39.8219	0	0	472	492	2689	2925	396.9	399.29	3350.77	3429.61	8.64	8.64	11.71	11.74
ABLIM2	365.441	6.45274	0.340411	18.5664	6.00656e-77	9.40991e-76	8	11	579	618	6.73	8.93	721.49	724.61	2.98	3.31	9.48	9.49
ABLIM3	352.504	1.68671	0.140951	11.9653	5.39731e-33	3.85906e-32	200	204	413	479	168.18	165.56	514.64	561.64	7.4	7.38	9	9.13
ABO	17.3884	-2.32973	0.65507	-3.51785	0.000435054	0.000875899	37	34	4	5	31.11	27.59	4.98	5.86	4.87	4.71	2.55	2.72
ABP1	2.67757	-1.43263	1.27572	-1.10128	0.270775	0.337759	6	4	1	1	5.05	3.25	1.25	1.17	1.99	1.54	0.78	0.74
ABR	2087.96	2.35975	0.0776691	30.3807	9.86749e-203	5.04767e-201	803	845	2633	3164	675.24	685.78	3280.99	3709.84	9.4	9.42	11.68	11.86
ABRA	2.4557	1.25619	1.27995	0.975444	0.32934	0.400457	2	1	4	2	1.68	0.81	4.98	2.35	0.89	0.4	1.88	1.17
ABT1	173.293	-0.938514	0.200552	-4.679	2.88284e-06	7.11325e-06	281	271	81	116	236.29	219.94	100.93	136.01	7.88	7.78	6.67	7.09
ABTB1	554.059	3.10691	0.136328	22.7795	7.32012e-115	1.74036e-113	149	129	749	898	125.29	104.69	933.33	1052.92	6.98	6.72	9.86	10.04
ABTB2	194.938	0.202022	0.179421	1.12597	0.260179	0.326569	220	219	154	192	185	177.73	191.9	225.12	7.53	7.47	7.58	7.81
ACAA1	417.448	0.474561	0.123625	3.83872	0.000123679	0.00026307	410	436	387	417	344.77	353.84	482.24	488.94	8.43	8.47	8.91	8.93
ACAA2	164.738	-1.23561	0.202492	-6.10048	1.05751e-09	3.32767e-09	287	273	83	79	241.34	221.56	103.43	92.63	7.91	7.79	6.7	6.54
ACACA	758.224	-0.082919	0.101638	-0.815828	0.414599	0.487407	965	922	628	589	811.47	748.27	782.55	690.61	9.66	9.55	9.61	9.43
ACACB	167.802	1.33757	0.197877	6.75881	1.39126e-11	4.85792e-11	103	127	202	196	86.61	103.07	251.71	229.81	6.45	6.69	7.97	7.84
ACAD10	162.062	-0.958328	0.200121	-4.78798	1.68467e-06	4.23787e-06	242	277	89	93	203.5	224.8	110.9	109.04	7.66	7.81	6.8	6.78
ACAD11	153.033	-0.20277	0.201853	-1.00452	0.315126	0.385686	190	207	104	132	159.77	167.99	129.59	154.77	7.32	7.39	7.02	7.27
ACAD8	193.347	0.600128	0.176986	3.39081	0.000696858	0.00136722	180	192	185	201	151.36	155.82	230.53	235.68	7.24	7.29	7.85	7.88
ACAD9	271.879	-0.25483	0.152335	-1.67281	0.0943649	0.132639	362	354	205	205	304.4	287.3	255.45	240.37	8.25	8.17	8	7.91
ACADL	4.00454	1.32574	1.10295	1.1963	0.231578	0.294824	3	2	2	8	2.52	1.62	2.49	9.38	1.45	1.06	1.46	2.85
ACADM	123.934	-0.01415	0.225383	-0.062782	0.94994	0.959842	132	170	103	101	111	137.97	128.35	118.42	6.8	7.11	7	6.89
ACADS	146.991	-0.541928	0.205045	-2.6428	0.00822239	0.0140875	216	206	95	103	181.63	167.18	118.38	120.77	7.5	7.38	6.89	6.92
ACADSB	113.523	0.0934636	0.227905	0.410101	0.681732	0.735469	128	138	95	99	107.63	112	118.38	116.08	6.75	6.81	6.89	6.86
ACADVL	1310.51	-0.650401	0.0779647	-8.34217	7.2941e-17	3.21644e-16	1916	1961	802	887	1611.16	1591.49	999.37	1040.02	10.65	10.64	9.97	10.02
ACAN	20.1617	2.2763	0.575379	3.93747	8.23463e-05	0.000177893	8	8	24	32	6.73	6.49	29.91	37.52	2.88	2.84	4.83	5.14
ACAP1	46.241	-1.37896	0.378869	-3.63556	0.000277377	0.000569156	87	75	23	19	73.16	60.87	28.66	22.28	6.17	5.91	4.87	4.52
ACAP2	143.667	-0.295052	0.209322	-1.40952	0.158682	0.211342	197	186	113	100	165.66	150.95	140.81	117.25	7.37	7.24	7.14	6.88
ACAP3	1733.17	1.91825	0.0765309	25.0643	1.21903e-138	3.7459e-137	877	878	2103	2441	737.47	712.56	2620.55	2862.11	9.53	9.48	11.35	11.48
ACAT1	210.091	-0.842611	0.175577	-4.79863	1.59754e-06	4.0291e-06	313	341	115	134	263.2	276.74	143.3	157.12	8.04	8.11	7.17	7.3
ACAT2	250.757	-1.11311	0.163033	-6.82656	8.69762e-12	3.06566e-11	404	427	130	132	339.72	346.54	161.99	154.77	8.4	8.43	7.34	7.28
ACBD3	221.518	-0.628107	0.169136	-3.7134	0.000204493	0.000425173	310	342	138	150	260.68	277.56	171.96	175.88	8.02	8.11	7.43	7.46
ACBD4	154.025	0.670206	0.212876	3.14832	0.00164214	0.00309252	163	124	139	175	137.07	100.63	173.21	205.19	7.1	6.66	7.43	7.68
ACBD5	180.54	1.05853	0.191116	5.53838	3.05282e-08	8.72959e-08	149	134	180	225	125.29	108.75	224.3	263.82	6.97	6.77	7.81	8.04
ACBD6	244.997	-0.995302	0.16509	-6.02817	1.65828e-09	5.14794e-09	383	408	123	148	322.06	331.12	153.27	173.53	8.33	8.37	7.27	7.44
ACBD7	106.273	2.67433	0.27147	9.83654	7.83633e-23	4.28604e-22	30	39	144	161	25.23	31.65	179.44	188.78	4.7	5.01	7.47	7.54
ACCN1	125.422	6.65047	0.601121	10.2582	1.08765e-24	6.28378e-24	2	3	197	215	1.68	2.43	245.48	252.09	1.48	1.78	7.9	7.94
ACCN2	329.608	2.08922	0.149254	13.9948	1.67815e-44	1.55218e-43	152	151	413	472	127.82	122.55	514.64	553.43	7.01	6.95	9	9.11
ACCN3	144.81	1.66143	0.214365	7.74854	9.29517e-15	3.75877e-14	75	93	173	192	63.07	75.48	215.58	225.12	5.99	6.25	7.74	7.8
ACCN4	79.7617	0.748702	0.274858	2.72387	0.00645222	0.0112424	64	80	77	89	53.82	64.93	95.95	104.35	5.76	6.03	6.58	6.7
ACCN5	1.91555	1.4266	1.37486	1.02495	0.305389	NA	1	1	2	3	0.84	0.81	2.49	3.52	0.28	0.26	1.05	1.36
ACCS	34.8259	-1.96903	0.457284	-4.29104	1.77835e-05	4.07775e-05	72	63	9	14	60.54	51.13	11.21	16.42	5.88	5.64	3.6	4.09
ACCSL	1.3293	0.81223	1.47801	0.548102	0.583622	NA	1	1	2	1	0.84	0.81	2.49	1.17	0.08	0.05	0.8	0.27
ACD	246.742	-0.306379	0.164067	-1.86737	0.0618503	0.0907455	330	331	159	207	277.5	268.63	198.13	242.71	8.12	8.07	7.63	7.92
ACE	73.712	0.188249	0.307415	0.612365	0.540297	0.609101	82	85	45	86	68.95	68.98	56.07	100.84	6.11	6.11	5.82	6.65
ACE2	2.46001	-1.29284	1.29656	-0.98053	0.326824	0.398144	4	5	1	1	3.36	4.06	1.25	1.17	1.54	1.73	0.75	0.71
ACER2	12.7554	0.631986	0.652867	0.967907	0.333091	0.404094	11	13	10	16	9.25	10.55	12.46	18.76	3.26	3.43	3.64	4.16
ACER3	86.1304	0.636574	0.262423	2.42572	0.0152779	0.0249665	82	81	79	95	68.95	65.74	98.44	111.39	6.11	6.05	6.62	6.79
ACHE	276.989	4.14206	0.216739	19.0538	6.10541e-81	1.00211e-79	40	31	411	458	33.64	25.16	512.15	537.01	5.11	4.7	8.99	9.06
ACIN1	1303.56	-0.720509	0.0781352	-9.22121	2.93768e-20	1.47523e-19	1905	2025	784	846	1601.91	1643.43	976.94	991.95	10.65	10.68	9.93	9.95
ACLY	1364.83	-1.19338	0.0786868	-15.1658	5.96069e-52	6.33089e-51	2252	2348	650	725	1893.7	1905.56	809.97	850.07	10.89	10.9	9.66	9.73
ACMSD	2.91493	1.12437	1.20401	0.93004	0.35235	0.423506	2	2	2	5	1.68	1.62	2.49	5.86	1	0.97	1.34	2.17
ACN9	50.6227	-1.30173	0.355658	-3.65666	0.000255525	0.000526163	85	90	23	25	71.48	73.04	28.66	29.31	6.14	6.17	4.87	4.9
ACO1	278.323	-0.87861	0.157298	-5.58522	2.3341e-08	6.7105e-08	425	449	142	183	357.38	364.39	176.95	214.57	8.48	8.51	7.47	7.75
ACO2	909.847	1.45217	0.09491	15.3001	7.63226e-53	8.24604e-52	576	603	1011	1199	484.36	489.38	1259.81	1405.85	8.92	8.94	10.3	10.46
ACOT1	16.5665	0.578952	0.582116	0.994534	0.319963	0.391143	12	20	17	16	10.09	16.23	21.18	18.76	3.4	4.02	4.37	4.21
ACOT11	24.6213	0.803352	0.481255	1.66906	0.0951047	0.133556	24	19	26	26	20.18	15.42	32.4	30.49	4.35	3.99	4.99	4.91
ACOT12	1.42356	-0.320149	1.45673	-0.219263	0.826445	NA	1	3	1	1	0.84	2.43	1.25	1.17	0.16	0.89	0.39	0.36
ACOT13	117.175	-0.304877	0.235159	-1.29643	0.194829	0.253483	140	174	94	79	117.73	141.21	117.13	92.63	6.88	7.14	6.87	6.54
ACOT2	57.5012	-0.81157	0.327382	-2.47813	0.0132072	0.0218472	83	95	30	39	69.79	77.1	37.38	45.73	6.12	6.26	5.25	5.52
ACOT4	16.5726	1.53346	0.597128	2.56363	0.0103583	0.0174773	10	10	23	18	8.41	8.12	28.66	21.11	3.16	3.11	4.76	4.35
ACOT6	2.24548	1.67675	1.33467	1.23528	0.216724	0.278419	1	1	4	2	0.84	0.81	4.98	2.35	0.33	0.31	1.78	1.07
ACOT7	941.223	1.09446	0.0893726	12.246	1.76585e-34	1.30843e-33	729	724	1004	1120	613.01	587.58	1251.09	1313.22	9.26	9.2	10.29	10.36
ACOT8	158.692	0.696478	0.194873	3.57398	0.000351597	0.000714598	141	152	160	165	118.57	123.36	199.38	193.47	6.89	6.95	7.64	7.59
ACOT9	82.6031	-1.3764	0.296576	-4.63804	3.51724e-06	8.62402e-06	135	155	27	49	113.52	125.79	33.64	57.45	6.82	6.96	5.11	5.85
ACOX1	298.082	0.336909	0.144611	2.32978	0.019818	0.0318053	304	334	266	285	255.63	271.06	331.46	334.17	8	8.08	8.37	8.38
ACOX2	24.387	-0.81981	0.497159	-1.64767	0.0994202	0.139065	31	45	13	16	26.07	36.52	16.2	18.76	4.69	5.15	4.06	4.25
ACOX3	78.2274	0.176002	0.280954	0.626448	0.531021	0.600419	86	92	56	82	72.32	74.66	69.78	96.15	6.18	6.22	6.13	6.58
ACOXL	3.48885	-0.765045	1.14267	-0.666802	0.504899	0.574213	4	7	3	1	3.36	5.68	3.74	1.17	1.73	2.28	1.83	0.89
ACP1	358.709	-1.01439	0.137766	-7.36251	1.80477e-13	6.90354e-13	555	608	189	204	466.7	493.43	235.51	239.19	8.86	8.94	7.88	7.91
ACP2	272.739	0.378121	0.152573	2.4783	0.013201	0.0218452	293	281	236	275	246.38	228.05	294.08	322.44	7.95	7.83	8.2	8.33
ACP5	54.7312	-3.85254	0.498031	-7.59372	3.1084e-14	1.22865e-13	117	132	7	4	98.38	107.13	8.72	4.69	6.57	6.69	3.27	2.55
ACP6	71.4776	-1.87754	0.321773	-5.82632	5.66635e-09	1.70068e-08	125	148	28	22	105.11	120.11	34.89	25.8	6.7	6.89	5.15	4.74
ACPL2	102.194	-0.461772	0.243909	-1.89307	0.058348	0.0859736	136	151	73	69	114.36	122.55	90.97	80.9	6.83	6.93	6.51	6.34
ACPP	2.6629	-1.42601	1.27641	-1.09563	0.273241	0.340044	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
ACPT	3.35046	-0.255972	1.13462	-0.225376	0.821687	0.855474	3	6	2	3	2.52	4.87	2.49	3.52	1.46	2.11	1.47	1.78
ACR	2.42997	1.25768	1.27695	0.978337	0.327908	0.398992	1	2	3	3	0.84	1.62	3.74	3.52	0.44	0.88	1.6	1.54
