Feature.ID	baseMean	log2(brain/UHR)	lfcSE	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
ABCC9	22.9668	3.29303	0.66466	1.19888e-07	3.29505e-07	2	7	33	37	1.68	5.68	41.12	43.38	1.39	2.64	5.26	5.33
ABCD1	182.405	-2.51693	0.22486	8.10466e-30	5.35207e-29	367	387	51	37	308.61	314.08	63.55	43.38	8.26	8.28	6.01	5.47
ABCD2	34.949	4.17063	0.624276	5.88578e-12	2.09519e-11	2	6	58	52	1.68	4.87	72.27	60.97	1.41	2.46	6.09	5.85
ABCD3	147.589	-0.485829	0.201359	0.0136898	0.0226008	208	211	100	102	174.91	171.24	124.61	119.6	7.45	7.42	6.96	6.91
ABCD4	178.047	0.0611963	0.186997	0.740338	0.786619	206	216	130	172	173.22	175.3	161.99	201.67	7.44	7.45	7.34	7.65
ABCE1	115.842	-1.15824	0.245166	1.11298e-06	2.84213e-06	179	212	65	51	150.52	172.05	81	59.8	7.23	7.42	6.35	5.92
ABCF1	657.09	-1.34871	0.107154	1.03718e-36	8.06088e-36	1143	1145	293	318	961.14	929.25	365.11	372.86	9.91	9.86	8.51	8.55
ABCF2	425.232	-0.478046	0.123439	9.44373e-05	0.00020279	592	609	280	307	497.81	494.25	348.91	359.96	8.96	8.95	8.45	8.49
ABCF3	419.891	0.637106	0.123479	1.98631e-07	5.36098e-07	398	395	408	440	334.68	320.57	508.41	515.91	8.39	8.33	8.99	9.01
ABCG1	198.688	0.461225	0.175565	0.00762501	0.0131397	188	215	194	188	158.09	174.49	241.74	220.43	7.31	7.45	7.91	7.78
ABCG2	66.8561	1.31498	0.308515	8.20814e-06	1.94516e-05	38	52	77	83	31.95	42.2	95.95	97.32	5.03	5.41	6.57	6.59
ABCG4	182.436	5.90231	0.414758	6.31204e-46	6.01581e-45	7	7	279	316	5.89	5.68	347.66	370.52	2.78	2.74	8.42	8.51
ABCG5	12.0219	-1.80027	0.806892	0.00574611	0.0100801	24	24	3	4	20.18	19.48	3.74	4.69	4.22	4.18	2.19	2.42
ABCG8	13.2921	-1.08798	0.674233	0.0452179	0.0680148	20	27	5	7	16.82	21.91	6.23	8.21	4.02	4.37	2.79	3.11
ABHD1	5.11156	-0.421587	0.790292	0.428174	0.500491	7	9	3	3	5.89	7.3	3.74	3.52	2.5	2.75	2.02	1.96
ABHD10	156.948	0.644719	0.195663	0.000775195	0.00151364	148	146	147	172	124.45	118.49	183.18	201.67	6.96	6.89	7.51	7.65
ABHD11	118.847	-0.672125	0.232867	0.00296528	0.00539047	193	163	67	83	162.29	132.29	83.49	97.32	7.34	7.04	6.39	6.61
ABHD12	824.98	0.983523	0.0939398	7.13682e-26	4.2506e-25	677	661	866	951	569.29	536.45	1079.12	1115.06	9.15	9.07	10.07	10.12
ABHD12B	6.83627	1.24041	0.941935	0.0547922	0.0812392	4	3	6	12	3.36	2.43	7.48	14.07	1.92	1.59	2.82	3.59
ABHD13	50.0218	0.133171	0.325105	0.666946	0.722648	54	61	43	44	45.41	49.51	53.58	51.59	5.51	5.63	5.74	5.69
ABHD14A	323.887	2.18286	0.15777	3.34641e-44	3.08059e-43	123	158	404	478	103.43	128.23	503.43	560.46	6.7	7.01	8.97	9.12
ABHD14B	311.791	-1.89082	0.15846	2.06251e-33	1.49232e-32	583	609	112	105	490.24	494.25	139.56	123.11	8.93	8.94	7.13	6.95
ABHD15	77.5361	-1.65208	0.317328	5.87257e-08	1.64943e-07	154	134	21	39	129.5	108.75	26.17	45.73	7	6.75	4.76	5.53
ABHD2	810.073	0.838227	0.0962482	2.09208e-18	9.82012e-18	703	700	874	846	591.15	568.1	1089.09	991.95	9.21	9.15	10.09	9.95
ABHD3	77.1634	-1.30922	0.299626	5.09244e-06	1.22922e-05	144	125	39	32	121.09	101.45	48.6	37.52	6.9	6.65	5.62	5.26
ABHD4	201.24	-0.454714	0.175729	0.00854139	0.0145984	269	297	128	152	226.2	241.04	159.5	178.22	7.82	7.91	7.32	7.48
ABHD5	77.0589	-0.263362	0.271304	0.31282	0.383292	94	111	58	57	79.04	90.08	72.27	66.83	6.3	6.49	6.18	6.07
ABHD6	214.53	2.12764	0.185039	2.88191e-31	1.9822e-30	101	90	273	307	84.93	73.04	340.19	359.96	6.42	6.2	8.4	8.48
ABHD8	744.294	2.58437	0.109933	5.8299e-123	1.50208e-121	257	256	982	1134	216.11	207.76	1223.67	1329.63	7.76	7.7	10.25	10.37
ABI1	250.907	0.741034	0.157531	1.88048e-06	4.71086e-06	229	223	245	277	192.57	180.98	305.3	324.79	7.59	7.5	8.25	8.34
ABI2	595.85	1.04011	0.108459	4.87203e-22	2.59753e-21	444	497	658	671	373.36	403.35	819.94	786.76	8.55	8.66	9.68	9.62
ABI3	27.6309	1.44787	0.482059	0.000874207	0.00169734	19	14	31	38	15.98	11.36	38.63	44.56	4.04	3.59	5.23	5.43
ABI3BP	14.7144	-0.197176	0.54167	0.666091	0.722192	18	21	12	10	15.14	17.04	14.95	11.73	3.91	4.07	3.9	3.59
ABL1	1000.61	-0.933027	0.0917567	1.70943e-24	9.8243e-24	1482	1705	551	585	1246.21	1383.72	686.6	685.92	10.28	10.43	9.42	9.42
ABL2	305.43	0.140337	0.143377	0.323369	0.394894	337	366	270	260	283.38	297.03	336.45	304.85	8.15	8.21	8.39	8.25
ABLIM1	1894.14	3.08709	0.077615	0	0	472	492	2689	2925	396.9	399.29	3350.77	3429.61	8.64	8.64	11.71	11.74
ABLIM2	365.441	6.48888	0.348757	6.00656e-77	9.40991e-76	8	11	579	618	6.73	8.93	721.49	724.61	2.98	3.31	9.48	9.49
ABLIM3	352.504	1.67646	0.14127	5.39731e-33	3.85906e-32	200	204	413	479	168.18	165.56	514.64	561.64	7.4	7.38	9	9.13
ABO	17.3884	-2.13123	0.69447	0.000435054	0.000875899	37	34	4	5	31.11	27.59	4.98	5.86	4.87	4.71	2.55	2.72
ABP1	2.67757	-0.580067	0.99521	0.270775	0.337759	6	4	1	1	5.05	3.25	1.25	1.17	1.99	1.54	0.78	0.74
ABR	2087.96	2.35744	0.0777356	9.86749e-203	5.04767e-201	803	845	2633	3164	675.24	685.78	3280.99	3709.84	9.4	9.42	11.68	11.86
ABRA	2.4557	0.490343	0.963648	0.32934	0.400457	2	1	4	2	1.68	0.81	4.98	2.35	0.89	0.4	1.88	1.17
ABT1	173.293	-0.916395	0.199999	2.88284e-06	7.11325e-06	281	271	81	116	236.29	219.94	100.93	136.01	7.88	7.78	6.67	7.09
ABTB1	554.059	3.10263	0.136707	7.32012e-115	1.74036e-113	149	129	749	898	125.29	104.69	933.33	1052.92	6.98	6.72	9.86	10.04
ABTB2	194.938	0.196872	0.177353	0.260179	0.326569	220	219	154	192	185	177.73	191.9	225.12	7.53	7.47	7.58	7.81
ACAA1	417.448	0.469093	0.123137	0.000123679	0.00026307	410	436	387	417	344.77	353.84	482.24	488.94	8.43	8.47	8.91	8.93
ACAA2	164.738	-1.2119	0.202776	1.05751e-09	3.32767e-09	287	273	83	79	241.34	221.56	103.43	92.63	7.91	7.79	6.7	6.54
ACACA	758.224	-0.0820951	0.101251	0.414599	0.487407	965	922	628	589	811.47	748.27	782.55	690.61	9.66	9.55	9.61	9.43
ACACB	167.802	1.31562	0.198369	1.39126e-11	4.85792e-11	103	127	202	196	86.61	103.07	251.71	229.81	6.45	6.69	7.97	7.84
ACAD10	162.062	-0.936122	0.199675	1.68467e-06	4.23787e-06	242	277	89	93	203.5	224.8	110.9	109.04	7.66	7.81	6.8	6.78
ACAD11	153.033	-0.195676	0.198895	0.315126	0.385686	190	207	104	132	159.77	167.99	129.59	154.77	7.32	7.39	7.02	7.27
ACAD8	193.347	0.586904	0.175871	0.000696858	0.00136722	180	192	185	201	151.36	155.82	230.53	235.68	7.24	7.29	7.85	7.88
ACAD9	271.879	-0.249769	0.151131	0.0943649	0.132639	362	354	205	205	304.4	287.3	255.45	240.37	8.25	8.17	8	7.91
ACADL	4.00454	0.671512	0.943174	0.231578	0.294824	3	2	2	8	2.52	1.62	2.49	9.38	1.45	1.06	1.46	2.85
ACADM	123.934	-0.0132109	0.221075	0.94994	0.959842	132	170	103	101	111	137.97	128.35	118.42	6.8	7.11	7	6.89
ACADS	146.991	-0.52493	0.20303	0.00822239	0.0140875	216	206	95	103	181.63	167.18	118.38	120.77	7.5	7.38	6.89	6.92
ACADSB	113.523	0.0897887	0.223525	0.681732	0.735469	128	138	95	99	107.63	112	118.38	116.08	6.75	6.81	6.89	6.86
ACADVL	1310.51	-0.64757	0.077878	7.2941e-17	3.21644e-16	1916	1961	802	887	1611.16	1591.49	999.37	1040.02	10.65	10.64	9.97	10.02
ACAN	20.1617	2.13029	0.60417	8.23463e-05	0.000177893	8	8	24	32	6.73	6.49	29.91	37.52	2.88	2.84	4.83	5.14
ACAP1	46.241	-1.29574	0.381736	0.000277377	0.000569156	87	75	23	19	73.16	60.87	28.66	22.28	6.17	5.91	4.87	4.52
ACAP2	143.667	-0.284332	0.206342	0.158682	0.211342	197	186	113	100	165.66	150.95	140.81	117.25	7.37	7.24	7.14	6.88
ACAP3	1733.17	1.91547	0.076591	1.21903e-138	3.7459e-137	877	878	2103	2441	737.47	712.56	2620.55	2862.11	9.53	9.48	11.35	11.48
ACAT1	210.091	-0.82631	0.175021	1.59754e-06	4.0291e-06	313	341	115	134	263.2	276.74	143.3	157.12	8.04	8.11	7.17	7.3
ACAT2	250.757	-1.09786	0.163037	8.69762e-12	3.06566e-11	404	427	130	132	339.72	346.54	161.99	154.77	8.4	8.43	7.34	7.28
ACBD3	221.518	-0.615206	0.168194	0.000204493	0.000425173	310	342	138	150	260.68	277.56	171.96	175.88	8.02	8.11	7.43	7.46
ACBD4	154.025	0.649695	0.211242	0.00164214	0.00309252	163	124	139	175	137.07	100.63	173.21	205.19	7.1	6.66	7.43	7.68
ACBD5	180.54	1.03832	0.191038	3.05282e-08	8.72959e-08	149	134	180	225	125.29	108.75	224.3	263.82	6.97	6.77	7.81	8.04
ACBD6	244.997	-0.980019	0.16489	1.65828e-09	5.14794e-09	383	408	123	148	322.06	331.12	153.27	173.53	8.33	8.37	7.27	7.44
ACBD7	106.273	2.65005	0.274332	7.83633e-23	4.28604e-22	30	39	144	161	25.23	31.65	179.44	188.78	4.7	5.01	7.47	7.54
ACCN1	125.422	6.79053	0.655429	1.08765e-24	6.28378e-24	2	3	197	215	1.68	2.43	245.48	252.09	1.48	1.78	7.9	7.94
ACCN2	329.608	2.07936	0.149718	1.67815e-44	1.55218e-43	152	151	413	472	127.82	122.55	514.64	553.43	7.01	6.95	9	9.11
ACCN3	144.81	1.63704	0.21545	9.29517e-15	3.75877e-14	75	93	173	192	63.07	75.48	215.58	225.12	5.99	6.25	7.74	7.8
ACCN4	79.7617	0.712406	0.271911	0.00645222	0.0112424	64	80	77	89	53.82	64.93	95.95	104.35	5.76	6.03	6.58	6.7
ACCN5	1.91555	0.491328	1.00578	0.305389	NA	1	1	2	3	0.84	0.81	2.49	3.52	0.28	0.26	1.05	1.36
ACCS	34.8259	-1.86265	0.468914	1.77835e-05	4.07775e-05	72	63	9	14	60.54	51.13	11.21	16.42	5.88	5.64	3.6	4.09
ACCSL	1.3293	0.225006	0.944298	0.583622	NA	1	1	2	1	0.84	0.81	2.49	1.17	0.08	0.05	0.8	0.27
ACD	246.742	-0.299483	0.162592	0.0618503	0.0907455	330	331	159	207	277.5	268.63	198.13	242.71	8.12	8.07	7.63	7.92
ACE	73.712	0.174659	0.297177	0.540297	0.609101	82	85	45	86	68.95	68.98	56.07	100.84	6.11	6.11	5.82	6.65
ACE2	2.46001	-0.496637	0.968217	0.326824	0.398144	4	5	1	1	3.36	4.06	1.25	1.17	1.54	1.73	0.75	0.71
ACER2	12.7554	0.471372	0.591725	0.333091	0.404094	11	13	10	16	9.25	10.55	12.46	18.76	3.26	3.43	3.64	4.16
ACER3	86.1304	0.606638	0.258996	0.0152779	0.0249665	82	81	79	95	68.95	65.74	98.44	111.39	6.11	6.05	6.62	6.79
ACHE	276.989	4.14449	0.218367	6.10541e-81	1.00211e-79	40	31	411	458	33.64	25.16	512.15	537.01	5.11	4.7	8.99	9.06
ACIN1	1303.56	-0.717483	0.0780645	2.93768e-20	1.47523e-19	1905	2025	784	846	1601.91	1643.43	976.94	991.95	10.65	10.68	9.93	9.95
ACLY	1364.83	-1.18983	0.0786971	5.96069e-52	6.33089e-51	2252	2348	650	725	1893.7	1905.56	809.97	850.07	10.89	10.9	9.66	9.73
ACMSD	2.91493	0.481706	0.924259	0.35235	0.423506	2	2	2	5	1.68	1.62	2.49	5.86	1	0.97	1.34	2.17
ACN9	50.6227	-1.22837	0.357162	0.000255525	0.000526163	85	90	23	25	71.48	73.04	28.66	29.31	6.14	6.17	4.87	4.9
ACO1	278.323	-0.865293	0.156946	2.3341e-08	6.7105e-08	425	449	142	183	357.38	364.39	176.95	214.57	8.48	8.51	7.47	7.75
ACO2	909.847	1.44727	0.0949802	7.63226e-53	8.24604e-52	576	603	1011	1199	484.36	489.38	1259.81	1405.85	8.92	8.94	10.3	10.46
ACOT1	16.5665	0.455859	0.536425	0.319963	0.391143	12	20	17	16	10.09	16.23	21.18	18.76	3.4	4.02	4.37	4.21
ACOT11	24.6213	0.691799	0.465379	0.0951047	0.133556	24	19	26	26	20.18	15.42	32.4	30.49	4.35	3.99	4.99	4.91
ACOT12	1.42356	-0.0903662	0.913497	0.826445	NA	1	3	1	1	0.84	2.43	1.25	1.17	0.16	0.89	0.39	0.36
ACOT13	117.175	-0.291077	0.230963	0.194829	0.253483	140	174	94	79	117.73	141.21	117.13	92.63	6.88	7.14	6.87	6.54
ACOT2	57.5012	-0.756965	0.322857	0.0132072	0.0218472	83	95	30	39	69.79	77.1	37.38	45.73	6.12	6.26	5.25	5.52
ACOT4	16.5726	1.32592	0.612246	0.0103583	0.0174773	10	10	23	18	8.41	8.12	28.66	21.11	3.16	3.11	4.76	4.35
ACOT6	2.24548	0.640111	1.06568	0.216724	0.278419	1	1	4	2	0.84	0.81	4.98	2.35	0.33	0.31	1.78	1.07
ACOT7	941.223	1.09005	0.0893765	1.76585e-34	1.30843e-33	729	724	1004	1120	613.01	587.58	1251.09	1313.22	9.26	9.2	10.29	10.36
ACOT8	158.692	0.678826	0.193714	0.000351597	0.000714598	141	152	160	165	118.57	123.36	199.38	193.47	6.89	6.95	7.64	7.59
ACOT9	82.6031	-1.32578	0.297929	3.51724e-06	8.62402e-06	135	155	27	49	113.52	125.79	33.64	57.45	6.82	6.96	5.11	5.85
ACOX1	298.082	0.33141	0.143656	0.019818	0.0318053	304	334	266	285	255.63	271.06	331.46	334.17	8	8.08	8.37	8.38
ACOX2	24.387	-0.697986	0.479041	0.0994202	0.139065	31	45	13	16	26.07	36.52	16.2	18.76	4.69	5.15	4.06	4.25
ACOX3	78.2274	0.165282	0.27306	0.531021	0.600419	86	92	56	82	72.32	74.66	69.78	96.15	6.18	6.22	6.13	6.58
ACOXL	3.48885	-0.33968	0.85137	0.504899	0.574213	4	7	3	1	3.36	5.68	3.74	1.17	1.73	2.28	1.83	0.89
ACP1	358.709	-1.00366	0.137682	1.80477e-13	6.90354e-13	555	608	189	204	466.7	493.43	235.51	239.19	8.86	8.94	7.88	7.91
ACP2	272.739	0.371391	0.151508	0.013201	0.0218452	293	281	236	275	246.38	228.05	294.08	322.44	7.95	7.83	8.2	8.33
ACP5	54.7312	-3.82684	0.515954	3.1084e-14	1.22865e-13	117	132	7	4	98.38	107.13	8.72	4.69	6.57	6.69	3.27	2.55
ACP6	71.4776	-1.82446	0.325845	5.66635e-09	1.70068e-08	125	148	28	22	105.11	120.11	34.89	25.8	6.7	6.89	5.15	4.74
ACPL2	102.194	-0.440685	0.240028	0.058348	0.0859736	136	151	73	69	114.36	122.55	90.97	80.9	6.83	6.93	6.51	6.34
ACPP	2.6629	-0.576333	0.993697	0.273241	0.340044	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
ACPT	3.35046	-0.110745	0.811084	0.821687	0.855474	3	6	2	3	2.52	4.87	2.49	3.52	1.46	2.11	1.47	1.78
ACR	2.42997	0.494044	0.963201	0.327908	0.398992	1	2	3	3	0.84	1.62	3.74	3.52	0.44	0.88	1.6	1.54
ACRBP	11.0571	0.516723	0.625962	0.303876	0.373428	10	10	10	13	8.41	8.12	12.46	15.24	3.12	3.08	3.61	3.87
ACRC	16.2268	0.867068	0.588171	0.0776271	0.111342	12	13	12	25	10.09	10.55	14.95	29.31	3.39	3.45	3.9	4.79
ACRV1	5.35252	0.33202	0.765216	0.527594	0.597005	6	4	3	8	5.05	3.25	3.74	9.38	2.33	1.86	2.02	3.03
ACSBG1	190.619	4.58976	0.289299	3.17511e-57	3.72645e-56	22	14	284	323	18.5	11.36	353.89	378.72	4.27	3.62	8.45	8.55
ACSBG2	3.84246	0.310604	0.816508	0.548069	0.616397	3	4	3	5	2.52	3.25	3.74	5.86	1.52	1.76	1.9	2.36
ACSF2	157.912	-1.01895	0.212881	9.6135e-07	2.46642e-06	254	262	67	104	213.59	212.63	83.49	121.94	7.73	7.73	6.4	6.93
ACSF3	222.109	-0.656145	0.169163	8.20649e-05	0.000177373	324	337	129	155	272.45	273.5	160.75	181.74	8.09	8.09	7.33	7.51
ACSL1	223.528	1.03549	0.169344	5.43557e-10	1.73721e-09	164	188	252	247	137.91	152.57	314.02	289.61	7.11	7.26	8.29	8.17
ACSL3	484.496	-0.406814	0.1171	0.000464715	0.000932193	640	700	340	348	538.17	568.1	423.67	408.04	9.07	9.15	8.73	8.67
ACSL4	305.29	-1.00693	0.149467	9.40565e-12	3.3099e-11	483	508	151	183	406.15	412.28	188.16	214.57	8.66	8.68	7.56	7.75
ACSL5	74.3786	-0.435469	0.28144	0.106458	0.148071	100	109	57	46	84.09	88.46	71.03	53.94	6.39	6.46	6.15	5.77
ACSL6	195.421	6.34785	0.457127	1.33335e-43	1.21406e-42	4	7	318	321	3.36	5.68	396.26	376.38	2.17	2.73	8.61	8.53
ACSM1	5.85158	-1.50304	1.1479	0.0416722	0.0631199	9	15	2	1	7.57	12.17	2.49	1.17	2.77	3.35	1.59	1.01
