PC1	PC2	PC3	PC4
CA10	-0.0286368737345901	0.000754378769860556	0.0102524694119253	-0.00522009237596714
HRNBP3	-0.0285063641011074	-0.00154903550683816	0.028024088477978	0.000319430171880103
CDR1	-0.0285369259862013	0.000436379048670182	-0.00532753313712834	-0.0107018260157766
NEFM	-0.0285268165492216	0.000557566547269261	0.00451797929830653	0.0110989081838315
GRIA2	-0.0285085513595341	-0.00394050808675344	0.0067032083195472	0.00630487741481719
PSD2	-0.0284622140271947	-0.00179050991440854	-0.0136444085656552	0.000532793479287203
SEPT4	-0.0284533690541179	0.000658327736512895	0.0154669561869107	0.000615128498638427
ITGB7	0.0284684688199045	-0.00167277548250133	0.000589994633986931	0.00528761834196875
PTPN5	-0.0284254939509367	0.00188410937340598	-0.00063727987690944	-0.0107964028204282
TMEM130	-0.0283924903824009	0.000394523249989075	-0.000845892390508058	-0.00514355559724918
CELF4	-0.0283569826578165	-0.000130792838974958	-0.0147397476864416	0.000213955479063776
CDH22	-0.0283621880466942	-0.00281318261139999	0.00492155179194667	-0.00527612203264585
CADM2	-0.028332845028432	0.00106224323137071	-0.00797800419526514	0.00559538524528093
NRXN1	-0.0283339387671231	-0.00108781616639582	-0.000729966393655128	-0.00506896440694272
SYN2	-0.0282644565201839	-0.00158035032216516	0.0105993135265406	8.14667226760068e-05
AMBP	0.0282699164880317	4.26274745035465e-05	0.000609383221472257	0.00529274997817937
SLC6A7	-0.0282637517050076	0.00136031206003961	-0.000580950156801481	0.00572094498894618
ATP2B3	-0.0281426645335344	-0.00586543715031059	-0.0136823479745194	-0.00495395857217429
TMEM151B	-0.0280011836568783	-0.000597680107014131	-0.00426103320160348	-0.00514139160630373
GRIN1	-0.0279525843705644	-0.000263432025298292	0.00440678622201601	0.0167148338317408
TAGLN3	-0.0278164378181717	0.00238793278492047	0.0106357327547785	0.000435435120367763
TTBK1	-0.0278172914844763	-0.000474473739800452	0.00949235173276285	-0.0160138729622456
CCK	-0.0277967562745962	-0.0024152924281164	-0.000677511754010618	0.0115104049834884
ATP6V1G2	-0.027706445373739	0.000720268057128477	0.0173068344271418	-0.00496210678851061
APOA1	0.027675077709072	-0.0150743940877632	-0.00266457707583977	0.00521268958024982
GRM3	-0.0276958709391671	0.00118222460215632	0.0102557760120152	0.00058530312598835
IGFBP1	0.0277069687915888	-0.00255305161852458	-0.00288708995198453	-0.000353196804469678
SYNPR	-0.0276693017151674	0.000888365164779214	-0.000461053780778615	0.0112724544547421
SYT1	-0.0276381931932603	0.000332789609920521	0.000767677345046368	-0.00508244708605233
SNCB	-0.0276136349556357	-1.6255844405999e-05	-0.00193981195418551	-0.0104590296505713
DLK1	0.0275591285268131	-0.00297444948969336	0.00229949282955948	-0.0110979853176921
OPCML	-0.0274758469776698	8.93278015957752e-05	0.0207360788893507	-0.00719374645852302
NRXN3	-0.0274949147027014	-0.000816899747688017	-0.000700662136339849	0.000533328623087785
GPC3	0.0274229137491014	-0.0138846380560711	0.000685074802367942	0.0052234876364865
HBB	-0.0274015712454377	-0.00217931062689367	-0.000489634093298469	-0.0103615044148233
LOC157627	-0.0273430368357244	0.000314059703553094	-0.0086702724144253	-0.0049816685686951
SRRM4	-0.0273290095012924	-0.000957885659342113	-0.000702082323108165	0.0112830813837558
SLC8A2	-0.0272944649821981	0.000168021175007401	-0.0112039412581516	-0.0101723018823569
DHRS2	0.0272883207200327	0.00308206615059446	0.00166484775300069	0.00510184148189054
SYP	-0.0272829912921096	0.000490200489825466	0.00121144978399824	-0.0105263609762373
SYN1	-0.0272742045830497	0.000795004935204955	0.00455234170370407	0.00598282550114697
UNC5A	-0.0272496934258397	-0.00165182344717407	0.00788941349148882	0.000685910480632566
TBR1	-0.0272312685498484	-0.00475982257328125	-0.000513637558432561	0.00576903391694317
APOA2	0.0272053463451372	-0.0109765675626993	0.0010143910332737	-0.00564253199169147
SEZ6	-0.0272089236646764	-0.00158287926187065	-0.000707950657356659	-0.0050369924492732
ERMN	-0.0271670897594299	-0.00147977219362803	0.00948259513047559	0.000592632806418481
KCNT1	-0.0271199901441623	0.00178311950427183	0.0140239769725863	0.000503818278602102
CRYAB	-0.027140858303294	0.00158341582822076	-0.00516278547658691	0.000404079146594484
GATA3	0.0270793639964002	-0.0166451633732419	-0.0027651015026555	-0.00821712606941231
A2BP1	-0.0270900177537161	0.0028352902335315	0.00314988456725655	-0.0049593540345138
TOP2A	0.0270528984195931	0.0134958904990212	-0.000748811363736239	-0.00646320079328247
CBLN3	-0.0270431881849549	0.000988361291724494	0.00403152793239868	0.00601278499175129
WSCD2	-0.0268440700502454	0.00115229744066923	-0.0335503643280604	0.00326328248465603
TMEM151A	-0.0270070976440458	-0.000208055252851457	0.00556178712982864	0.00613010424186732
CHGB	-0.0269721375645175	0.00134615716300795	0.00619641942694141	0.00602742569076625
FAM123A	-0.0269761723531915	0.000104235653811511	-0.000654760935521137	-0.00496012127008643
SCN2A	-0.0269366339594531	0.00264622945878465	0.00648932710155262	-0.015877545160811
UNC80	-0.0269062760669634	-0.00137484645553075	0.00948338518414199	-0.010417410628952
GNG3	-0.0268607248987878	0.00118722220001193	-0.00346082133980919	-0.00502265711913675
C1orf61	-0.0267358595505664	-0.000214282597684723	-0.0243451093754051	-0.0127583055714262
CALY	-0.0267999665232429	-0.00362517252641491	0.0116044311270141	-0.0153120187892768
CALN1	-0.0265383686623169	0.00233327907711014	0.0291042746198226	0.00150768727042915
DPP6	-0.0266641191840805	0.000333569456449923	0.00824963564513027	-0.0100332691154997
TPPP	-0.0266293784994764	-0.000665375032197438	0.0158925711573586	0.0169416180489153
APBA1	-0.0265556714362923	0.0016269964036653	0.0202984076086868	-0.00767774669997018
CYP46A1	-0.0265811447576119	-0.000532190499927481	-0.000599635725653568	0.0115242385127966
FGF1	-0.0264456990180162	-0.00065844967252907	0.0269965401372524	0.00954536680503124
NCAN	-0.0265300552875894	0.00158570402783179	0.0140217399815739	-0.0102811035873419
PSD	-0.0265450347167394	0.000667301164374505	0.00404048334728465	0.000483602241506831
SPHKAP	-0.026528253371342	0.00111589857793786	0.0102543511769814	0.000635050279749496
GRIN2C	-0.0265125134882652	-0.00504837726038462	0.00894148071970424	-0.00738890632111708
DCT	0.0265016978072267	0.0111975600790502	-0.00153456268989691	-0.00628008735436815
SHANK1	-0.0264498721093979	-0.000204543841426767	-0.0138637668949292	-0.0102865059822136
TTC9B	-0.026403599735432	-0.0041203607042468	0.00670008169578095	0.0118054768318767
MGC29506	0.0263782475080189	-0.0123418629657928	0.000746287465168459	-0.00310368840187966
MAPK10	-0.0264073231428442	-2.11191955673238e-05	-0.00458820157668445	0.000439369363231165
LIN28A	0.026348834193893	2.3831483913746e-05	0.00200282051419809	0.00481797595119079
CLDN5	-0.0263312463576549	-0.00258625248585032	0.00767608654124781	-0.0100623108370788
ATP1B2	-0.0263314706445815	0.000612949166646971	0.00163827269818303	0.0113288113696057
KIF5A	-0.0262805111304842	-0.000384982783624533	0.00220831262278349	-0.0104070054671968
CHD5	-0.0262731898130945	7.07090007869464e-06	-0.000922256500199347	0.00606394788184989
OPALIN	-0.0261954305948665	-0.00172985478929582	-0.000610989174580355	-0.00451503401737708
NEFL	-0.0261847762002778	0.000534299620207877	0.00197574830191021	0.00073011467175804
GRM4	-0.0261750748967149	-0.00047080493660289	-0.00518247006608703	0.000706424328199588
SLC6A17	-0.0261447203505576	0.000773945398459337	0.00163655443095127	0.000603824943303842
SPTBN4	-0.0260865620491017	0.000481124886474564	0.00142700832420619	-0.0101216017072806
GPR123	-0.0260131673707614	-0.00522347731606744	-0.000643452687205543	0.00124023831431489
C1QC	-0.0259802890628935	-0.00336239222683888	-0.000501571777419908	-0.0101265421394648
TUBB4	-0.0259321011565155	0.000533464366748989	0.00143663329058406	-0.00472976700393712
SVOP	-0.0257724626488753	-0.000311785621735684	0.0297119356660417	-0.00928211629727236
IGF2BP1	0.0258869499886476	0.0135317453268128	0.000308496324290279	0.00456527885104781
NMNAT2	-0.0258829607261882	0.000981499291315676	0.0102706222708418	-0.00452098622182183
CPLX1	-0.0258847198552036	-0.00142553788520901	0.000797635750823672	0.000760605567730048
CPNE6	-0.025789301919843	-0.00106880788932328	0.00672790019671008	0.0116576253966827
CADM3	-0.0256980310311817	8.65953658444147e-05	0.0111733496374818	-0.0155377115065346
PHACTR3	-0.0256905194407247	-0.00159317232187484	-0.000610074709141245	0.00358297303249704
FXYD7	-0.0256519430018388	-0.000765202299854158	-0.0113165292007953	-0.00461170096445939
C1QB	-0.0256690903147434	-0.00127021118725777	-0.000482422705002396	0.00104673441584868
NRXN2	-0.0256378742528085	-9.02912873484201e-05	-0.00287190635979054	0.00349575468516959
PRKCG	-0.0256214674860028	-0.00179733446629012	-0.00819928595878667	-0.00979551723943538
KCND2	-0.0256191215327467	0.000634009740402127	0.00674354326465799	0.00628631755561591
SCN3B	-0.0255951533124437	0.00238050572182993	0.00648593589398121	0.00904752673381354
HBZ	0.0255675296969067	0.012560863760684	0.00201206918580465	0.00387165724053
ATP1A2	-0.0255841341411522	0.000366679052317859	0.00415904487121476	-0.0182279082014618
GABBR2	-0.0255764482896297	-0.00154761973586461	-0.00605464957088987	-0.00476868154527661
CNDP1	-0.0255126259684734	-0.0062293859656014	-0.0136875432686826	-0.00480427419686404
HHATL	-0.0255458006793972	0.00128128290468722	-0.00628494877644553	0.00619032467736594
DNM3	-0.0255458082080759	-0.000126593657183474	-0.00076517802341043	0.00908688430185854
GABRA6	-0.0255092895975988	-0.00225938979059571	-0.0113304584568444	-0.00445162781379472
TFF1	0.0253906673010245	0.0107484736657717	-0.00431102657577878	-0.00613332020040153
MLC1	-0.0253586326274768	-0.00150886397896106	0.0174352850948556	0.00700607742552984
RIPK4	0.0253744021295926	-0.00695935005667361	-0.00274497660715676	-0.000728846129092931
SULT4A1	-0.0253058106883078	-0.0009129384530892	-0.013545578401586	0.000816590573573281
PADI2	-0.0252812186842434	-0.00214156762194669	0.00730421058586686	0.00357936546390747
ACTL6B	-0.0252258974559414	-0.00169950074652159	-0.0187198160520346	-0.0020956888429328
VSNL1	-0.0252809049956641	0.000434818142605302	-0.000529364488527709	0.00898388129791971
PACSIN1	-0.0252634351982824	-0.000396569964173365	0.00531430986919991	0.0225302322844315
LY6H	-0.0251081353394062	-0.00584847745723951	0.0168350715843457	0.00726595647707915
ST8SIA3	-0.0251399054931884	-0.00196697741222339	-0.000740322188003731	0.0120234364302636
KIAA1045	-0.0250966571445678	-0.00137980706595391	-0.0116325574484995	-0.00215009071129355
RASGRF1	-0.0250944983856234	-0.00074775005767948	-0.000957543250273587	-0.00451773129045881
BSN	-0.0250357251641979	-0.000252570631905754	-0.00448668706814631	0.00359082531249582
ZIC4	-0.0250000107304929	-0.00385234087671361	0.012882203156228	-0.0149302451283221
CACNA1A	-0.0250273428200807	-0.0019538756394739	0.00357363535512318	0.00358376837580222
IGJ	0.0249327976661384	-0.0162569185676532	-3.2487053315341e-05	-0.00586869973937989
PPP1R1B	-0.0249710761294494	-0.00191396082805066	-0.00605846085677563	-0.00738590504686612
HBG2	0.0248553521491884	0.0107148998299893	0.00299939819442914	-0.00384683370835375
DLG2	-0.0248547221078554	-0.0020778217710142	-0.00820241465834779	0.000724414388908207
GALNT9	-0.0248306268235617	-0.000736795627204435	0.00953288970485765	0.000885950427717861
ATP1A3	-0.0248156751990642	-0.000181267152211891	-0.00283447332220613	0.0118198862466306
CHRM1	-0.0246665667196609	-0.00153124887229451	-0.022088326111367	0.0118494022788797
GABRG2	-0.0246330130932452	-0.0055065516523694	-0.022125144770437	-0.00424073518089121
RRM2	0.0245973081565719	0.0206062961642348	0.00414329066254815	0.00991787204905078
FAM123C	-0.0246710526278373	-0.000863399951026396	0.0102347409685161	0.00400160673408944
TCEAL2	-0.0246556919521677	-0.000311296182252146	0.0133360689895652	0.00123587145812056
KIF5C	-0.0246294315519013	0.000912397958671031	-0.00644792003800844	-0.00198979784415261
DUSP26	-0.0246113454672811	-0.000274723125607379	-0.00459179625621934	0.000688796301578553
CDK5R2	-0.024597796816379	-0.00022901460229224	-0.00551162784794723	-0.00716902152813529
MBP	-0.0245941178329227	0.000110742958179289	0.000360291811656307	-0.00178044677687458
PTPRT	-0.0245767314243908	0.000322699997854217	-0.00913582186978918	-0.00719606069666925
KRT18	0.0245446459379237	-0.0128852164006647	-0.00229752211303874	-0.000632917125807064
ST18	-0.0245268107320495	-0.00384059103872791	-0.000507007435300776	-0.0125856000093206
FGA	0.0244270787432698	-0.0122705856314134	0.000977617394308321	0.00743328951064403
CLDN11	-0.0244113006930091	-0.000498354279315567	0.012048260574516	0.0036142010557452
ANKS1B	-0.0244237482022064	0.000278038003614931	0.00494742880752286	-0.0098977548630926
PRR18	-0.0243759187031623	-0.00245324014279252	0.0067141042992209	0.0117212090391999
C16orf11	-0.0243540483899349	-0.00275826079053444	-0.0111746612967871	0.0144815240357219
GRIA3	-0.0243438827212701	-0.00110060352802296	-0.000606450750917495	0.0119346690477422
JPH4	-0.0243059603362369	0.000407584481734156	-0.00379810613397604	0.0146621473923235
CRYM	-0.0241479065602151	-0.00250697662126101	0.0222961456305593	-0.00725078428409993
ESPL1	0.0241556497088232	-0.00694958136577596	0.0021399212569964	0.00461829809232789
MDGA1	-0.0241512363789575	-0.000730831561424809	0.00103353770158376	0.00113639398843527
DLGAP3	-0.024016638370796	-0.00026501306437448	-0.0252854302306464	-0.00206587322050954
ABCC8	-0.0241314038280054	0.00149019500890292	-0.000681643686532274	0.00637721064779362
PMP2	-0.0241119874681392	0.000761468143081255	0.00495168691024059	-0.00157249304386981
VWF	-0.0240977461769584	-0.0014294277139745	-0.00393225728818674	-0.00151600167316248
AGAP2	-0.0240721856566299	0.000661629716074151	0.00624188663714568	0.0201776088462074
NXPH3	-0.0239918928698516	0.00131780389768872	0.0187707829343523	0.00942492483470503
CSDC2	-0.0240329526999634	-0.00142623718291933	0.00187721554951545	-0.00435911940371243
AMPH	-0.0240120309266304	0.00138532668883443	0.00791527672825625	-0.00968622689451956
LYNX1	-0.0239849331489103	0.00131411036896833	0.00702729626559592	-0.00716180167353232
NRGN	-0.0239412606181935	-0.000227748204027946	0.00943422765189495	0.00923269469977461
KCNC2	-0.0239372660989012	-0.00845135745621875	-0.000550094079659946	0.00682347981546621
HAPLN2	-0.0239207291324332	-0.000280332599616647	0.000965479166930117	0.00380539549204392
TMEM178	-0.0239039459617251	0.000982594130605799	-0.0064430212566372	0.0117647529630924
NTM	-0.0238331337660215	-0.00117782488848661	-0.00671626252619106	0.00916256132710127
KRT80	0.0238078061471596	0.00725495264355413	0.00183551667211527	0.00165663749074817
KIFC1	0.0237777043185732	0.000272051504799261	-0.000450681989054981	-0.00398451172651198
APC2	-0.0237767470732689	0.000281885488924104	0.00117323176415554	0.0038539626741228
TNR	-0.0237150997658358	0.0049021711640285	-0.0112654172158151	0.00644849746016293
GRM1	-0.0236862346001462	-0.00382752445979128	0.0123032586619816	-0.00448978052310718
CACNG3	-0.0236836532876066	0.00244608315371317	-0.0112881725774231	-0.00722161411606226
GDF15	0.023703791794789	-0.000692575567515104	-0.00310478386297233	0.00147770050085482
HBG1	0.0236984588893022	-6.47706450431643e-05	0.00422054150264184	0.00720019665323892
C1orf173	-0.0236750695906575	-0.00323025097792382	0.0102121417030432	-0.00693043497712657
ATCAY	-0.0236820227179443	0.0001814414441228	-0.00298548234186731	-0.00149130447428113
FAM131B	-0.0236553952695058	-0.000561424363958861	0.00696600988659994	-0.00170152171800494
MUC16	0.0235205512970983	-0.0230797837895203	0.00494918896466095	-0.00349877301500528
PPP2R2C	-0.02363697059808	-0.00147903294818292	-0.00853164729185236	0.001128653849277
LYZ	0.0236030083897115	-0.00767097517112113	0.000589530511750033	0.00447744566639767
NRSN1	-0.0234103021445444	-0.00375241640087679	-0.0187400787643553	0.000920765960049428
STX1B	-0.0234717730750122	-0.000366763064595147	0.00560869492356214	-0.0178782154315834
LOC150622	-0.023476625499434	-0.000328383939220849	-0.000475227851927298	0.00105546323129186
SYT11	-0.0234549664222135	0.000616915517576321	0.000679169244314578	-0.020622606444572
CARNS1	-0.0234536060501403	-0.00061081907379892	-0.00244833561918466	0.00118971171473521
APOD	-0.023446838855976	0.00167887313004152	0.00353662731870867	-0.0014743530238894
C11orf87	-0.0233501100639327	-0.000869448646241609	-0.0187134358527586	-0.00171905359107909
KIF2C	0.0234084794489793	-0.00400111516656877	-0.00261212411111117	0.00714439013891817
KIF20A	0.0233603211653118	0.00727625588106841	0.00121251176524492	0.00697464450906387
AK5	-0.0233441073623733	-0.000651836550416974	-0.00700385223116382	0.00925800422995688
KNDC1	-0.0233313170413152	-9.73145867781692e-05	-0.00495748270402915	0.0119851679500662
SERPINE1	0.0233084356883359	0.00414908234273362	0.00166596477956781	0.00692550490772062
PITX1	0.0232090728080559	0.0179539008739313	-0.00280723348581451	-0.00542316244600338
IGF2	0.0232716222578604	-0.00816796027752049	-0.000595560370394167	0.0125555050504551
VSTM2B	-0.0232666596021891	-0.000124507759269423	0.0102406047808763	0.00666913144202112
APOH	0.0232664734696466	-0.0069070721412027	0.000877620409280999	-0.00917763514457641
CHL1	-0.023138459375784	0.00232286013935066	-0.0223592380011706	-0.00717692625262564
SLC1A3	-0.023216088079451	-0.000179736726772506	0.00957430327879092	0.00103736373842957
HJURP	0.0232023540135488	-0.010655104739329	-0.00036671659506717	0.004320499638441
TCEAL5	-0.0232181680911649	0.00020564558921609	-0.000470464382165441	-0.00142968325230032
UNC13C	-0.0231540149854425	-0.00138215257748271	-0.000758656090958028	0.00390471652225405
CPS1	0.0231254896552433	-0.00212066493761202	-0.000446919264105672	-0.00392227877677456
ABLIM2	-0.0231061146400896	0.000645571988778559	0.00657743721553695	0.00114145776162934
SOX2OT	-0.0230634209394032	-0.00381416263616636	-0.0145266300707634	-0.00669274817971042
DLGAP1	-0.0230370587963025	-0.00184326937358668	-0.0175816290268455	0.00346255617248898
CCNB2	0.0230918284254176	2.57502692537852e-06	-0.00187089880430793	-0.00125767422818876
CBLN1	-0.0230682320681645	0.00127136218705841	-0.00397150985961745	0.0037648301621397
MFSD4	-0.0230105670691094	-0.00264964681595228	-0.0145158880335831	0.00151523627703969
BPIL1	0.0229881908930222	0.010782133778382	0.00335369828808173	-0.00427198596426803
CDC20	0.0229936086168619	-0.00814248101167995	0.00138786465160929	0.0017887365118088
ASTN1	-0.0229866571460477	0.000121034871761254	-0.00367698751455193	-0.00142809719314511
FGG	0.0228264330118631	-0.0177127219163563	0.00198543607729367	-0.0120715711677836
F2	0.0228836667870731	-0.0093788512045914	0.000708620171691321	0.00412773230177463
TROAP	0.0227758959369246	-0.0106382270635626	-0.000493330891536951	0.00968142379424135
SPOCK2	-0.0227338267136431	-0.000437034092404001	0.0121026044388851	-0.0096789188653154
ENHO	-0.0227133764182201	-0.00193169317244022	0.0120104045767372	-0.0120976560692395
VSTM2L	-0.0226455089311656	-0.000112300282771571	-0.00357708242200778	-0.00136550227032523
CNTN1	-0.0225919196060973	0.000128593708220858	0.0160613234325151	-0.00405046517929941
C1QTNF4	-0.0226250060703382	-0.000885547820043354	0.00212012315482003	0.00699222810052878
NOTUM	0.0223697213037272	-0.0307744573715584	-0.00152377692973146	-0.000521288720288377
FST	0.0225919336425564	0.00729133201959562	0.00307595848708564	0.00925719518621098
SLC1A2	-0.0225990848633093	-0.0006127558983602	0.00586640724629681	0.020412474567018
C1QA	-0.022559734278607	-0.0108583485106534	-0.000573329870219284	0.0019087535823142
HCN1	-0.0225695182899841	-0.00240683307716562	0.00671327927923447	0.00134339699374022
KCNJ4	-0.0225609923729981	-0.00252297734360746	-0.00253382957187282	0.00688273812905796
SPOCK3	-0.0225282952976461	0.00477951586223971	0.00498777802250572	-0.0069583062730059
HOPX	-0.0224989396221157	0.000319953395755086	-0.0136290156960983	0.0064822317258611
BAALC	-0.0225183852584961	0.00185116970112269	-0.00435537036738144	0.00667777804716798
PLCH2	-0.0224900245819246	-0.0018107279211687	0.00585215739272907	-0.0068266621848589
MPPED1	-0.0224894997852733	0.000331983462670892	0.00487639741426184	-0.00136287873127642
VWA5B2	-0.0224733691793761	0.00254829834644392	0.00489690039586996	0.00677921922291652
SRCIN1	-0.0224740486488759	-0.000129614807270078	0.00251261680359854	0.00407521498815024
BHLHE22	-0.0224616730075664	-0.00651759145013461	-0.000657897540921965	-0.00136217151865441
KIF1A	-0.0224631277136907	0.000429400226467089	-0.00347195183805962	-0.0150138708466889
CENPF	0.0224299725041872	0.0108726410540051	0.000845231357470783	0.00385241666349371
APLP1	-0.022458980342166	-0.00130059238034093	0.00117773883691447	0.0204671426817371
ASF1B	0.0223509225570242	-0.0164699606371777	-0.00254141448422093	0.00961828471221146
MYC	0.0224154278262599	0.000108828244651197	-0.000934170099089661	-0.00143502192178054
PTPRN	-0.0224009583933129	0.00220432691408455	0.00349972013364951	0.0121805051260522
CDC45	0.0223224296315357	0.012721998906065	-0.00341254114129452	0.0065544263248445
MYB	0.0223395477343472	0.00728515713455597	0.00520575566264869	0.00920025432774168
JPH3	-0.0223183938574971	-0.000896618996668243	0.00500473448332119	-0.00144107355275623
IGSF21	-0.0222921700814444	0.000520075437185778	0.002977215232229	-0.00402665962833322
PLEKHB1	-0.0222769268018821	0.000848316760317703	0.00779510169984204	0.00951635864588083
TYR	0.0220858466624189	0.0276992682700319	-0.000557599068154073	-0.0101216720091438
KCNH3	-0.0222393540736503	-0.000950384521022374	-0.00498330025000643	0.00697984939190626
SLC4A10	-0.0221367695148558	-0.00715613160009021	0.020665306959464	-0.0039782231840829
ZBTB16	-0.0222302587663098	-0.00026260748210006	-0.00411003865336657	0.00405143976997693
