Gene	length
ENSMUSG00000000441	745
ENSMUSG00000000486	751
ENSMUSG00000000489	2918
ENSMUSG00000000530	1818
ENSMUSG00000000531	2013
ENSMUSG00000000532	4413
ENSMUSG00000000538	3013
ENSMUSG00000000544	1507
ENSMUSG00000000552	2291
ENSMUSG00000000555	4398
ENSMUSG00000000560	2436
ENSMUSG00000000561	1095
ENSMUSG00000000562	1663
ENSMUSG00000000563	888
ENSMUSG00000000567	4135
ENSMUSG00000000568	1104
ENSMUSG00000000579	1632
ENSMUSG00000000581	625
ENSMUSG00000000594	4127
ENSMUSG00000000600	3334
ENSMUSG00000000605	2280
ENSMUSG00000000606	2773
ENSMUSG00000000617	3798
ENSMUSG00000000627	1839
ENSMUSG00000000628	1693
ENSMUSG00000000631	5416
ENSMUSG00000000632	3226
ENSMUSG00000000673	1222
ENSMUSG00000000682	506
ENSMUSG00000000686	591
ENSMUSG00000000690	1642
ENSMUSG00000000693	617
ENSMUSG00000000701	1039
ENSMUSG00000000706	2250
ENSMUSG00000000708	450
ENSMUSG00000000711	3166
ENSMUSG00000000724	1078
ENSMUSG00000000730	1366
ENSMUSG00000000731	1724
ENSMUSG00000000732	2756
ENSMUSG00000000738	845
ENSMUSG00000000739	711
ENSMUSG00000000740	780
ENSMUSG00000000743	1051
ENSMUSG00000000751	2040
ENSMUSG00000000753	738
ENSMUSG00000000759	2018
ENSMUSG00000000766	1440
ENSMUSG00000000776	2033
ENSMUSG00000000782	2106
ENSMUSG00000000787	802
ENSMUSG00000000791	1216
ENSMUSG00000000792	2928
ENSMUSG00000000794	5599
ENSMUSG00000000804	566
ENSMUSG00000000805	604
ENSMUSG00000000811	2665
ENSMUSG00000000817	1172
ENSMUSG00000000823	694
ENSMUSG00000000826	2299
ENSMUSG00000000827	877
ENSMUSG00000000838	2870
ENSMUSG00000000861	2695
ENSMUSG00000000869	566
ENSMUSG00000000876	1674
ENSMUSG00000000881	4288
ENSMUSG00000000884	637
ENSMUSG00000000889	1378
ENSMUSG00000000901	792
ENSMUSG00000000902	1641
ENSMUSG00000000903	677
ENSMUSG00000000915	817
ENSMUSG00000000916	729
ENSMUSG00000000934	1903
ENSMUSG00000000938	1573
ENSMUSG00000000942	1594
ENSMUSG00000000948	869
ENSMUSG00000000957	726
ENSMUSG00000000958	651
ENSMUSG00000000959	1438
ENSMUSG00000000976	709
ENSMUSG00000000982	766
ENSMUSG00000000983	534
ENSMUSG00000001014	1000
ENSMUSG00000001016	1864
ENSMUSG00000001017	2012
ENSMUSG00000001018	1575
ENSMUSG00000001020	417
ENSMUSG00000001021	712
ENSMUSG00000001023	426
ENSMUSG00000001025	598
ENSMUSG00000001027	3520
ENSMUSG00000001029	574
ENSMUSG00000001034	950
ENSMUSG00000001036	821
ENSMUSG00000001039	628
ENSMUSG00000001052	829
ENSMUSG00000001053	846
ENSMUSG00000001054	1050
ENSMUSG00000001056	934
ENSMUSG00000001062	1937
ENSMUSG00000001065	882
ENSMUSG00000001076	874
ENSMUSG00000001082	811
ENSMUSG00000001089	3775
ENSMUSG00000001095	2412
ENSMUSG00000001098	850
ENSMUSG00000001100	832
ENSMUSG00000001103	1326
ENSMUSG00000001105	909
ENSMUSG00000001119	2512
ENSMUSG00000001120	1095
ENSMUSG00000001123	1297
ENSMUSG00000001127	1497
ENSMUSG00000001128	1018
ENSMUSG00000001131	858
ENSMUSG00000001134	648
ENSMUSG00000001138	1006
ENSMUSG00000001143	1844
ENSMUSG00000001150	6382
ENSMUSG00000001151	9530
ENSMUSG00000001155	1933
ENSMUSG00000001156	1764
ENSMUSG00000001157	1855
ENSMUSG00000001158	854
ENSMUSG00000001166	782
ENSMUSG00000001168	1317
ENSMUSG00000001173	2910
ENSMUSG00000001175	2284
ENSMUSG00000001211	1316
ENSMUSG00000001225	1307
ENSMUSG00000001227	3792
ENSMUSG00000001228	3391
ENSMUSG00000001229	3509
ENSMUSG00000001240	895
ENSMUSG00000001247	2021
ENSMUSG00000001248	831
ENSMUSG00000001249	920
ENSMUSG00000001260	3125
ENSMUSG00000001270	1478
ENSMUSG00000001280	584
ENSMUSG00000001281	1540
ENSMUSG00000001285	766
ENSMUSG00000001288	678
ENSMUSG00000001289	517
ENSMUSG00000001300	2818
ENSMUSG00000001305	2206
ENSMUSG00000001313	1394
ENSMUSG00000001323	2054
ENSMUSG00000001333	2186
ENSMUSG00000001334	2763
ENSMUSG00000001348	1366
ENSMUSG00000001349	868
ENSMUSG00000001366	657
ENSMUSG00000001376	1786
ENSMUSG00000001380	1987
ENSMUSG00000001383	2257
ENSMUSG00000001403	1579
ENSMUSG00000001415	830
ENSMUSG00000001416	1882
ENSMUSG00000001418	954
ENSMUSG00000001419	1767
ENSMUSG00000001420	2058
ENSMUSG00000001424	406
ENSMUSG00000001435	4791
ENSMUSG00000001436	826
ENSMUSG00000001440	779
ENSMUSG00000001441	782
ENSMUSG00000001444	2488
ENSMUSG00000001445	1226
ENSMUSG00000001467	737
ENSMUSG00000001472	1953
ENSMUSG00000001473	1757
ENSMUSG00000001482	730
ENSMUSG00000001493	2228
ENSMUSG00000001494	2066
ENSMUSG00000001496	2526
ENSMUSG00000001497	4166
ENSMUSG00000001504	559
ENSMUSG00000001506	428
ENSMUSG00000001507	2731
ENSMUSG00000001508	1428
ENSMUSG00000001510	2607
ENSMUSG00000001517	1014
ENSMUSG00000001518	1059
ENSMUSG00000001520	1121
ENSMUSG00000001521	1842
ENSMUSG00000001524	779
ENSMUSG00000001525	870
ENSMUSG00000001542	3647
ENSMUSG00000001552	742
ENSMUSG00000001555	853
ENSMUSG00000001558	1474
ENSMUSG00000001566	2132
ENSMUSG00000001569	4875
ENSMUSG00000001576	1009
ENSMUSG00000001583	1798
ENSMUSG00000001588	2284
ENSMUSG00000001604	896
ENSMUSG00000001622	1178
ENSMUSG00000001627	612
ENSMUSG00000001630	2274
ENSMUSG00000001632	4424
ENSMUSG00000001642	1116
ENSMUSG00000001655	2461
ENSMUSG00000001656	2021
ENSMUSG00000001657	2046
ENSMUSG00000001661	896
ENSMUSG00000001663	1037
ENSMUSG00000001665	687
ENSMUSG00000001666	612
ENSMUSG00000001670	1566
ENSMUSG00000001672	1330
ENSMUSG00000001674	567
ENSMUSG00000001687	2001
ENSMUSG00000001700	2605
ENSMUSG00000001707	1032
ENSMUSG00000001729	803
ENSMUSG00000001739	1850
ENSMUSG00000001741	2615
ENSMUSG00000001750	1066
ENSMUSG00000001751	919
ENSMUSG00000001755	1539
ENSMUSG00000001761	3140
ENSMUSG00000001763	1994
ENSMUSG00000001767	680
ENSMUSG00000001768	472
ENSMUSG00000001773	2516
ENSMUSG00000001774	647
ENSMUSG00000001783	1500
ENSMUSG00000001785	2579
ENSMUSG00000001786	1655
ENSMUSG00000001794	1174
ENSMUSG00000001802	2983
ENSMUSG00000001804	3478
ENSMUSG00000001815	2810
ENSMUSG00000001819	2483
ENSMUSG00000001823	2534
ENSMUSG00000001827	747
ENSMUSG00000001829	1170
ENSMUSG00000001833	1989
ENSMUSG00000001844	848
ENSMUSG00000001847	1455
ENSMUSG00000001855	667
ENSMUSG00000001864	566
ENSMUSG00000001865	924
ENSMUSG00000001870	3277
ENSMUSG00000001891	1301
ENSMUSG00000001901	2888
ENSMUSG00000001909	843
ENSMUSG00000001910	4300
ENSMUSG00000001911	1434
ENSMUSG00000001918	733
ENSMUSG00000001924	806
ENSMUSG00000001930	2184
ENSMUSG00000001942	2306
ENSMUSG00000001943	760
ENSMUSG00000001946	586
ENSMUSG00000001948	696
ENSMUSG00000001962	1383
ENSMUSG00000001964	884
ENSMUSG00000001983	1383
ENSMUSG00000001985	8973
ENSMUSG00000001986	3645
ENSMUSG00000001988	2025
ENSMUSG00000001995	6476
ENSMUSG00000001998	2116
ENSMUSG00000001999	772
ENSMUSG00000002006	3798
ENSMUSG00000002007	1248
ENSMUSG00000002010	702
ENSMUSG00000002012	1492
ENSMUSG00000002014	756
ENSMUSG00000002015	1219
ENSMUSG00000002017	663
ENSMUSG00000002020	4015
ENSMUSG00000002028	4208
ENSMUSG00000002031	754
ENSMUSG00000002032	1546
ENSMUSG00000002033	1023
ENSMUSG00000002043	719
ENSMUSG00000002052	5172
ENSMUSG00000002055	640
ENSMUSG00000002057	3214
ENSMUSG00000002058	933
ENSMUSG00000002059	880
ENSMUSG00000002064	964
ENSMUSG00000002068	628
ENSMUSG00000002076	821
ENSMUSG00000002083	683
ENSMUSG00000002100	4154
ENSMUSG00000002102	858
ENSMUSG00000002103	966
ENSMUSG00000002104	1454
ENSMUSG00000002105	861
ENSMUSG00000002107	2200
ENSMUSG00000002108	1705
ENSMUSG00000002109	1698
ENSMUSG00000002111	578
ENSMUSG00000002129	1241
ENSMUSG00000002147	698
ENSMUSG00000002190	3098
ENSMUSG00000002204	603
ENSMUSG00000002205	732
ENSMUSG00000002210	833
ENSMUSG00000002221	736
ENSMUSG00000002222	3086
ENSMUSG00000002227	3460
ENSMUSG00000002228	1066
ENSMUSG00000002233	730
ENSMUSG00000002240	1325
ENSMUSG00000002249	2510
ENSMUSG00000002250	1402
ENSMUSG00000002257	1313
ENSMUSG00000002265	4034
ENSMUSG00000002266	2400
ENSMUSG00000002274	1175
ENSMUSG00000002279	1860
ENSMUSG00000002280	1358
ENSMUSG00000002289	1217
ENSMUSG00000002297	2098
ENSMUSG00000002307	1055
ENSMUSG00000002308	1191
ENSMUSG00000002319	605
ENSMUSG00000002320	2089
ENSMUSG00000002324	608
ENSMUSG00000002325	2401
ENSMUSG00000002326	1543
ENSMUSG00000002329	1733
ENSMUSG00000002332	992
ENSMUSG00000002341	7195
ENSMUSG00000002342	714
ENSMUSG00000002343	936
ENSMUSG00000002345	783
ENSMUSG00000002346	3081
ENSMUSG00000002365	2411
ENSMUSG00000002372	2511
ENSMUSG00000002379	2661
ENSMUSG00000002384	2133
ENSMUSG00000002393	740
ENSMUSG00000002395	874
ENSMUSG00000002396	1895
ENSMUSG00000002409	2523
ENSMUSG00000002413	2253
ENSMUSG00000002416	572
ENSMUSG00000002428	3240
ENSMUSG00000002455	2747
ENSMUSG00000002458	972
ENSMUSG00000002459	883
ENSMUSG00000002475	1888
ENSMUSG00000002477	837
ENSMUSG00000002486	1816
ENSMUSG00000002489	1465
ENSMUSG00000002496	6018
ENSMUSG00000002500	1033
ENSMUSG00000002504	1903
ENSMUSG00000002524	1886
ENSMUSG00000002546	847
ENSMUSG00000002550	798
ENSMUSG00000002565	2824
ENSMUSG00000002578	1352
ENSMUSG00000002580	747
ENSMUSG00000002588	1129
ENSMUSG00000002602	690
ENSMUSG00000002603	700
ENSMUSG00000002608	771
ENSMUSG00000002617	1748
ENSMUSG00000002625	2075
ENSMUSG00000002633	2847
ENSMUSG00000002635	674
ENSMUSG00000002658	1717
ENSMUSG00000002660	1207
ENSMUSG00000002661	736
ENSMUSG00000002664	474
ENSMUSG00000002668	2520
ENSMUSG00000002679	766
ENSMUSG00000002688	3778
ENSMUSG00000002699	1466
ENSMUSG00000002718	848
ENSMUSG00000002728	477
ENSMUSG00000002731	1160
ENSMUSG00000002732	725
ENSMUSG00000002733	1643
ENSMUSG00000002741	1666
ENSMUSG00000002748	3018
ENSMUSG00000002763	2326
ENSMUSG00000002767	991
ENSMUSG00000002768	840
ENSMUSG00000002769	945
ENSMUSG00000002771	5244
ENSMUSG00000002778	832
ENSMUSG00000002781	1502
ENSMUSG00000002791	876
ENSMUSG00000002797	672
ENSMUSG00000002799	4054
ENSMUSG00000002803	2016
ENSMUSG00000002804	793
ENSMUSG00000002808	2386
ENSMUSG00000002812	744
ENSMUSG00000002814	2625
ENSMUSG00000002820	1204
ENSMUSG00000002825	517
ENSMUSG00000002831	5756
ENSMUSG00000002833	2251
ENSMUSG00000002835	3308
ENSMUSG00000002844	1583
ENSMUSG00000002845	692
ENSMUSG00000002846	1126
ENSMUSG00000002847	1972
ENSMUSG00000002870	653
ENSMUSG00000002871	742
ENSMUSG00000002881	1371
ENSMUSG00000002885	1794
ENSMUSG00000002897	4804
ENSMUSG00000002900	2398
ENSMUSG00000002908	2068
ENSMUSG00000002910	855
ENSMUSG00000002930	1757
ENSMUSG00000002944	2692
ENSMUSG00000002948	1568
ENSMUSG00000002949	875
ENSMUSG00000002957	1549
ENSMUSG00000002963	933
ENSMUSG00000002968	790
ENSMUSG00000002980	807
ENSMUSG00000002981	717
ENSMUSG00000002983	2202
ENSMUSG00000002984	1098
ENSMUSG00000002985	817
ENSMUSG00000002992	631
ENSMUSG00000002996	979
ENSMUSG00000002997	3133
ENSMUSG00000003031	2393
ENSMUSG00000003032	859
ENSMUSG00000003033	716
ENSMUSG00000003037	542
ENSMUSG00000003038	711
ENSMUSG00000003039	2976
ENSMUSG00000003051	1901
ENSMUSG00000003053	1783
ENSMUSG00000003062	670
ENSMUSG00000003068	1094
ENSMUSG00000003070	2131
ENSMUSG00000003072	902
ENSMUSG00000003099	657
ENSMUSG00000003119	4242
ENSMUSG00000003123	1956
ENSMUSG00000003131	456
ENSMUSG00000003134	3434
ENSMUSG00000003135	2630
ENSMUSG00000003153	574
ENSMUSG00000003154	4620
ENSMUSG00000003161	1111
ENSMUSG00000003166	3388
ENSMUSG00000003184	774
ENSMUSG00000003190	777
ENSMUSG00000003198	2028
ENSMUSG00000003199	924
ENSMUSG00000003200	2072
ENSMUSG00000003206	1170
ENSMUSG00000003208	1311
ENSMUSG00000003226	9477
ENSMUSG00000003227	3637
ENSMUSG00000003228	3165
ENSMUSG00000003233	2496
ENSMUSG00000003234	845
ENSMUSG00000003235	2004
ENSMUSG00000003269	1512
ENSMUSG00000003271	1218
ENSMUSG00000003273	706
ENSMUSG00000003279	2904
ENSMUSG00000003282	2359
ENSMUSG00000003283	2091
ENSMUSG00000003299	765
ENSMUSG00000003308	2824
ENSMUSG00000003309	1706
ENSMUSG00000003316	3184
ENSMUSG00000003341	4411
ENSMUSG00000003344	1876
ENSMUSG00000003345	2348
ENSMUSG00000003346	1090
ENSMUSG00000003348	2644
ENSMUSG00000003352	2744
ENSMUSG00000003354	1890
ENSMUSG00000003355	731
ENSMUSG00000003360	1943
ENSMUSG00000003363	674
ENSMUSG00000003378	880
ENSMUSG00000003379	1457
ENSMUSG00000003380	591
ENSMUSG00000003382	5127
ENSMUSG00000003402	2012
ENSMUSG00000003410	3037
ENSMUSG00000003411	1066
ENSMUSG00000003418	4214
ENSMUSG00000003420	1058
ENSMUSG00000003421	638
ENSMUSG00000003423	531
ENSMUSG00000003429	504
ENSMUSG00000003435	2562
ENSMUSG00000003436	855
ENSMUSG00000003437	602
ENSMUSG00000003438	540
ENSMUSG00000003444	1281
ENSMUSG00000003452	3998
ENSMUSG00000003458	1804
ENSMUSG00000003464	748
ENSMUSG00000003469	1598
ENSMUSG00000003476	1440
ENSMUSG00000003477	998
ENSMUSG00000003484	603
ENSMUSG00000003500	1776
ENSMUSG00000003505	1245
ENSMUSG00000003518	4084
ENSMUSG00000003526	732
ENSMUSG00000003527	2819
ENSMUSG00000003528	752
ENSMUSG00000003531	926
ENSMUSG00000003534	2284
ENSMUSG00000003541	1131
ENSMUSG00000003545	3629
ENSMUSG00000003546	2322
ENSMUSG00000003549	648
ENSMUSG00000003555	569
ENSMUSG00000003559	1751
ENSMUSG00000003573	866
ENSMUSG00000003575	870
ENSMUSG00000003581	717
ENSMUSG00000003585	1054
ENSMUSG00000003604	791
ENSMUSG00000003617	1224
ENSMUSG00000003623	2746
ENSMUSG00000003644	2296
ENSMUSG00000003657	1256
ENSMUSG00000003660	733
ENSMUSG00000003662	581
ENSMUSG00000003665	2090
ENSMUSG00000003680	1794
ENSMUSG00000003721	518
ENSMUSG00000003731	629
ENSMUSG00000003746	2842
ENSMUSG00000003752	1780
ENSMUSG00000003762	1987
ENSMUSG00000003778	3597
ENSMUSG00000003779	3566
ENSMUSG00000003808	1810
ENSMUSG00000003809	680
ENSMUSG00000003810	822
ENSMUSG00000003812	678
ENSMUSG00000003813	725
ENSMUSG00000003814	898
ENSMUSG00000003824	807
ENSMUSG00000003847	5067
ENSMUSG00000003848	1059
ENSMUSG00000003849	1553
ENSMUSG00000003863	4232
ENSMUSG00000003865	952
ENSMUSG00000003868	655
ENSMUSG00000003872	404
ENSMUSG00000003873	674
ENSMUSG00000003882	3208
ENSMUSG00000003923	779
ENSMUSG00000003929	6639
ENSMUSG00000003934	3183
ENSMUSG00000003948	2166
ENSMUSG00000003949	1686
ENSMUSG00000003955	635
ENSMUSG00000003970	862
ENSMUSG00000003974	3049
ENSMUSG00000003992	880
ENSMUSG00000004018	1065
ENSMUSG00000004031	4094
ENSMUSG00000004032	840
ENSMUSG00000004035	743
ENSMUSG00000004038	1311
ENSMUSG00000004040	749
ENSMUSG00000004043	3605
ENSMUSG00000004044	2074
ENSMUSG00000004054	3801
ENSMUSG00000004056	962
ENSMUSG00000004069	1994
ENSMUSG00000004070	1072
ENSMUSG00000004071	2259
ENSMUSG00000004085	1576
ENSMUSG00000004096	746
ENSMUSG00000004098	5023
ENSMUSG00000004099	5248
ENSMUSG00000004100	1157
ENSMUSG00000004105	2822
ENSMUSG00000004110	5001
ENSMUSG00000004113	3966
ENSMUSG00000004127	2306
ENSMUSG00000004151	1578
ENSMUSG00000004187	3143
ENSMUSG00000004207	2654
ENSMUSG00000004221	1406
ENSMUSG00000004231	3095
ENSMUSG00000004233	1840
ENSMUSG00000004263	769
ENSMUSG00000004264	664
ENSMUSG00000004266	421
ENSMUSG00000004267	736
ENSMUSG00000004268	976
ENSMUSG00000004270	732
ENSMUSG00000004285	703
ENSMUSG00000004296	1902
ENSMUSG00000004317	3052
ENSMUSG00000004319	3934
ENSMUSG00000004328	1334
ENSMUSG00000004341	860
ENSMUSG00000004344	1652
ENSMUSG00000004347	3108
ENSMUSG00000004356	8831
ENSMUSG00000004359	1560
ENSMUSG00000004360	3309
ENSMUSG00000004364	640
ENSMUSG00000004366	599
ENSMUSG00000004371	1470
ENSMUSG00000004383	4158
ENSMUSG00000004393	692
ENSMUSG00000004394	886
ENSMUSG00000004415	899
ENSMUSG00000004446	563
ENSMUSG00000004451	2289
ENSMUSG00000004455	982
ENSMUSG00000004460	1628
ENSMUSG00000004462	2702
ENSMUSG00000004473	2978
ENSMUSG00000004500	4312
ENSMUSG00000004508	4116
ENSMUSG00000004530	748
ENSMUSG00000004535	936
ENSMUSG00000004540	2100
ENSMUSG00000004542	1608
ENSMUSG00000004552	1837
ENSMUSG00000004558	2136
ENSMUSG00000004561	865
ENSMUSG00000004562	824
ENSMUSG00000004565	606
ENSMUSG00000004567	621
ENSMUSG00000004568	2506
ENSMUSG00000004591	2741
ENSMUSG00000004609	1876
ENSMUSG00000004610	551
ENSMUSG00000004612	686
ENSMUSG00000004613	884
ENSMUSG00000004626	605
ENSMUSG00000004630	524
ENSMUSG00000004631	1696
ENSMUSG00000004633	825
ENSMUSG00000004637	1715
ENSMUSG00000004642	1128
ENSMUSG00000004651	2333
ENSMUSG00000004654	1550
ENSMUSG00000004655	2627
ENSMUSG00000004661	1956
ENSMUSG00000004665	1693
ENSMUSG00000004667	1148
ENSMUSG00000004668	3956
ENSMUSG00000004677	6699
ENSMUSG00000004698	3138
ENSMUSG00000004707	2155
ENSMUSG00000004709	2298
ENSMUSG00000004730	3184
ENSMUSG00000004748	910
ENSMUSG00000004768	2006
ENSMUSG00000004771	595
ENSMUSG00000004788	793
ENSMUSG00000004789	2767
ENSMUSG00000004791	1582
ENSMUSG00000004798	3151
ENSMUSG00000004814	928
ENSMUSG00000004815	4529
ENSMUSG00000004821	763
ENSMUSG00000004837	919
ENSMUSG00000004842	1310
ENSMUSG00000004843	1838
ENSMUSG00000004846	1647
ENSMUSG00000004849	683
ENSMUSG00000004864	1112
ENSMUSG00000004865	930
ENSMUSG00000004872	3271
ENSMUSG00000004880	627
ENSMUSG00000004885	794
ENSMUSG00000004891	5958
ENSMUSG00000004892	1020
ENSMUSG00000004894	1184
ENSMUSG00000004895	2099
ENSMUSG00000004896	2056
ENSMUSG00000004897	672
ENSMUSG00000004902	1911
ENSMUSG00000004929	935
ENSMUSG00000004931	2106
ENSMUSG00000004933	1841
ENSMUSG00000004934	988
ENSMUSG00000004936	766
ENSMUSG00000004937	1969
ENSMUSG00000004939	1840
ENSMUSG00000004945	822
ENSMUSG00000004947	2545
ENSMUSG00000004948	1028
ENSMUSG00000004951	916
ENSMUSG00000004952	2660
ENSMUSG00000004961	444
ENSMUSG00000004980	1554
ENSMUSG00000004988	586
ENSMUSG00000004994	736
ENSMUSG00000004996	804
ENSMUSG00000005034	3736
ENSMUSG00000005043	2838
ENSMUSG00000005045	9122
ENSMUSG00000005054	599
ENSMUSG00000005057	2296
ENSMUSG00000005069	3062
ENSMUSG00000005078	721
ENSMUSG00000005087	1981
ENSMUSG00000005089	538
ENSMUSG00000005102	4906
ENSMUSG00000005103	682
ENSMUSG00000005107	2098
ENSMUSG00000005124	1336
ENSMUSG00000005125	591
ENSMUSG00000005131	1146
ENSMUSG00000005142	2080
ENSMUSG00000005148	1721
ENSMUSG00000005150	870
ENSMUSG00000005161	1084
ENSMUSG00000005198	3244
ENSMUSG00000005202	998
ENSMUSG00000005204	693
ENSMUSG00000005220	2943
ENSMUSG00000005225	4288
ENSMUSG00000005232	1143
ENSMUSG00000005233	1162
ENSMUSG00000005237	1770
ENSMUSG00000005251	3642
ENSMUSG00000005262	820
ENSMUSG00000005267	2812
ENSMUSG00000005268	1244
ENSMUSG00000005299	1612
ENSMUSG00000005312	3644
ENSMUSG00000005320	590
ENSMUSG00000005338	2518
ENSMUSG00000005339	912
ENSMUSG00000005354	648
ENSMUSG00000005355	2329
ENSMUSG00000005357	2089
ENSMUSG00000005360	1108
ENSMUSG00000005362	2084
ENSMUSG00000005364	2271
ENSMUSG00000005370	4254
ENSMUSG00000005371	2888
ENSMUSG00000005373	2508
ENSMUSG00000005374	840
ENSMUSG00000005378	806
ENSMUSG00000005397	6046
ENSMUSG00000005410	2604
ENSMUSG00000005413	1172
ENSMUSG00000005417	4021
ENSMUSG00000005442	596
ENSMUSG00000005447	833
ENSMUSG00000005465	2664
ENSMUSG00000005469	1838
ENSMUSG00000005470	812
ENSMUSG00000005474	602
ENSMUSG00000005481	1794
ENSMUSG00000005483	2925
ENSMUSG00000005493	2652
ENSMUSG00000005501	2335
ENSMUSG00000005503	1956
ENSMUSG00000005505	632
ENSMUSG00000005506	4560
ENSMUSG00000005510	698
ENSMUSG00000005514	747
ENSMUSG00000005533	1998
ENSMUSG00000005534	1675
ENSMUSG00000005540	992
ENSMUSG00000005547	797
ENSMUSG00000005553	2601
ENSMUSG00000005566	814
ENSMUSG00000005575	826
ENSMUSG00000005580	4507
ENSMUSG00000005583	1185
ENSMUSG00000005609	765
ENSMUSG00000005610	580
ENSMUSG00000005611	917
ENSMUSG00000005615	1857
ENSMUSG00000005621	604
ENSMUSG00000005625	1304
ENSMUSG00000005628	854
ENSMUSG00000005640	3652
ENSMUSG00000005649	1258
ENSMUSG00000005656	1928
ENSMUSG00000005667	612
ENSMUSG00000005672	1973
ENSMUSG00000005674	1433
ENSMUSG00000005677	1430
ENSMUSG00000005681	481
ENSMUSG00000005682	4450
ENSMUSG00000005683	2828
ENSMUSG00000005686	1247
ENSMUSG00000005687	1436
ENSMUSG00000005696	883
ENSMUSG00000005698	790
ENSMUSG00000005699	1234
ENSMUSG00000005705	674
ENSMUSG00000005716	965
ENSMUSG00000005718	2113
ENSMUSG00000005732	774
ENSMUSG00000005763	1632
ENSMUSG00000005774	882
ENSMUSG00000005779	651
ENSMUSG00000005800	2425
ENSMUSG00000005802	4314
ENSMUSG00000005803	741
ENSMUSG00000005804	785
ENSMUSG00000005813	763
ENSMUSG00000005823	2095
ENSMUSG00000005824	1859
ENSMUSG00000005836	3194
ENSMUSG00000005846	769
ENSMUSG00000005864	1716
ENSMUSG00000005871	2633
ENSMUSG00000005873	2894
ENSMUSG00000005881	652
ENSMUSG00000005882	808
ENSMUSG00000005883	1625
ENSMUSG00000005886	2944
ENSMUSG00000005891	865
ENSMUSG00000005892	1384
ENSMUSG00000005893	2108
ENSMUSG00000005897	2413
ENSMUSG00000005899	1619
ENSMUSG00000005907	666
ENSMUSG00000005917	2789
ENSMUSG00000005936	2294
ENSMUSG00000005947	3835
ENSMUSG00000005949	715
ENSMUSG00000005950	1076
ENSMUSG00000005951	2832
ENSMUSG00000005952	2340
ENSMUSG00000005958	3804
ENSMUSG00000005968	1383
ENSMUSG00000005973	2464
ENSMUSG00000005980	917
ENSMUSG00000005981	535
ENSMUSG00000005982	872
ENSMUSG00000005983	754
ENSMUSG00000005986	639
ENSMUSG00000005994	1838
ENSMUSG00000006005	755
ENSMUSG00000006007	1240
ENSMUSG00000006010	1716
ENSMUSG00000006014	2682
ENSMUSG00000006019	3880
ENSMUSG00000006021	660
ENSMUSG00000006024	525
ENSMUSG00000006050	934
ENSMUSG00000006056	1294
ENSMUSG00000006057	2676
ENSMUSG00000006058	764
ENSMUSG00000006095	502
ENSMUSG00000006127	2075
ENSMUSG00000006134	3863
ENSMUSG00000006143	865
ENSMUSG00000006154	666
ENSMUSG00000006169	3365
ENSMUSG00000006179	808
ENSMUSG00000006191	2019
ENSMUSG00000006200	1010
ENSMUSG00000006204	2928
