Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm	UHR_1.rlog	UHR_2.rlog	brain_1.rlog	brain_2.rlog
ABCC6P1	5.1636	-2.91445	1.3668	-2.13232	0.0329803	0.0551808	13	9	1	1	10.93	7.3	1.25	1.17	3.15	2.67	0.99	0.94
ABCC6P2	1.844	-1.03597	1.81284	-0.571463	0.567686	0.677703	3	3	1	1	2.52	2.43	1.25	1.17	1.12	1.09	0.6	0.56
ABCC8	286.242	7.42849	0.526889	14.0988	3.86339e-45	3.92571e-44	4	4	460	482	3.36	3.25	573.21	565.15	2.18	2.13	9.14	9.12
ABCC9	22.9668	3.51099	0.663243	5.29367	1.19888e-07	3.57224e-07	2	7	33	37	1.68	5.68	41.12	43.38	1.39	2.64	5.26	5.33
ABCD1	182.405	-2.54732	0.224587	-11.3422	8.10466e-30	5.80229e-29	367	387	51	37	308.61	314.08	63.55	43.38	8.26	8.28	6.01	5.47
ABCD2	34.949	4.33513	0.629888	6.88239	5.88578e-12	2.27144e-11	2	6	58	52	1.68	4.87	72.27	60.97	1.41	2.46	6.09	5.85
ABCD3	147.589	-0.503604	0.204277	-2.4653	0.0136898	0.024502	208	211	100	102	174.91	171.24	124.61	119.6	7.45	7.42	6.96	6.91
ABCD4	178.047	0.0630479	0.190244	0.331406	0.740338	0.818498	206	216	130	172	173.22	175.3	161.99	201.67	7.44	7.45	7.34	7.65
ABCE1	115.842	-1.19964	0.246307	-4.87053	1.11298e-06	3.08122e-06	179	212	65	51	150.52	172.05	81	59.8	7.23	7.42	6.35	5.92
ABCF1	657.09	-1.35674	0.107202	-12.6559	1.03718e-36	8.73897e-36	1143	1145	293	318	961.14	929.25	365.11	372.86	9.91	9.86	8.51	8.55
ABCF2	425.232	-0.484593	0.124113	-3.90446	9.44373e-05	0.000219849	592	609	280	307	497.81	494.25	348.91	359.96	8.96	8.95	8.45	8.49
ABCF3	419.891	0.644843	0.123994	5.20061	1.98631e-07	5.81196e-07	398	395	408	440	334.68	320.57	508.41	515.91	8.39	8.33	8.99	9.01
ABCG1	198.688	0.47365	0.177514	2.66824	0.00762501	0.014245	188	215	194	188	158.09	174.49	241.74	220.43	7.31	7.45	7.91	7.78
ABCG2	66.8561	1.38053	0.309558	4.45968	8.20814e-06	2.1088e-05	38	52	77	83	31.95	42.2	95.95	97.32	5.03	5.41	6.57	6.59
ABCG4	182.436	5.95697	0.418736	14.2261	6.31204e-46	6.52187e-45	7	7	279	316	5.89	5.68	347.66	370.52	2.78	2.74	8.42	8.51
ABCG5	12.0219	-2.23098	0.80776	-2.76193	0.00574611	0.0109281	24	24	3	4	20.18	19.48	3.74	4.69	4.22	4.18	2.19	2.42
ABCG8	13.2921	-1.42108	0.709609	-2.00262	0.0452179	0.0737363	20	27	5	7	16.82	21.91	6.23	8.21	4.02	4.37	2.79	3.11
ABHD1	5.11156	-0.863666	1.09005	-0.792321	0.428174	0.537543	7	9	3	3	5.89	7.3	3.74	3.52	2.5	2.75	2.02	1.96
ABHD10	156.948	0.664625	0.197717	3.3615	0.000775195	0.00164097	148	146	147	172	124.45	118.49	183.18	201.67	6.96	6.89	7.51	7.65
ABHD11	118.847	-0.702099	0.236292	-2.97131	0.00296528	0.00584393	193	163	67	83	162.29	132.29	83.49	97.32	7.34	7.04	6.39	6.61
ABHD12	824.98	0.989134	0.094042	10.518	7.13682e-26	4.60817e-25	677	661	866	951	569.29	536.45	1079.12	1115.06	9.15	9.07	10.07	10.12
ABHD12B	6.83627	1.89979	0.989208	1.92052	0.0547922	0.0880732	4	3	6	12	3.36	2.43	7.48	14.07	1.92	1.59	2.82	3.59
ABHD13	50.0218	0.147389	0.342493	0.430343	0.666946	0.755089	54	61	43	44	45.41	49.51	53.58	51.59	5.51	5.63	5.74	5.69
ABHD14A	323.887	2.19848	0.157647	13.9456	3.34641e-44	3.33973e-43	123	158	404	478	103.43	128.23	503.43	560.46	6.7	7.01	8.97	9.12
ABHD14B	311.791	-1.9077	0.158382	-12.0449	2.06251e-33	1.61786e-32	583	609	112	105	490.24	494.25	139.56	123.11	8.93	8.94	7.13	6.95
ABHD15	77.5361	-1.72157	0.317478	-5.42264	5.87257e-08	1.78819e-07	154	134	21	39	129.5	108.75	26.17	45.73	7	6.75	4.76	5.53
ABHD2	810.073	0.843725	0.0964013	8.75221	2.09208e-18	1.06462e-17	703	700	874	846	591.15	568.1	1089.09	991.95	9.21	9.15	10.09	9.95
ABHD3	77.1634	-1.37209	0.300834	-4.56094	5.09244e-06	1.33262e-05	144	125	39	32	121.09	101.45	48.6	37.52	6.9	6.65	5.62	5.26
ABHD4	201.24	-0.467503	0.177765	-2.62988	0.00854139	0.0158264	269	297	128	152	226.2	241.04	159.5	178.22	7.82	7.91	7.32	7.48
ABHD5	77.0589	-0.283118	0.280503	-1.00932	0.31282	0.41409	94	111	58	57	79.04	90.08	72.27	66.83	6.3	6.49	6.18	6.07
ABHD6	214.53	2.14934	0.184801	11.6306	2.88191e-31	2.14895e-30	101	90	273	307	84.93	73.04	340.19	359.96	6.42	6.2	8.4	8.48
ABHD8	744.294	2.59133	0.109884	23.5825	5.8299e-123	1.62843e-121	257	256	982	1134	216.11	207.76	1223.67	1329.63	7.76	7.7	10.25	10.37
ABI1	250.907	0.754985	0.158415	4.76586	1.88048e-06	5.10715e-06	229	223	245	277	192.57	180.98	305.3	324.79	7.59	7.5	8.25	8.34
ABI2	595.85	1.04804	0.108595	9.65091	4.87203e-22	2.81603e-21	444	497	658	671	373.36	403.35	819.94	786.76	8.55	8.66	9.68	9.62
ABI3	27.6309	1.60835	0.483254	3.32816	0.000874207	0.00184012	19	14	31	38	15.98	11.36	38.63	44.56	4.04	3.59	5.23	5.43
ABI3BP	14.7144	-0.273175	0.633053	-0.431519	0.666091	0.754594	18	21	12	10	15.14	17.04	14.95	11.73	3.91	4.07	3.9	3.59
ABL1	1000.61	-0.938444	0.0918746	-10.2144	1.70943e-24	1.06507e-23	1482	1705	551	585	1246.21	1383.72	686.6	685.92	10.28	10.43	9.42	9.42
ABL2	305.43	0.142962	0.144763	0.987557	0.323369	0.426451	337	366	270	260	283.38	297.03	336.45	304.85	8.15	8.21	8.39	8.25
ABLIM1	1894.14	3.09022	0.077601	39.8219	0	0	472	492	2689	2925	396.9	399.29	3350.77	3429.61	8.64	8.64	11.71	11.74
ABLIM2	365.441	6.52608	0.351499	18.5664	6.00656e-77	1.02015e-75	8	11	579	618	6.73	8.93	721.49	724.61	2.98	3.31	9.48	9.49
ABLIM3	352.504	1.68987	0.14123	11.9653	5.39731e-33	4.18369e-32	200	204	413	479	168.18	165.56	514.64	561.64	7.4	7.38	9	9.13
ABO	17.3884	-2.43348	0.691752	-3.51785	0.000435054	0.000949581	37	34	4	5	31.11	27.59	4.98	5.86	4.87	4.71	2.55	2.72
ABP1	2.67757	-1.77698	1.61356	-1.10128	0.270775	0.366172	6	4	1	1	5.05	3.25	1.25	1.17	1.99	1.54	0.78	0.74
ABR	2087.96	2.36109	0.0777165	30.3807	9.86749e-203	5.47229e-201	803	845	2633	3164	675.24	685.78	3280.99	3709.84	9.4	9.42	11.68	11.86
ABRA	2.4557	1.55492	1.59406	0.975444	0.32934	0.432466	2	1	4	2	1.68	0.81	4.98	2.35	0.89	0.4	1.88	1.17
ABT1	173.293	-0.942082	0.201343	-4.679	2.88284e-06	7.71163e-06	281	271	81	116	236.29	219.94	100.93	136.01	7.88	7.78	6.67	7.09
ABTB1	554.059	3.11235	0.136629	22.7795	7.32012e-115	1.88677e-113	149	129	749	898	125.29	104.69	933.33	1052.92	6.98	6.72	9.86	10.04
ABTB2	194.938	0.202635	0.179966	1.12597	0.260179	0.354041	220	219	154	192	185	177.73	191.9	225.12	7.53	7.47	7.58	7.81
ACAA1	417.448	0.475243	0.123803	3.83872	0.000123679	0.0002852	410	436	387	417	344.77	353.84	482.24	488.94	8.43	8.47	8.91	8.93
ACAA2	164.738	-1.2404	0.203329	-6.10048	1.05751e-09	3.6076e-09	287	273	83	79	241.34	221.56	103.43	92.63	7.91	7.79	6.7	6.54
ACACA	758.224	-0.0829996	0.101737	-0.815828	0.414599	0.526433	965	922	628	589	811.47	748.27	782.55	690.61	9.66	9.55	9.61	9.43
ACACB	167.802	1.34252	0.198632	6.75881	1.39126e-11	5.26658e-11	103	127	202	196	86.61	103.07	251.71	229.81	6.45	6.69	7.97	7.84
ACAD10	162.062	-0.961958	0.200911	-4.78798	1.68467e-06	4.59437e-06	242	277	89	93	203.5	224.8	110.9	109.04	7.66	7.81	6.8	6.78
ACAD11	153.033	-0.203551	0.202634	-1.00452	0.315126	0.416677	190	207	104	132	159.77	167.99	129.59	154.77	7.32	7.39	7.02	7.27
ACAD8	193.347	0.601903	0.17751	3.39081	0.000696858	0.00148223	180	192	185	201	151.36	155.82	230.53	235.68	7.24	7.29	7.85	7.88
ACAD9	271.879	-0.255387	0.15267	-1.67281	0.0943649	0.143796	362	354	205	205	304.4	287.3	255.45	240.37	8.25	8.17	8	7.91
ACADL	4.00454	1.5279	1.27718	1.1963	0.231578	0.319626	3	2	2	8	2.52	1.62	2.49	9.38	1.45	1.06	1.46	2.85
ACADM	123.934	-0.0142181	0.226468	-0.062782	0.94994	0.977907	132	170	103	101	111	137.97	128.35	118.42	6.8	7.11	7	6.89
ACADS	146.991	-0.544084	0.205874	-2.6428	0.00822239	0.0152726	216	206	95	103	181.63	167.18	118.38	120.77	7.5	7.38	6.89	6.92
ACADSB	113.523	0.0939237	0.229026	0.410101	0.681732	0.767426	128	138	95	99	107.63	112	118.38	116.08	6.75	6.81	6.89	6.86
ACADVL	1310.51	-0.650772	0.0780099	-8.34217	7.2941e-17	3.48702e-16	1916	1961	802	887	1611.16	1591.49	999.37	1040.02	10.65	10.64	9.97	10.02
ACAN	20.1617	2.3523	0.597413	3.93747	8.23463e-05	0.000192858	8	8	24	32	6.73	6.49	29.91	37.52	2.88	2.84	4.83	5.14
ACAP1	46.241	-1.3981	0.384563	-3.63556	0.000277377	0.000617034	87	75	23	19	73.16	60.87	28.66	22.28	6.17	5.91	4.87	4.52
ACAP2	143.667	-0.296276	0.210196	-1.40952	0.158682	0.229121	197	186	113	100	165.66	150.95	140.81	117.25	7.37	7.24	7.14	6.88
ACAP3	1733.17	1.9193	0.0765752	25.0643	1.21903e-138	4.06102e-137	877	878	2103	2441	737.47	712.56	2620.55	2862.11	9.53	9.48	11.35	11.48
ACAT1	210.091	-0.845063	0.176105	-4.79863	1.59754e-06	4.36803e-06	313	341	115	134	263.2	276.74	143.3	157.12	8.04	8.11	7.17	7.3
ACAT2	250.757	-1.1159	0.163464	-6.82656	8.69762e-12	3.32355e-11	404	427	130	132	339.72	346.54	161.99	154.77	8.4	8.43	7.34	7.28
ACBD3	221.518	-0.629802	0.169603	-3.7134	0.000204493	0.00046094	310	342	138	150	260.68	277.56	171.96	175.88	8.02	8.11	7.43	7.46
ACBD4	154.025	0.673081	0.213791	3.14832	0.00164214	0.00335267	163	124	139	175	137.07	100.63	173.21	205.19	7.1	6.66	7.43	7.68
ACBD5	180.54	1.06218	0.191786	5.53838	3.05282e-08	9.46394e-08	149	134	180	225	125.29	108.75	224.3	263.82	6.97	6.77	7.81	8.04
ACBD6	244.997	-0.997861	0.165533	-6.02817	1.65828e-09	5.581e-09	383	408	123	148	322.06	331.12	153.27	173.53	8.33	8.37	7.27	7.44
ACBD7	106.273	2.69312	0.273787	9.83654	7.83633e-23	4.64659e-22	30	39	144	161	25.23	31.65	179.44	188.78	4.7	5.01	7.47	7.54
ACCN1	125.422	6.91298	0.673901	10.2582	1.08765e-24	6.81238e-24	2	3	197	215	1.68	2.43	245.48	252.09	1.48	1.78	7.9	7.94
ACCN2	329.608	2.0936	0.149599	13.9948	1.67815e-44	1.68275e-43	152	151	413	472	127.82	122.55	514.64	553.43	7.01	6.95	9	9.11
ACCN3	144.81	1.66866	0.215351	7.74854	9.29517e-15	4.07496e-14	75	93	173	192	63.07	75.48	215.58	225.12	5.99	6.25	7.74	7.8
ACCN4	79.7617	0.754086	0.276844	2.72387	0.00645222	0.0121881	64	80	77	89	53.82	64.93	95.95	104.35	5.76	6.03	6.58	6.7
ACCN5	1.91555	1.86525	1.81985	1.02495	0.305389	0.405183	1	1	2	3	0.84	0.81	2.49	3.52	0.28	0.26	1.05	1.36
ACCS	34.8259	-2.00943	0.468284	-4.29104	1.77835e-05	4.42078e-05	72	63	9	14	60.54	51.13	11.21	16.42	5.88	5.64	3.6	4.09
ACCSL	1.3293	1.14383	2.08688	0.548102	0.583622	0.68418	1	1	2	1	0.84	0.81	2.49	1.17	0.08	0.05	0.8	0.27
ACD	246.742	-0.307157	0.164487	-1.86737	0.0618503	0.0983791	330	331	159	207	277.5	268.63	198.13	242.71	8.12	8.07	7.63	7.92
ACE	73.712	0.189948	0.310187	0.612365	0.540297	0.651879	82	85	45	86	68.95	68.98	56.07	100.84	6.11	6.11	5.82	6.65
ACE2	2.46001	-1.61887	1.65102	-0.98053	0.326824	0.429964	4	5	1	1	3.36	4.06	1.25	1.17	1.54	1.73	0.75	0.71
ACER2	12.7554	0.659499	0.681366	0.967907	0.333091	0.436398	11	13	10	16	9.25	10.55	12.46	18.76	3.26	3.43	3.64	4.16
ACER3	86.1304	0.640742	0.264145	2.42572	0.0152779	0.0270667	82	81	79	95	68.95	65.74	98.44	111.39	6.11	6.05	6.62	6.79
ACHE	276.989	4.16055	0.218358	19.0538	6.10541e-81	1.08641e-79	40	31	411	458	33.64	25.16	512.15	537.01	5.11	4.7	8.99	9.06
ACIN1	1303.56	-0.720923	0.0781809	-9.22121	2.93768e-20	1.59933e-19	1905	2025	784	846	1601.91	1643.43	976.94	991.95	10.65	10.68	9.93	9.95
ACLY	1364.83	-1.19407	0.0787348	-15.1658	5.96069e-52	6.86345e-51	2252	2348	650	725	1893.7	1905.56	809.97	850.07	10.89	10.9	9.66	9.73
ACMSD	2.91493	1.34386	1.44495	0.93004	0.35235	0.457377	2	2	2	5	1.68	1.62	2.49	5.86	1	0.97	1.34	2.17
ACN9	50.6227	-1.31758	0.360325	-3.65666	0.000255525	0.000570425	85	90	23	25	71.48	73.04	28.66	29.31	6.14	6.17	4.87	4.9
ACO1	278.323	-0.880659	0.157677	-5.58522	2.3341e-08	7.275e-08	425	449	142	183	357.38	364.39	176.95	214.57	8.48	8.51	7.47	7.75
ACO2	909.847	1.4534	0.0949927	15.3001	7.63226e-53	8.93971e-52	576	603	1011	1199	484.36	489.38	1259.81	1405.85	8.92	8.94	10.3	10.46
ACOT1	16.5665	0.598634	0.601924	0.994534	0.319963	0.422398	12	20	17	16	10.09	16.23	21.18	18.76	3.4	4.02	4.37	4.21
ACOT11	24.6213	0.821629	0.492269	1.66906	0.0951047	0.144791	24	19	26	26	20.18	15.42	32.4	30.49	4.35	3.99	4.99	4.91
ACOT12	1.42356	-0.441859	2.0152	-0.219263	0.826445	0.879651	1	3	1	1	0.84	2.43	1.25	1.17	0.16	0.89	0.39	0.36
ACOT13	117.175	-0.306476	0.236401	-1.29643	0.194829	0.274806	140	174	94	79	117.73	141.21	117.13	92.63	6.88	7.14	6.87	6.54
ACOT2	57.5012	-0.819902	0.330854	-2.47813	0.0132072	0.023685	83	95	30	39	69.79	77.1	37.38	45.73	6.12	6.26	5.25	5.52
ACOT4	16.5726	1.5887	0.619708	2.56363	0.0103583	0.0189476	10	10	23	18	8.41	8.12	28.66	21.11	3.16	3.11	4.76	4.35
ACOT6	2.24548	2.14463	1.73614	1.23528	0.216724	0.30184	1	1	4	2	0.84	0.81	4.98	2.35	0.33	0.31	1.78	1.07
ACOT7	941.223	1.09529	0.0894406	12.246	1.76585e-34	1.41849e-33	729	724	1004	1120	613.01	587.58	1251.09	1313.22	9.26	9.2	10.29	10.36
ACOT8	158.692	0.698978	0.195574	3.57398	0.000351597	0.000774712	141	152	160	165	118.57	123.36	199.38	193.47	6.89	6.95	7.64	7.59
ACOT9	82.6031	-1.38795	0.299254	-4.63804	3.51724e-06	9.34948e-06	135	155	27	49	113.52	125.79	33.64	57.45	6.82	6.96	5.11	5.85
ACOX1	298.082	0.337573	0.144895	2.32978	0.019818	0.0344808	304	334	266	285	255.63	271.06	331.46	334.17	8	8.08	8.37	8.38
ACOX2	24.387	-0.839777	0.509675	-1.64767	0.0994202	0.150763	31	45	13	16	26.07	36.52	16.2	18.76	4.69	5.15	4.06	4.25
ACOX3	78.2274	0.177325	0.283064	0.626448	0.531021	0.642563	86	92	56	82	72.32	74.66	69.78	96.15	6.18	6.22	6.13	6.58
ACOXL	3.48885	-0.893972	1.34069	-0.666802	0.504899	0.614471	4	7	3	1	3.36	5.68	3.74	1.17	1.73	2.28	1.83	0.89
ACP1	358.709	-1.0162	0.138023	-7.36251	1.80477e-13	7.48428e-13	555	608	189	204	466.7	493.43	235.51	239.19	8.86	8.94	7.88	7.91
ACP2	272.739	0.378951	0.152908	2.4783	0.013201	0.0236829	293	281	236	275	246.38	228.05	294.08	322.44	7.95	7.83	8.2	8.33
ACP5	54.7312	-3.94885	0.520014	-7.59372	3.1084e-14	1.33201e-13	117	132	7	4	98.38	107.13	8.72	4.69	6.57	6.69	3.27	2.55
ACP6	71.4776	-1.8962	0.325454	-5.82632	5.66635e-09	1.84375e-08	125	148	28	22	105.11	120.11	34.89	25.8	6.7	6.89	5.15	4.74
ACPL2	102.194	-0.46438	0.245305	-1.89307	0.058348	0.0932058	136	151	73	69	114.36	122.55	90.97	80.9	6.83	6.93	6.51	6.34
ACPP	2.6629	-1.76914	1.61472	-1.09563	0.273241	0.36865	4	6	1	1	3.36	4.87	1.25	1.17	1.58	1.95	0.78	0.74
ACPT	3.35046	-0.297858	1.3216	-0.225376	0.821687	0.877998	3	6	2	3	2.52	4.87	2.49	3.52	1.46	2.11	1.47	1.78
ACR	2.42997	1.55376	1.58816	0.978337	0.327908	0.430883	1	2	3	3	0.84	1.62	3.74	3.52	0.44	0.88	1.6	1.54
