Feature.ID	baseMean	log2(brain/UHR)	lfcSE	stat	pvalue	padj	UHR_1	UHR_2	brain_1	brain_2	UHR_1.norm	UHR_2.norm	brain_1.norm	brain_2.norm
ABCG8	13.2921	-1.35714	0.674858	-2.00334	0.0451412	0.0736113	20	27	5	7	16.82	21.91	6.23	8.21
ABHD1	5.11156	-0.777177	0.977365	-0.79262	0.427999	0.537321	7	9	3	3	5.89	7.3	3.74	3.52
ABHD10	156.948	0.662196	0.196925	3.36266	0.000771948	0.0016341	148	146	147	172	124.45	118.49	183.18	201.67
ABHD11	118.847	-0.698438	0.23495	-2.97234	0.0029554	0.00582445	193	163	67	83	162.29	132.29	83.49	97.32
ABHD12	824.98	0.988313	0.0939532	10.5191	7.05331e-26	4.55424e-25	677	661	866	951	569.29	536.45	1079.12	1115.06
ABHD12B	6.83627	1.74063	0.900422	1.92121	0.0547046	0.0879323	4	3	6	12	3.36	2.43	7.48	14.07
ABHD13	50.0218	0.145784	0.338637	0.43051	0.666825	0.754953	54	61	43	44	45.41	49.51	53.58	51.59
ABHD14A	323.887	2.19337	0.157202	13.949	3.19041e-44	3.18405e-43	123	158	404	478	103.43	128.23	503.43	560.46
ABHD14B	311.791	-1.90322	0.157917	-12.0478	1.99232e-33	1.56409e-32	583	609	112	105	490.24	494.25	139.56	123.11
ABHD15	77.5361	-1.70546	0.314062	-5.42448	5.81232e-08	1.76984e-07	154	134	21	39	129.5	108.75	26.17	45.73
ABHD2	810.073	0.842989	0.0963062	8.75317	2.07442e-18	1.05535e-17	703	700	874	846	591.15	568.1	1089.09	991.95
ABHD3	77.1634	-1.36052	0.298001	-4.56251	5.05465e-06	1.32292e-05	144	125	39	32	121.09	101.45	48.6	37.52
ABHD4	201.24	-0.46612	0.177176	-2.63073	0.0085202	0.0157872	269	297	128	152	226.2	241.04	159.5	178.22
ABHD5	77.0589	-0.281043	0.278329	-1.0097	0.312638	0.413848	94	111	58	57	79.04	90.08	72.27	66.83
ABHD6	214.53	2.14247	0.184092	11.6339	2.77297e-31	2.06772e-30	101	90	273	307	84.93	73.04	340.19	359.96
ABHD8	744.294	2.5884	0.109728	23.585	5.49179e-123	1.53399e-121	257	256	982	1134	216.11	207.76	1223.67	1329.63
ABI1	250.907	0.753211	0.157993	4.76732	1.86694e-06	5.07135e-06	229	223	245	277	192.57	180.98	305.3	324.79
ABI2	595.85	1.04689	0.108454	9.65262	4.7915e-22	2.76949e-21	444	497	658	671	373.36	403.35	819.94	786.76
ABI3	27.6309	1.57387	0.472185	3.32941	0.000870296	0.00183209	19	14	31	38	15.98	11.36	38.63	44.56
ABI3BP	14.7144	-0.263272	0.609727	-0.431694	0.665964	0.754449	18	21	12	10	15.14	17.04	14.95	11.73
ABL1	1000.61	-0.937701	0.0917951	-10.2149	1.70031e-24	1.0587e-23	1482	1705	551	585	1246.21	1383.72	686.6	685.92
ABL2	305.43	0.142681	0.144438	0.987837	0.323233	0.4263	337	366	270	260	283.38	297.03	336.45	304.85
ABLIM1	1894.14	3.08847	0.0775567	39.8171	0	0	472	492	2689	2925	396.9	399.29	3350.77	3429.61
ABLIM2	365.441	6.45269	0.340389	18.5672	5.92343e-77	1.00603e-75	8	11	579	618	6.73	8.93	721.49	724.61
ABLIM3	352.504	1.68671	0.140916	11.9683	5.2083e-33	4.03882e-32	200	204	413	479	168.18	165.56	514.64	561.64
ABO	17.3884	-2.32971	0.654867	-3.51887	0.00043339	0.00094595	37	34	4	5	31.11	27.59	4.98	5.86
ABP1	2.67757	-1.43259	1.27524	-1.10163	0.270621	0.365944	6	4	1	1	5.05	3.25	1.25	1.17
ABR	2087.96	2.35975	0.0776811	30.376	1.13909e-202	6.31715e-201	803	845	2633	3164	675.24	685.78	3280.99	3709.84
ABRA	2.4557	1.25617	1.27945	0.975797	0.329165	0.432237	2	1	4	2	1.68	0.81	4.98	2.35
ABT1	173.293	-0.938511	0.200485	-4.68053	2.86135e-06	7.65415e-06	281	271	81	116	236.29	219.94	100.93	136.01
ABTB1	554.059	3.1069	0.136308	22.7828	6.78726e-115	1.74942e-113	149	129	749	898	125.29	104.69	933.33	1052.92
ABTB2	194.938	0.202022	0.179362	1.12635	0.260019	0.353823	220	219	154	192	185	177.73	191.9	225.12
ACAA1	417.448	0.47456	0.123595	3.83965	0.000123209	0.000284082	410	436	387	417	344.77	353.84	482.24	488.94
ACAA2	164.738	-1.23561	0.202428	-6.10239	1.04495e-09	3.56474e-09	287	273	83	79	241.34	221.56	103.43	92.63
ACACA	758.224	-0.0829191	0.101625	-0.815932	0.414539	0.526323	965	922	628	589	811.47	748.27	782.55	690.61
ACACB	167.802	1.33756	0.197812	6.76103	1.37012e-11	5.18654e-11	103	127	202	196	86.61	103.07	251.71	229.81
ACAD10	162.062	-0.958328	0.200056	-4.78953	1.67176e-06	4.55917e-06	242	277	89	93	203.5	224.8	110.9	109.04
ACAD11	153.033	-0.202769	0.201783	-1.00487	0.31496	0.416458	190	207	104	132	159.77	167.99	129.59	154.77
ACAD8	193.347	0.600128	0.176928	3.39193	0.000694025	0.00147621	180	192	185	201	151.36	155.82	230.53	235.68
ACAD9	271.879	-0.25483	0.152289	-1.67331	0.0942672	0.143647	362	354	205	205	304.4	287.3	255.45	240.37
ACADL	4.00454	1.32574	1.10252	1.19676	0.231401	0.319381	3	2	2	8	2.52	1.62	2.49	9.38
ACADM	123.934	-0.014151	0.225302	-0.062809	0.949919	0.977885	132	170	103	101	111	137.97	128.35	118.42
ACADS	146.991	-0.541927	0.204975	-2.6437	0.00820063	0.0152321	216	206	95	103	181.63	167.18	118.38	120.77
ACADSB	113.523	0.0934633	0.227822	0.410249	0.681623	0.767304	128	138	95	99	107.63	112	118.38	116.08
ACADVL	1310.51	-0.6504	0.0779667	-8.34195	7.30769e-17	3.49176e-16	1916	1961	802	887	1611.16	1591.49	999.37	1040.02
ACAN	20.1617	2.27629	0.575182	3.93878	8.18973e-05	0.000191806	8	8	24	32	6.73	6.49	29.91	37.52
ACAP1	46.241	-1.37896	0.378735	-3.63684	0.000276006	0.000613984	87	75	23	19	73.16	60.87	28.66	22.28
ACAP2	143.667	-0.295052	0.209249	-1.41002	0.158535	0.22891	197	186	113	100	165.66	150.95	140.81	117.25
ACAP3	1733.17	1.91825	0.0765392	25.0616	1.30564e-138	4.34955e-137	877	878	2103	2441	737.47	712.56	2620.55	2862.11
ACAT1	210.091	-0.84261	0.175523	-4.80011	1.58576e-06	4.33582e-06	313	341	115	134	263.2	276.74	143.3	157.12
ACAT2	250.757	-1.11311	0.162987	-6.82851	8.58038e-12	3.27941e-11	404	427	130	132	339.72	346.54	161.99	154.77
ACBD3	221.518	-0.628106	0.169084	-3.71455	0.000203568	0.000458854	310	342	138	150	260.68	277.56	171.96	175.88
ACBD4	154.025	0.670208	0.212803	3.1494	0.00163604	0.00334022	163	124	139	175	137.07	100.63	173.21	205.19
ACBD5	180.54	1.05853	0.191053	5.54021	3.02116e-08	9.36579e-08	149	134	180	225	125.29	108.75	224.3	263.82
ACBD6	244.997	-0.995301	0.165041	-6.02994	1.64025e-09	5.52033e-09	383	408	123	148	322.06	331.12	153.27	173.53
ACBD7	106.273	2.67432	0.271391	9.83938	7.61784e-23	4.51845e-22	30	39	144	161	25.23	31.65	179.44	188.78
ACCN1	125.422	6.6503	0.601047	10.2586	1.0829e-24	6.78042e-24	2	3	197	215	1.68	2.43	245.48	252.09
ACCN2	329.608	2.08922	0.149217	13.9981	1.59998e-44	1.60437e-43	152	151	413	472	127.82	122.55	514.64	553.43
ACCN3	144.81	1.66143	0.214294	7.75108	9.11113e-15	3.99428e-14	75	93	173	192	63.07	75.48	215.58	225.12
ACCN4	79.7617	0.748702	0.274755	2.72489	0.00643225	0.0121528	64	80	77	89	53.82	64.93	95.95	104.35
ACCN5	1.91555	1.42656	1.37433	1.0253	0.305223	0.404962	1	1	2	3	0.84	0.81	2.49	3.52
ACCS	34.8259	-1.96902	0.457134	-4.29242	1.7674e-05	4.39298e-05	72	63	9	14	60.54	51.13	11.21	16.42
ACCSL	1.3293	0.812205	1.47743	0.548298	0.583487	0.684023	1	1	2	1	0.84	0.81	2.49	1.17
ACD	246.742	-0.306378	0.164016	-1.86794	0.0617706	0.0982442	330	331	159	207	277.5	268.63	198.13	242.71
ACE	73.712	0.188252	0.307298	0.612608	0.540135	0.651684	82	85	45	86	68.95	68.98	56.07	100.84
ACE2	2.46001	-1.2928	1.29608	-0.980855	0.326664	0.429754	4	5	1	1	3.36	4.06	1.25	1.17
ACER2	12.7554	0.631987	0.652604	0.968299	0.332895	0.436141	11	13	10	16	9.25	10.55	12.46	18.76
ACER3	86.1304	0.636575	0.262325	2.42663	0.0152396	0.026999	82	81	79	95	68.95	65.74	98.44	111.39
ACHE	276.989	4.14205	0.216704	19.0568	5.7711e-81	1.02692e-79	40	31	411	458	33.64	25.16	512.15	537.01
ACIN1	1303.56	-0.720509	0.0781371	-9.22098	2.94388e-20	1.6027e-19	1905	2025	784	846	1601.91	1643.43	976.94	991.95
ACLY	1364.83	-1.19338	0.0786898	-15.1652	6.01324e-52	6.92396e-51	2252	2348	650	725	1893.7	1905.56	809.97	850.07
ACMSD	2.91493	1.12436	1.20354	0.93039	0.352169	0.457142	2	2	2	5	1.68	1.62	2.49	5.86
ACN9	50.6227	-1.30173	0.355533	-3.65794	0.00025425	0.000567579	85	90	23	25	71.48	73.04	28.66	29.31
ACO1	278.323	-0.878609	0.157252	-5.58682	2.31264e-08	7.2081e-08	425	449	142	183	357.38	364.39	176.95	214.57
ACO2	909.847	1.45217	0.0949027	15.3013	7.497e-53	8.77587e-52	576	603	1011	1199	484.36	489.38	1259.81	1405.85
ACOT1	16.5665	0.57895	0.581881	0.99493	0.31977	0.422144	12	20	17	16	10.09	16.23	21.18	18.76
ACOT11	24.6213	0.803352	0.481064	1.66973	0.0949735	0.14459	24	19	26	26	20.18	15.42	32.4	30.49
ACOT12	1.42356	-0.320144	1.45616	-0.219346	0.826381	0.879594	1	3	1	1	0.84	2.43	1.25	1.17
ACOT13	117.175	-0.304878	0.235075	-1.2969	0.194666	0.274577	140	174	94	79	117.73	141.21	117.13	92.63
ACOT2	57.5012	-0.811568	0.32726	-2.47905	0.0131732	0.0236246	83	95	30	39	69.79	77.1	37.38	45.73
ACOT4	16.5726	1.53346	0.596902	2.56459	0.0103298	0.0188955	10	10	23	18	8.41	8.12	28.66	21.11
ACOT6	2.24548	1.6767	1.33417	1.23569	0.216574	0.30163	1	1	4	2	0.84	0.81	4.98	2.35
ACOT7	941.223	1.09446	0.0893662	12.2468	1.74706e-34	1.40341e-33	729	724	1004	1120	613.01	587.58	1251.09	1313.22
ACOT8	158.692	0.696477	0.194806	3.5752	0.000349959	0.000771102	141	152	160	165	118.57	123.36	199.38	193.47
ACOT9	82.6031	-1.3764	0.29647	-4.6397	3.48921e-06	9.27498e-06	135	155	27	49	113.52	125.79	33.64	57.45
ACOX1	298.082	0.336909	0.144569	2.33045	0.0197825	0.034419	304	334	266	285	255.63	271.06	331.46	334.17
ACOX2	24.387	-0.819809	0.496969	-1.6483	0.0992918	0.150568	31	45	13	16	26.07	36.52	16.2	18.76
ACOX3	78.2274	0.176004	0.280847	0.626694	0.53086	0.642368	86	92	56	82	72.32	74.66	69.78	96.15
ACOXL	3.48885	-0.765045	1.14223	-0.66706	0.504734	0.614271	4	7	3	1	3.36	5.68	3.74	1.17
ACP1	358.709	-1.01439	0.137732	-7.36434	1.78019e-13	7.38233e-13	555	608	189	204	466.7	493.43	235.51	239.19
ACP2	272.739	0.378122	0.152528	2.47904	0.0131735	0.0236246	293	281	236	275	246.38	228.05	294.08	322.44
ACP5	54.7312	-3.8525	0.497933	-7.595	3.07785e-14	1.31922e-13	117	132	7	4	98.38	107.13	8.72	4.69
ACP6	71.4776	-1.87754	0.32167	-5.82817	5.60376e-09	1.82369e-08	125	148	28	22	105.11	120.11	34.89	25.8
ACPL2	102.194	-0.461772	0.24382	-1.89376	0.0582565	0.0930598	136	151	73	69	114.36	122.55	90.97	80.9
ACPP	2.6629	-1.42597	1.27594	-1.09598	0.273086	0.36844	4	6	1	1	3.36	4.87	1.25	1.17
ACPT	3.35046	-0.25597	1.13417	-0.225464	0.821619	0.877925	3	6	2	3	2.52	4.87	2.49	3.52
ACR	2.42997	1.25766	1.27645	0.97869	0.327733	0.430654	1	2	3	3	0.84	1.62	3.74	3.52
ACRBP	11.0571	0.711916	0.692002	1.02857	0.303682	0.404017	10	10	10	13	8.41	8.12	12.46	15.24
ACRC	16.2268	1.06571	0.603316	1.76532	0.0775097	0.120526	12	13	12	25	10.09	10.55	14.95	29.31
ACRV1	5.35252	0.606351	0.959251	0.631942	0.527425	0.638699	6	4	3	8	5.05	3.25	3.74	9.38
ACSBG1	190.619	4.58615	0.285643	15.9455	3.06166e-57	3.89558e-56	22	14	284	323	18.5	11.36	353.89	378.72
ACSBG2	3.84246	0.645897	1.07436	0.600894	0.547911	0.65956	3	4	3	5	2.52	3.25	3.74	5.86
ACSF2	157.912	-1.04473	0.213123	-4.90104	9.53293e-07	2.65188e-06	254	262	67	104	213.59	212.63	83.49	121.94
ACSF3	222.109	-0.669714	0.169989	-3.93951	8.16488e-05	0.000191319	324	337	129	155	272.45	273.5	160.75	181.74
ACSL1	223.528	1.05132	0.169345	6.20791	5.36924e-10	1.8607e-09	164	188	252	247	137.91	152.57	314.02	289.61
ACSL3	484.496	-0.411517	0.117539	-3.50107	0.000463399	0.00100775	640	700	340	348	538.17	568.1	423.67	408.04
ACSL4	305.29	-1.01958	0.149547	-6.81716	9.28549e-12	3.5432e-11	483	508	151	183	406.15	412.28	188.16	214.57
ACSL5	74.3786	-0.464588	0.287654	-1.61493	0.106325	0.160326	100	109	57	46	84.09	88.46	71.03	53.94
ACSL6	195.421	6.28773	0.438882	13.8474	1.31988e-43	1.30289e-42	4	7	318	321	3.36	5.68	396.26	376.38
ACSM1	5.85158	-2.15638	1.03135	-2.03737	0.0416129	0.0683322	9	15	2	1	7.57	12.17	2.49	1.17
ACSM2A	2.46001	-1.2928	1.29608	-0.980855	0.326664	0.429754	4	5	1	1	3.36	4.06	1.25	1.17
ACSM2B	2.6629	-1.42597	1.27594	-1.09598	0.273086	0.36844	4	6	1	1	3.36	4.87	1.25	1.17
ACSM3	106.169	-5.87766	0.608638	-9.02997	1.71722e-19	9.11665e-19	243	264	3	2	204.34	214.25	3.74	2.35
ACSM4	1.42356	-0.320144	1.45616	-0.219346	0.826381	0.879594	1	3	1	1	0.84	2.43	1.25	1.17
ACSM5	8.07131	2.02484	0.858417	2.33956	0.0193063	0.0336581	5	2	9	13	4.2	1.62	11.21	15.24
ACSS1	397.429	1.02437	0.134076	7.64009	2.17071e-14	9.36521e-14	340	293	433	449	285.9	237.79	539.56	526.46
ACSS2	332.612	-0.326876	0.13868	-2.35702	0.0184222	0.0322277	448	448	244	244	376.72	363.58	304.05	286.09
ACSS3	65.6218	-0.436249	0.30312	-1.43904	0.150139	0.218737	85	98	49	43	71.48	79.53	61.06	50.42
ACTA1	23.0005	0.149333	0.52419	0.284893	0.775726	0.846161	16	37	22	18	13.45	30.03	27.41	21.11
ACTA2	178.477	1.59651	0.19213	8.30802	9.73133e-17	4.6185e-16	110	104	223	221	92.5	84.4	277.88	259.13
ACTB	16238.9	-0.491493	0.0480671	-10.2251	1.53005e-24	9.54874e-24	23034	22907	10483	11883	19369.21	18590.61	13062.89	13933.01
ACTBL2	2.37309	-0.543163	1.28545	-0.421316	0.673525	0.760795	5	2	2	1	4.2	1.62	2.49	1.17
ACTC1	12.4087	0.459841	0.667871	0.688549	0.491107	0.599874	16	9	10	14	13.45	7.3	12.46	16.42
ACTG1	13525.4	-1.42073	0.0458415	-30.9921	6.87897e-211	4.01386e-209	23475	24215	5753	6431	19740.04	19652.14	7168.83	7540.45
ACTG2	49.9634	-0.656775	0.354816	-1.85054	0.0642352	0.101832	85	63	30	34	71.48	51.13	37.38	39.87
ACTL6A	122.314	-3.41539	0.309715	-10.9704	5.30101e-28	3.60257e-27	282	260	17	17	237.13	211.01	21.18	19.93
ACTL6B	248.264	7.87084	0.62969	11.1902	4.55259e-29	3.1803e-28	3	1	384	436	2.52	0.81	478.5	511.22
ACTL7A	1.3109	0.797366	1.47986	0.537134	0.591175	0.684023	1	1	1	2	0.84	0.81	1.25	2.35
ACTL7B	1.3293	0.812205	1.47743	0.548298	0.583487	0.684023	1	1	2	1	0.84	0.81	2.49	1.17
ACTL8	23.3547	-3.40148	0.68137	-4.85715	1.19089e-06	3.28782e-06	60	44	3	3	50.45	35.71	3.74	3.52
ACTN1	1523.99	-1.23779	0.0768533	-16.1055	2.33573e-58	3.02659e-57	2580	2603	702	801	2169.51	2112.51	874.76	939.19
ACTN2	185.327	5.46304	0.357804	15.0154	5.81968e-51	6.57766e-50	8	11	285	316	6.73	8.93	355.14	370.52
ACTN3	4.64599	1.59822	1.03396	1.53485	0.12482	0.185205	3	2	5	7	2.52	1.62	6.23	8.21
ACTN4	2704.3	-0.85396	0.0606255	-14.0857	4.64792e-45	4.71535e-44	4148	4284	1539	1650	3488.04	3476.76	1917.75	1934.65
ACTR10	114.78	1.00135	0.233014	4.29708	1.73065e-05	4.30671e-05	82	103	119	135	68.95	83.59	148.29	158.29
ACTR1A	1078.93	1.22155	0.0875708	13.9491	3.18469e-44	3.18001e-43	765	803	1152	1352	643.29	651.69	1435.51	1585.24
ACTR1B	984.413	1.08344	0.0864075	12.5386	4.59076e-36	3.80338e-35	748	780	1067	1148	628.99	633.02	1329.59	1346.05
ACTR2	617.794	-0.0601249	0.104837	-0.57351	0.5663	0.67754	761	766	472	530	639.92	621.66	588.16	621.43
ACTR3	524.91	-0.487211	0.113633	-4.28752	1.80676e-05	4.48378e-05	733	751	338	386	616.38	609.49	421.18	452.59
ACTR3B	150.34	1.38547	0.207155	6.68716	2.27538e-11	8.53356e-11	101	100	163	198	84.93	81.16	203.11	232.16
